source_group,modality,variant,task,label_policy,recipe,level,n,n_folds,default_macro_f1,calibrated_macro_f1,oracle_fold_macro_f1,oracle_overall_macro_f1,calibrated_gain,oracle_fold_gain,oracle_overall_gain,oracle_gap,default_balanced_accuracy,calibrated_balanced_accuracy,oracle_fold_balanced_accuracy,default_accuracy,calibrated_accuracy,oracle_fold_accuracy,calibrated_pred_0,calibrated_pred_1,calibrated_one_class,selected_threshold_mean,selected_threshold_std,selected_threshold_min,selected_threshold_max,selected_threshold_range,oracle_threshold_mean,oracle_threshold_std,threshold_unstable,protocol_pass_like
,,,arousal,midpoint_as_low,ce_class_weighted,overall_leave_one_fold_out,4032,6,0.5108783174917075,0.525189901526163,0.5278206963768308,0.525189901526163,0.014311584034455427,0.016942378885123288,0.014311584034455427,0.0026307948506678613,0.5176479672472654,0.5252323873549736,0.5277394435846633,0.533234126984127,0.5726686507936508,0.5771329365079365,2649,1383,False,0.5499999999999999,1.1102230246251565e-16,0.55,0.55,0.0,0.545,0.04787135538781689,False,True
,,,valence,midpoint_as_low,balanced_sampler_ce,overall_leave_one_fold_out,4032,6,0.48869258564455703,0.4993181643446487,0.5100802960806351,0.4987163099899301,0.010625578700091676,0.021387710436078067,0.010023724345373075,0.010762131735986391,0.4917697991749399,0.4994061380842286,0.5102611179110567,0.4913194444444444,0.5128968253968254,0.5190972222222222,2374,1658,False,0.5233333333333333,0.014907119849998611,0.51,0.55,0.040000000000000036,0.5133333333333333,0.04346134936801768,False,True
,,,valence,discard_midpoint,balanced_sampler_ce,overall_leave_one_fold_out,3334,6,0.5096257214477752,0.518596237434838,0.5230566221576496,0.518596237434838,0.008970515987062777,0.013430900709874405,0.008970515987062777,0.004460384722811628,0.5123998934116901,0.5189493129375162,0.5249884769394751,0.5107978404319136,0.5185962807438512,0.5236952609478105,1711,1623,False,0.49000000000000005,5.551115123125783e-17,0.49,0.49,0.0,0.505,0.03403429642777022,False,True
,,,arousal,midpoint_as_low,balanced_sampler_ce,overall_leave_one_fold_out,4032,6,0.5190571041803862,0.5248924428426625,0.5401992585727525,0.5295090259724311,0.005835338662276257,0.02114215439236633,0.010451921792044905,0.015306815730090073,0.5258139718276538,0.5249572026115443,0.5398155358627329,0.5419146825396826,0.5848214285714286,0.59375,2806,1226,False,0.5750000000000001,0.011180339887498919,0.55,0.58,0.029999999999999916,0.5683333333333334,0.04524623986832742,False,False
,,,valence,discard_midpoint,ce_class_weighted,overall_leave_one_fold_out,3334,6,0.5039690928374256,0.5092833197857757,0.5200750836341861,0.5092833197857757,0.005314226948350043,0.01610599079676045,0.005314226948350043,0.010791763848410407,0.504349595252499,0.5111510817273068,0.5202719442283871,0.5053989202159568,0.5098980203959208,0.5200959808038392,1828,1506,False,0.52,0.0,0.52,0.52,0.0,0.515,0.03947573094109003,False,True
,,,arousal,discard_midpoint,balanced_sampler_ce,overall_leave_one_fold_out,3598,6,0.5140535307262668,0.5190094299301773,0.5356650797820468,0.5260715772846019,0.0049558992039104854,0.02161154905578,0.01201804655833505,0.016655649851869514,0.5169187793869708,0.5193083524446818,0.5356210664656048,0.5277932184546971,0.5544747081712063,0.5694830461367426,2351,1247,False,0.5566666666666666,0.021343747458109474,0.53,0.59,0.05999999999999994,0.5483333333333335,0.02266911751455905,False,False
,,,arousal,discard_midpoint,ce_class_weighted,overall_leave_one_fold_out,3598,6,0.5167107533429753,0.5212049815418094,0.5304695754070324,0.5238867639909198,0.004494228198834049,0.013758822064057097,0.007176010647944486,0.009264593865223048,0.5202681741070027,0.5224136193228823,0.5311073193846669,0.5291828793774319,0.5397443023902168,0.5516953863257366,2082,1516,False,0.52,0.010000000000000009,0.51,0.53,0.020000000000000018,0.525,0.03547299442298793,False,False
,,,arousal,midpoint_as_high,ce_class_weighted,overall_leave_one_fold_out,12096,6,0.520263285925874,0.5239339875696556,0.5283996023210933,0.5253422322504643,0.003670701643781582,0.008136316395219279,0.005078946324590272,0.0044656147514376965,0.5206900851000615,0.5240279015725473,0.5283856985208294,0.5231481481481481,0.531167328042328,0.5337301587301587,6915,5181,False,0.5183333333333334,0.0037267799624996524,0.51,0.52,0.010000000000000009,0.5116666666666666,0.010671873729054758,False,False
,,,valence,midpoint_as_high,balanced_sampler_ce,overall_leave_one_fold_out,12096,6,0.5064910656183533,0.5099183996309762,0.5165504594041088,0.5107868875917579,0.0034273340126228513,0.010059393785755488,0.004295821973404612,0.006632059773132637,0.5096111620269599,0.5099500706457403,0.5166280024439607,0.5134755291005291,0.5275297619047619,0.5389384920634921,4931,7165,False,0.4766666666666666,0.004714045207910321,0.47,0.48,0.010000000000000009,0.465,0.034034296427770235,False,False
,,,valence,midpoint_as_high,ce_class_weighted,overall_leave_one_fold_out,12096,6,0.5143057932421174,0.5162402169801866,0.5239627304157835,0.5162402169801866,0.0019344237380691798,0.009656937173666003,0.0019344237380691798,0.007722513435596823,0.5148093519685341,0.5162365868560737,0.5239264711498072,0.5280257936507936,0.5346395502645502,0.542906746031746,4865,7231,False,0.49000000000000005,5.551115123125783e-17,0.49,0.49,0.0,0.49,0.01825741858350554,False,False
,,,arousal,midpoint_as_high,balanced_sampler_ce,overall_leave_one_fold_out,12096,6,0.5180100165458752,0.5183635463652844,0.5322597693529009,0.5214789373488304,0.0003535298194091707,0.014249752807025673,0.0034689208029552443,0.013896222987616502,0.5199546115320133,0.5185035599838713,0.5322361579762738,0.5189318783068783,0.5222387566137566,0.5378637566137566,6509,5587,False,0.5183333333333332,0.008975274678557516,0.51,0.53,0.020000000000000018,0.5283333333333333,0.041399141161247405,False,False
,,,valence,midpoint_as_low,ce_class_weighted,overall_leave_one_fold_out,4032,6,0.4967579506399107,0.4926636509004043,0.5044058744993325,0.4967579506399107,-0.0040942997395063685,0.007647923859421812,0.0,0.011742223598928181,0.49955347023890473,0.4945033773063149,0.5051588920621969,0.49975198412698413,0.49677579365079366,0.5109126984126984,2073,1959,False,0.5016666666666666,0.0037267799624996524,0.5,0.51,0.010000000000000009,0.5099999999999999,0.031091263510296042,False,False
