subject_id,task,label_policy,accuracy_EEG,accuracy_EMG,error_rate_EEG,error_rate_EMG,n_EEG,n_EMG,common_failure_score,both_hard_flag,eeg_specific_hard_flag,emg_specific_hard_flag
11,arousal,discard_midpoint,0.4166666666666667,0.2916666666666667,0.5833333333333334,0.7083333333333334,48,48,0.4131944444444445,True,False,False
14,arousal,midpoint_as_low,0.375,0.34375,0.625,0.65625,64,64,0.41015625,True,False,False
28,arousal,midpoint_as_low,0.40625,0.328125,0.59375,0.671875,64,64,0.39892578125,True,False,False
37,valence,midpoint_as_low,0.46875,0.25,0.53125,0.75,64,64,0.3984375,False,False,False
11,valence,discard_midpoint,0.35714285714285715,0.39285714285714285,0.6428571428571429,0.6071428571428571,56,56,0.3903061224489796,True,False,False
19,arousal,midpoint_as_high,0.390625,0.375,0.609375,0.625,192,192,0.380859375,True,False,False
5,arousal,discard_midpoint,0.38333333333333336,0.38333333333333336,0.6166666666666667,0.6166666666666667,60,60,0.3802777777777778,True,False,False
65,arousal,midpoint_as_high,0.4375,0.328125,0.5625,0.671875,192,192,0.3779296875,True,False,False
33,valence,midpoint_as_low,0.484375,0.28125,0.515625,0.71875,64,64,0.37060546875,False,False,False
14,arousal,midpoint_as_high,0.4479166666666667,0.3333333333333333,0.5520833333333334,0.6666666666666666,192,192,0.3680555555555556,True,False,False
65,arousal,midpoint_as_low,0.484375,0.296875,0.515625,0.703125,64,64,0.362548828125,False,False,False
22,arousal,discard_midpoint,0.46551724137931033,0.3275862068965517,0.5344827586206896,0.6724137931034483,58,58,0.35939357907253267,False,False,False
35,valence,midpoint_as_low,0.40625,0.40625,0.59375,0.59375,64,64,0.3525390625,True,False,False
28,arousal,discard_midpoint,0.40625,0.40625,0.59375,0.59375,64,64,0.3525390625,True,False,False
49,valence,midpoint_as_low,0.421875,0.390625,0.578125,0.609375,64,64,0.352294921875,True,False,False
19,valence,midpoint_as_high,0.4739583333333333,0.3385416666666667,0.5260416666666666,0.6614583333333334,192,192,0.3479546440972222,False,False,False
43,arousal,midpoint_as_low,0.328125,0.484375,0.671875,0.515625,64,64,0.346435546875,False,False,False
12,valence,discard_midpoint,0.4772727272727273,0.3409090909090909,0.5227272727272727,0.6590909090909091,44,44,0.34452479338842973,False,False,False
1,arousal,midpoint_as_low,0.359375,0.46875,0.640625,0.53125,64,64,0.34033203125,False,False,False
34,valence,discard_midpoint,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,48,48,0.34027777777777785,True,False,False
48,valence,discard_midpoint,0.4,0.44,0.6,0.56,50,50,0.336,True,False,False
14,arousal,discard_midpoint,0.4642857142857143,0.375,0.5357142857142857,0.625,56,56,0.33482142857142855,False,False,False
52,valence,discard_midpoint,0.375,0.4642857142857143,0.625,0.5357142857142857,56,56,0.33482142857142855,False,False,False
28,valence,midpoint_as_low,0.421875,0.421875,0.578125,0.578125,64,64,0.334228515625,True,False,False
13,valence,discard_midpoint,0.4375,0.4166666666666667,0.5625,0.5833333333333334,48,48,0.328125,True,False,False
9,valence,discard_midpoint,0.45161290322580644,0.4032258064516129,0.5483870967741935,0.5967741935483871,62,62,0.32726326742976064,False,False,False
47,valence,discard_midpoint,0.4107142857142857,0.44642857142857145,0.5892857142857143,0.5535714285714286,56,56,0.3262117346938776,True,False,False
21,valence,midpoint_as_low,0.28125,0.546875,0.71875,0.453125,64,64,0.32568359375,False,False,False
36,arousal,midpoint_as_low,0.4375,0.421875,0.5625,0.578125,64,64,0.3251953125,True,False,False
19,arousal,discard_midpoint,0.35185185185185186,0.5,0.6481481481481481,0.5,54,54,0.32407407407407407,False,False,False
23,valence,midpoint_as_high,0.3385416666666667,0.5104166666666666,0.6614583333333334,0.4895833333333333,192,192,0.3238389756944445,False,False,False
59,arousal,midpoint_as_low,0.484375,0.375,0.515625,0.625,64,64,0.322265625,False,False,False
65,arousal,discard_midpoint,0.5833333333333334,0.23333333333333334,0.4166666666666667,0.7666666666666667,60,60,0.3194444444444445,False,False,True
55,valence,midpoint_as_high,0.5208333333333334,0.3333333333333333,0.4791666666666667,0.6666666666666666,192,192,0.3194444444444444,False,False,False
11,arousal,midpoint_as_low,0.546875,0.296875,0.453125,0.703125,64,64,0.318603515625,False,False,False
8,arousal,midpoint_as_high,0.40625,0.4635416666666667,0.59375,0.5364583333333334,192,192,0.3185221354166667,False,False,False
54,valence,discard_midpoint,0.4074074074074074,0.46296296296296297,0.5925925925925926,0.5370370370370371,54,54,0.31824417009602196,False,False,False
61,valence,midpoint_as_low,0.453125,0.421875,0.546875,0.578125,64,64,0.316162109375,False,False,False
23,arousal,midpoint_as_low,0.40625,0.46875,0.59375,0.53125,64,64,0.3154296875,False,False,False
40,valence,midpoint_as_low,0.390625,0.484375,0.609375,0.515625,64,64,0.314208984375,False,False,False
8,arousal,discard_midpoint,0.4482758620689655,0.43103448275862066,0.5517241379310345,0.5689655172413793,58,58,0.31391200951248516,True,False,False
28,valence,discard_midpoint,0.42,0.46,0.58,0.54,50,50,0.3132,False,False,False
61,valence,discard_midpoint,0.45,0.43333333333333335,0.55,0.5666666666666667,60,60,0.3116666666666667,True,False,False
10,valence,discard_midpoint,0.5384615384615384,0.3269230769230769,0.46153846153846156,0.6730769230769231,52,52,0.31065088757396453,False,False,False
58,valence,midpoint_as_low,0.453125,0.4375,0.546875,0.5625,64,64,0.3076171875,False,False,False
33,valence,discard_midpoint,0.52,0.36,0.48,0.64,50,50,0.3072,False,False,False
63,arousal,midpoint_as_high,0.46875,0.421875,0.53125,0.578125,192,192,0.30712890625,False,False,False
52,valence,midpoint_as_high,0.375,0.5104166666666666,0.625,0.4895833333333333,192,192,0.3059895833333333,False,False,False
36,arousal,midpoint_as_high,0.4479166666666667,0.4479166666666667,0.5520833333333334,0.5520833333333334,192,192,0.3047960069444445,True,False,False
29,valence,midpoint_as_high,0.484375,0.4114583333333333,0.515625,0.5885416666666666,192,192,0.303466796875,False,False,False
16,arousal,discard_midpoint,0.48333333333333334,0.4166666666666667,0.5166666666666667,0.5833333333333334,60,60,0.30138888888888893,False,False,False
42,arousal,midpoint_as_high,0.4322916666666667,0.4739583333333333,0.5677083333333334,0.5260416666666666,192,192,0.2986382378472222,False,False,False
12,arousal,midpoint_as_high,0.484375,0.421875,0.515625,0.578125,192,192,0.298095703125,False,False,False
12,arousal,discard_midpoint,0.3269230769230769,0.5576923076923077,0.6730769230769231,0.4423076923076923,52,52,0.297707100591716,False,True,False
7,valence,discard_midpoint,0.38,0.52,0.62,0.48,50,50,0.2976,False,False,False
8,arousal,midpoint_as_low,0.40625,0.5,0.59375,0.5,64,64,0.296875,False,False,False
44,valence,discard_midpoint,0.4090909090909091,0.5,0.5909090909090909,0.5,44,44,0.29545454545454547,False,False,False
10,valence,midpoint_as_high,0.4947916666666667,0.4166666666666667,0.5052083333333334,0.5833333333333334,192,192,0.29470486111111116,False,False,False
35,arousal,discard_midpoint,0.46,0.46,0.54,0.54,50,50,0.2916,False,False,False
57,arousal,midpoint_as_high,0.515625,0.4010416666666667,0.484375,0.5989583333333334,192,192,0.29012044270833337,False,False,False
60,valence,midpoint_as_low,0.484375,0.4375,0.515625,0.5625,64,64,0.2900390625,False,False,False
12,valence,midpoint_as_low,0.421875,0.5,0.578125,0.5,64,64,0.2890625,False,False,False
38,arousal,discard_midpoint,0.5,0.4230769230769231,0.5,0.5769230769230769,52,52,0.28846153846153844,False,False,False
5,arousal,midpoint_as_low,0.515625,0.40625,0.484375,0.59375,64,64,0.28759765625,False,False,False
19,arousal,midpoint_as_low,0.40625,0.515625,0.59375,0.484375,64,64,0.28759765625,False,False,False
16,arousal,midpoint_as_low,0.53125,0.390625,0.46875,0.609375,64,64,0.28564453125,False,False,False
5,arousal,midpoint_as_high,0.546875,0.3697916666666667,0.453125,0.6302083333333334,192,192,0.2855631510416667,False,False,False
22,arousal,midpoint_as_high,0.546875,0.3697916666666667,0.453125,0.6302083333333334,192,192,0.2855631510416667,False,False,False
2,arousal,discard_midpoint,0.4827586206896552,0.4482758620689655,0.5172413793103449,0.5517241379310345,58,58,0.2853745541022592,False,False,False
1,valence,midpoint_as_high,0.484375,0.4479166666666667,0.515625,0.5520833333333334,192,192,0.28466796875,False,False,False
60,arousal,midpoint_as_high,0.484375,0.4479166666666667,0.515625,0.5520833333333334,192,192,0.28466796875,False,False,False
59,valence,midpoint_as_high,0.5208333333333334,0.40625,0.4791666666666667,0.59375,192,192,0.28450520833333337,False,False,False
14,valence,discard_midpoint,0.4782608695652174,0.45652173913043476,0.5217391304347826,0.5434782608695652,46,46,0.2835538752362949,False,False,False
65,valence,midpoint_as_high,0.5104166666666666,0.421875,0.4895833333333333,0.578125,192,192,0.2830403645833333,False,False,False
5,valence,discard_midpoint,0.4838709677419355,0.45161290322580644,0.5161290322580645,0.5483870967741935,62,62,0.28303850156087407,False,False,False
1,arousal,discard_midpoint,0.41379310344827586,0.5172413793103449,0.5862068965517241,0.4827586206896552,58,58,0.2829964328180737,False,False,False
54,valence,midpoint_as_low,0.46875,0.46875,0.53125,0.53125,64,64,0.2822265625,False,False,False
46,arousal,midpoint_as_high,0.4791666666666667,0.4583333333333333,0.5208333333333334,0.5416666666666666,192,192,0.2821180555555556,False,False,False
10,arousal,midpoint_as_low,0.453125,0.484375,0.546875,0.515625,64,64,0.281982421875,False,False,False
55,valence,midpoint_as_low,0.453125,0.484375,0.546875,0.515625,64,64,0.281982421875,False,False,False
10,arousal,discard_midpoint,0.4166666666666667,0.5166666666666667,0.5833333333333334,0.48333333333333334,60,60,0.28194444444444444,False,False,False
10,valence,midpoint_as_low,0.5,0.4375,0.5,0.5625,64,64,0.28125,False,False,False
24,valence,midpoint_as_low,0.515625,0.421875,0.484375,0.578125,64,64,0.280029296875,False,False,False
42,valence,midpoint_as_high,0.5208333333333334,0.4166666666666667,0.4791666666666667,0.5833333333333334,192,192,0.2795138888888889,False,False,False
