run_id,modality,task,label_policy,da_policy,fold_id,train_subjects,val_subjects,seed,recipe
1,EEG,arousal,midpoint_as_high,E0_none_baseline,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
2,EEG,arousal,midpoint_as_high,E0_none_baseline,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
3,EEG,arousal,midpoint_as_high,E0_none_baseline,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
4,EEG,arousal,midpoint_as_high,E0_none_baseline,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
5,EEG,arousal,midpoint_as_high,E0_none_baseline,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
6,EEG,arousal,midpoint_as_high,E0_none_baseline,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
7,EEG,arousal,midpoint_as_high,E1_additive_gaussian_noise_weak,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
8,EEG,arousal,midpoint_as_high,E1_additive_gaussian_noise_weak,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
9,EEG,arousal,midpoint_as_high,E1_additive_gaussian_noise_weak,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
10,EEG,arousal,midpoint_as_high,E1_additive_gaussian_noise_weak,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
11,EEG,arousal,midpoint_as_high,E1_additive_gaussian_noise_weak,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
12,EEG,arousal,midpoint_as_high,E1_additive_gaussian_noise_weak,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
13,EEG,arousal,midpoint_as_high,E2_additive_gaussian_noise_medium,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
14,EEG,arousal,midpoint_as_high,E2_additive_gaussian_noise_medium,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
15,EEG,arousal,midpoint_as_high,E2_additive_gaussian_noise_medium,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
16,EEG,arousal,midpoint_as_high,E2_additive_gaussian_noise_medium,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
17,EEG,arousal,midpoint_as_high,E2_additive_gaussian_noise_medium,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
18,EEG,arousal,midpoint_as_high,E2_additive_gaussian_noise_medium,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
19,EEG,arousal,midpoint_as_high,E3_amplitude_scaling,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
20,EEG,arousal,midpoint_as_high,E3_amplitude_scaling,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
21,EEG,arousal,midpoint_as_high,E3_amplitude_scaling,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
22,EEG,arousal,midpoint_as_high,E3_amplitude_scaling,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
23,EEG,arousal,midpoint_as_high,E3_amplitude_scaling,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
24,EEG,arousal,midpoint_as_high,E3_amplitude_scaling,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
25,EEG,arousal,midpoint_as_high,E4_time_channel_masking_or_dropout,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
26,EEG,arousal,midpoint_as_high,E4_time_channel_masking_or_dropout,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
27,EEG,arousal,midpoint_as_high,E4_time_channel_masking_or_dropout,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
28,EEG,arousal,midpoint_as_high,E4_time_channel_masking_or_dropout,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
29,EEG,arousal,midpoint_as_high,E4_time_channel_masking_or_dropout,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
30,EEG,arousal,midpoint_as_high,E4_time_channel_masking_or_dropout,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
31,EEG,valence,midpoint_as_high,E0_none_baseline,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
32,EEG,valence,midpoint_as_high,E0_none_baseline,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
33,EEG,valence,midpoint_as_high,E0_none_baseline,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
