run_id,modality,task,label_policy,da_policy,recipe,fold_id,seed,train_subjects,val_subjects,train_n,val_n,train_counts,val_counts,epochs,batch_size,lr,weight_decay,final_accuracy,final_balanced_accuracy,final_macro_f1,final_one_class_pred,final_collapsed_to_label,final_true_counts,final_pred_counts,final_confusion,best_epoch,best_balanced_accuracy,best_macro_f1,duration_sec
1,EEG,arousal,midpoint_as_high,E0_none_baseline,ce_class_weighted,1,11,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,1664,352,"{""0"": 911, ""1"": 753}","{""0"": 201, ""1"": 151}",3,32,0.0003,0.001,0.5795454545454546,0.5329972653289842,0.49782147676884514,False,,"{""0"": 201, ""1"": 151}","{""0"": 293, ""1"": 59}","{""fn"": 120, ""fp"": 28, ""tn"": 173, ""tp"": 31}",2,0.5426674574149122,0.5399066368987213,3.1171369589865208
2,EEG,arousal,midpoint_as_high,E0_none_baseline,ce_class_weighted,2,11,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,1664,352,"{""0"": 917, ""1"": 747}","{""0"": 195, ""1"": 157}",3,32,0.0003,0.001,0.5426136363636364,0.5468397844194022,0.5424326833797586,False,,"{""0"": 195, ""1"": 157}","{""0"": 164, ""1"": 188}","{""fn"": 65, ""fp"": 96, ""tn"": 99, ""tp"": 92}",3,0.5468397844194022,0.5424326833797586,1.9839878152124584
3,EEG,arousal,midpoint_as_high,E0_none_baseline,ce_class_weighted,3,11,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,1664,352,"{""0"": 939, ""1"": 725}","{""0"": 173, ""1"": 179}",3,32,0.0003,0.001,0.5426136363636364,0.5386540510866407,0.5142913463433866,False,,"{""0"": 173, ""1"": 179}","{""0"": 94, ""1"": 258}","{""fn"": 41, ""fp"": 120, ""tn"": 53, ""tp"": 138}",3,0.5386540510866407,0.5142913463433866,2.124712932854891
4,EEG,arousal,midpoint_as_high,E0_none_baseline,ce_class_weighted,4,11,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,1696,320,"{""0"": 937, ""1"": 759}","{""0"": 175, ""1"": 145}",3,32,0.0003,0.001,0.5375,0.5221674876847291,0.5156275568646703,False,,"{""0"": 175, ""1"": 145}","{""0"": 213, ""1"": 107}","{""fn"": 93, ""fp"": 55, ""tn"": 120, ""tp"": 52}",3,0.5221674876847291,0.5156275568646703,2.091995996888727
5,EEG,arousal,midpoint_as_high,E0_none_baseline,ce_class_weighted,5,11,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,1696,320,"{""0"": 942, ""1"": 754}","{""0"": 170, ""1"": 150}",3,32,0.0003,0.001,0.4875,0.516078431372549,0.37452326468344777,False,,"{""0"": 170, ""1"": 150}","{""0"": 14, ""1"": 306}","{""fn"": 4, ""fp"": 160, ""tn"": 10, ""tp"": 146}",2,0.5190196078431373,0.5126625046646025,2.0775470081716776
6,EEG,arousal,midpoint_as_high,E0_none_baseline,ce_class_weighted,6,11,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,1696,320,"{""0"": 914, ""1"": 782}","{""0"": 198, ""1"": 122}",3,32,0.0003,0.001,0.609375,0.5490561351217089,0.5416575953065738,False,,"{""0"": 198, ""1"": 122}","{""0"": 245, ""1"": 75}","{""fn"": 86, ""fp"": 39, ""tn"": 159, ""tp"": 36}",3,0.5490561351217089,0.5416575953065738,1.962557319086045
7,EEG,arousal,midpoint_as_high,E1_additive_gaussian_noise_weak,ce_class_weighted,1,11,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,1664,352,"{""0"": 911, ""1"": 753}","{""0"": 201, ""1"": 151}",3,32,0.0003,0.001,0.5852272727272727,0.556093703667095,0.5488130355386992,False,,"{""0"": 201, ""1"": 151}","{""0"": 251, ""1"": 101}","{""fn"": 98, ""fp"": 48, ""tn"": 153, ""tp"": 53}",2,0.5618595762907318,0.5588972431077694,3.131969226989895
8,EEG,arousal,midpoint_as_high,E1_additive_gaussian_noise_weak,ce_class_weighted,2,11,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,1664,352,"{""0"": 917, ""1"": 747}","{""0"": 195, ""1"": 157}",3,32,0.0003,0.001,0.5625,0.5716152212967499,0.5622739018087856,False,,"{""0"": 195, ""1"": 157}","{""0"": 149, ""1"": 203}","{""fn"": 54, ""fp"": 100, ""tn"": 95, ""tp"": 103}",3,0.5716152212967499,0.5622739018087856,3.112144592218101
9,EEG,arousal,midpoint_as_high,E1_additive_gaussian_noise_weak,ce_class_weighted,3,11,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,1664,352,"{""0"": 939, ""1"": 725}","{""0"": 173, ""1"": 179}",3,32,0.0003,0.001,0.5056818181818182,0.497497335873672,0.35063613231552165,False,,"{""0"": 173, ""1"": 179}","{""0"": 7, ""1"": 345}","{""fn"": 4, ""fp"": 170, ""tn"": 3, ""tp"": 175}",2,0.5086059353505344,0.4967415879771246,3.095743632875383
10,EEG,arousal,midpoint_as_high,E1_additive_gaussian_noise_weak,ce_class_weighted,4,11,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,1696,320,"{""0"": 937, ""1"": 759}","{""0"": 175, ""1"": 145}",3,32,0.0003,0.001,0.534375,0.5151724137931034,0.5024989826688508,False,,"{""0"": 175, ""1"": 145}","{""0"": 226, ""1"": 94}","{""fn"": 100, ""fp"": 49, ""tn"": 126, ""tp"": 45}",1,0.52935960591133,0.5293699598266723,2.973240272141993
