run_id,matrix_option,dataset,target,label_column,modality,da_policy,fold_id,execution_authorized,status
1,A,I-DARE,valence,valence_midpoint_as_high,EEG,E0_none_baseline,1,False,planned_metadata_only
2,A,I-DARE,valence,valence_midpoint_as_high,EEG,E0_none_baseline,2,False,planned_metadata_only
3,A,I-DARE,valence,valence_midpoint_as_high,EEG,E0_none_baseline,3,False,planned_metadata_only
4,A,I-DARE,valence,valence_midpoint_as_high,EEG,E0_none_baseline,4,False,planned_metadata_only
5,A,I-DARE,valence,valence_midpoint_as_high,EEG,E0_none_baseline,5,False,planned_metadata_only
6,A,I-DARE,valence,valence_midpoint_as_high,EEG,E0_none_baseline,6,False,planned_metadata_only
7,A,I-DARE,valence,valence_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,1,False,planned_metadata_only
8,A,I-DARE,valence,valence_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,2,False,planned_metadata_only
9,A,I-DARE,valence,valence_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,3,False,planned_metadata_only
10,A,I-DARE,valence,valence_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,4,False,planned_metadata_only
11,A,I-DARE,valence,valence_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,5,False,planned_metadata_only
12,A,I-DARE,valence,valence_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,6,False,planned_metadata_only
13,A,I-DARE,valence,valence_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,1,False,planned_metadata_only
14,A,I-DARE,valence,valence_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,2,False,planned_metadata_only
15,A,I-DARE,valence,valence_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,3,False,planned_metadata_only
16,A,I-DARE,valence,valence_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,4,False,planned_metadata_only
17,A,I-DARE,valence,valence_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,5,False,planned_metadata_only
18,A,I-DARE,valence,valence_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,6,False,planned_metadata_only
19,A,I-DARE,valence,valence_midpoint_as_high,EEG,E3_amplitude_scaling,1,False,planned_metadata_only
20,A,I-DARE,valence,valence_midpoint_as_high,EEG,E3_amplitude_scaling,2,False,planned_metadata_only
21,A,I-DARE,valence,valence_midpoint_as_high,EEG,E3_amplitude_scaling,3,False,planned_metadata_only
22,A,I-DARE,valence,valence_midpoint_as_high,EEG,E3_amplitude_scaling,4,False,planned_metadata_only
23,A,I-DARE,valence,valence_midpoint_as_high,EEG,E3_amplitude_scaling,5,False,planned_metadata_only
24,A,I-DARE,valence,valence_midpoint_as_high,EEG,E3_amplitude_scaling,6,False,planned_metadata_only
25,A,I-DARE,valence,valence_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,1,False,planned_metadata_only
26,A,I-DARE,valence,valence_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,2,False,planned_metadata_only
