run_id,dataset,target,modality,da_policy,fold_id,train_subjects,test_subjects,train_rows_after_aug,test_rows,accuracy,balanced_accuracy,macro_f1,one_class_pred
1,I-DARE,valence,EEG,E0_none_baseline,1,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,1 2 3 5 6 7 8 9 10 11 12,1664,352,0.4715909090909091,0.4786798679867986,0.47131782945736433,False
2,I-DARE,valence,EEG,E0_none_baseline,2,1 2 3 5 6 7 8 9 10 11 12 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,13 14 15 16 17 18 19 20 21 22 23,1664,352,0.5085227272727273,0.5261755219826855,0.5078514567422314,False
3,I-DARE,valence,EEG,E0_none_baseline,3,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,24 25 26 27 28 29 30 31 32 33 34,1664,352,0.5568181818181818,0.5248155600268276,0.5227865262279695,False
4,I-DARE,valence,EEG,E0_none_baseline,4,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,35 36 37 38 39 40 41 42 43 44,1696,320,0.484375,0.4807692307692308,0.47813194959229055,False
5,I-DARE,valence,EEG,E0_none_baseline,5,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 56 57 58 59 60 61 62 63 64 65,45 46 47 48 49 50 52 53 54 55,1696,320,0.471875,0.4647807865892972,0.4639122116595129,False
6,I-DARE,valence,EEG,E0_none_baseline,6,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55,56 57 58 59 60 61 62 63 64 65,1696,320,0.5125,0.5124797541426138,0.5047619047619047,False
7,I-DARE,valence,EEG,E1_additive_gaussian_noise_weak,1,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,1 2 3 5 6 7 8 9 10 11 12,3328,352,0.4715909090909091,0.4786798679867986,0.47131782945736433,False
8,I-DARE,valence,EEG,E1_additive_gaussian_noise_weak,2,1 2 3 5 6 7 8 9 10 11 12 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,13 14 15 16 17 18 19 20 21 22 23,3328,352,0.5085227272727273,0.5261755219826855,0.5078514567422314,False
9,I-DARE,valence,EEG,E1_additive_gaussian_noise_weak,3,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,24 25 26 27 28 29 30 31 32 33 34,3328,352,0.5625,0.5295774647887324,0.52734375,False
10,I-DARE,valence,EEG,E1_additive_gaussian_noise_weak,4,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,35 36 37 38 39 40 41 42 43 44,3392,320,0.48125,0.4769230769230769,0.4746004114575091,False
11,I-DARE,valence,EEG,E1_additive_gaussian_noise_weak,5,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 56 57 58 59 60 61 62 63 64 65,45 46 47 48 49 50 52 53 54 55,3392,320,0.46875,0.46099290780141844,0.46031746031746035,False
12,I-DARE,valence,EEG,E1_additive_gaussian_noise_weak,6,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55,56 57 58 59 60 61 62 63 64 65,3392,320,0.509375,0.5083475227376553,0.5011864692858349,False
13,I-DARE,valence,EEG,E2_additive_gaussian_noise_medium,1,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,1 2 3 5 6 7 8 9 10 11 12,3328,352,0.4744318181818182,0.4837293729372937,0.47439363977561644,False
14,I-DARE,valence,EEG,E2_additive_gaussian_noise_medium,2,1 2 3 5 6 7 8 9 10 11 12 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,13 14 15 16 17 18 19 20 21 22 23,3328,352,0.5113636363636364,0.5271770497368868,0.510351966873706,False
15,I-DARE,valence,EEG,E2_additive_gaussian_noise_medium,3,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,24 25 26 27 28 29 30 31 32 33 34,3328,352,0.5625,0.5295774647887324,0.52734375,False
16,I-DARE,valence,EEG,E2_additive_gaussian_noise_medium,4,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,35 36 37 38 39 40 41 42 43 44,3392,320,0.478125,0.47307692307692306,0.4710534390434619,False
17,I-DARE,valence,EEG,E2_additive_gaussian_noise_medium,5,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 56 57 58 59 60 61 62 63 64 65,45 46 47 48 49 50 52 53 54 55,3392,320,0.478125,0.4712282398452611,0.47025644584105714,False
18,I-DARE,valence,EEG,E2_additive_gaussian_noise_medium,6,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55,56 57 58 59 60 61 62 63 64 65,3392,320,0.5125,0.5140994227335023,0.5055271603470819,False
19,I-DARE,valence,EEG,E3_amplitude_scaling,1,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,1 2 3 5 6 7 8 9 10 11 12,3328,352,0.46875,0.47620462046204615,0.46853982479512335,False
20,I-DARE,valence,EEG,E3_amplitude_scaling,2,1 2 3 5 6 7 8 9 10 11 12 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,13 14 15 16 17 18 19 20 21 22 23,3328,352,0.5113636363636364,0.5285011033780342,0.5105894525818864,False
21,I-DARE,valence,EEG,E3_amplitude_scaling,3,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,24 25 26 27 28 29 30 31 32 33 34,3328,352,0.5596590909090909,0.52719651240778,0.5250655037038972,False
22,I-DARE,valence,EEG,E3_amplitude_scaling,4,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,35 36 37 38 39 40 41 42 43 44,3392,320,0.475,0.46923076923076923,0.46749078806608824,False
23,I-DARE,valence,EEG,E3_amplitude_scaling,5,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 56 57 58 59 60 61 62 63 64 65,45 46 47 48 49 50 52 53 54 55,3392,320,0.478125,0.4712282398452611,0.47025644584105714,False
24,I-DARE,valence,EEG,E3_amplitude_scaling,6,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55,56 57 58 59 60 61 62 63 64 65,3392,320,0.509375,0.5083475227376553,0.5011864692858349,False
25,I-DARE,valence,EEG,E4_time_channel_masking_or_dropout,1,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,1 2 3 5 6 7 8 9 10 11 12,3328,352,0.48863636363636365,0.4978217821782178,0.4885703215807826,False
26,I-DARE,valence,EEG,E4_time_channel_masking_or_dropout,2,1 2 3 5 6 7 8 9 10 11 12 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,13 14 15 16 17 18 19 20 21 22 23,3328,352,0.4943181818181818,0.49865897131217113,0.4901041666666667,False
27,I-DARE,valence,EEG,E4_time_channel_masking_or_dropout,3,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,24 25 26 27 28 29 30 31 32 33 34,3328,352,0.5170454545454546,0.5017437961099933,0.5015825420623021,False
28,I-DARE,valence,EEG,E4_time_channel_masking_or_dropout,4,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65,35 36 37 38 39 40 41 42 43 44,3392,320,0.465625,0.45890688259109313,0.4575679774779686,False
29,I-DARE,valence,EEG,E4_time_channel_masking_or_dropout,5,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 56 57 58 59 60 61 62 63 64 65,45 46 47 48 49 50 52 53 54 55,3392,320,0.478125,0.4847678916827853,0.4769757768534377,False
30,I-DARE,valence,EEG,E4_time_channel_masking_or_dropout,6,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55,56 57 58 59 60 61 62 63 64 65,3392,320,0.521875,0.5216371111757133,0.513895094272183,False
