category,article_id,article_title,file_id,file_name,subject_id,size_bytes,size_human,download_url,local_relative_path,include_in_first_stage,include_in_main_protocol,notes
EEG,24678000,EEG modality,43377408,sbj_P_01.mat,1,97437124,92.92 MB,https://ndownloader.figshare.com/files/43377408,raw_downloads/EEG/sbj_P_01.mat,true,true,
EEG,24678000,EEG modality,43377591,sbj_P_02.mat,2,93221737,88.90 MB,https://ndownloader.figshare.com/files/43377591,raw_downloads/EEG/sbj_P_02.mat,true,true,
EEG,24678000,EEG modality,43377363,sbj_P_03.mat,3,77317030,73.74 MB,https://ndownloader.figshare.com/files/43377363,raw_downloads/EEG/sbj_P_03.mat,true,true,
EEG,24678000,EEG modality,43377417,sbj_P_05.mat,5,80751327,77.01 MB,https://ndownloader.figshare.com/files/43377417,raw_downloads/EEG/sbj_P_05.mat,true,true,
EEG,24678000,EEG modality,43377561,sbj_P_06.mat,6,87601921,83.54 MB,https://ndownloader.figshare.com/files/43377561,raw_downloads/EEG/sbj_P_06.mat,true,true,
EEG,24678000,EEG modality,43377465,sbj_P_07.mat,7,83136701,79.29 MB,https://ndownloader.figshare.com/files/43377465,raw_downloads/EEG/sbj_P_07.mat,true,true,
EEG,24678000,EEG modality,43377441,sbj_P_08.mat,8,81898917,78.10 MB,https://ndownloader.figshare.com/files/43377441,raw_downloads/EEG/sbj_P_08.mat,true,true,
EEG,24678000,EEG modality,43377432,sbj_P_09.mat,9,81973002,78.18 MB,https://ndownloader.figshare.com/files/43377432,raw_downloads/EEG/sbj_P_09.mat,true,true,
EEG,24678000,EEG modality,43377411,sbj_P_10.mat,10,80062834,76.35 MB,https://ndownloader.figshare.com/files/43377411,raw_downloads/EEG/sbj_P_10.mat,true,true,
EEG,24678000,EEG modality,43377384,sbj_P_11.mat,11,77470158,73.88 MB,https://ndownloader.figshare.com/files/43377384,raw_downloads/EEG/sbj_P_11.mat,true,true,
EEG,24678000,EEG modality,43377360,sbj_P_12.mat,12,71415732,68.11 MB,https://ndownloader.figshare.com/files/43377360,raw_downloads/EEG/sbj_P_12.mat,true,true,
EEG,24678000,EEG modality,43377645,sbj_P_13.mat,13,97696219,93.17 MB,https://ndownloader.figshare.com/files/43377645,raw_downloads/EEG/sbj_P_13.mat,true,true,
EEG,24678000,EEG modality,43377399,sbj_P_14.mat,14,78550992,74.91 MB,https://ndownloader.figshare.com/files/43377399,raw_downloads/EEG/sbj_P_14.mat,true,true,
EEG,24678000,EEG modality,43377372,sbj_P_15.mat,15,75141263,71.66 MB,https://ndownloader.figshare.com/files/43377372,raw_downloads/EEG/sbj_P_15.mat,true,true,
EEG,24678000,EEG modality,43377513,sbj_P_16.mat,16,82613212,78.79 MB,https://ndownloader.figshare.com/files/43377513,raw_downloads/EEG/sbj_P_16.mat,true,true,
EEG,24678000,EEG modality,43377663,sbj_P_17.mat,17,93581407,89.25 MB,https://ndownloader.figshare.com/files/43377663,raw_downloads/EEG/sbj_P_17.mat,true,true,
EEG,24678000,EEG modality,43377594,sbj_P_18.mat,18,84994057,81.06 MB,https://ndownloader.figshare.com/files/43377594,raw_downloads/EEG/sbj_P_18.mat,true,true,
EEG,24678000,EEG modality,43377495,sbj_P_19.mat,19,83563902,79.69 MB,https://ndownloader.figshare.com/files/43377495,raw_downloads/EEG/sbj_P_19.mat,true,true,
EEG,24678000,EEG modality,43377429,sbj_P_20.mat,20,80343884,76.62 MB,https://ndownloader.figshare.com/files/43377429,raw_downloads/EEG/sbj_P_20.mat,true,true,
EEG,24678000,EEG modality,43377705,sbj_P_21.mat,21,102756001,98.00 MB,https://ndownloader.figshare.com/files/43377705,raw_downloads/EEG/sbj_P_21.mat,true,true,
EEG,24678000,EEG modality,43377396,sbj_P_22.mat,22,78096361,74.48 MB,https://ndownloader.figshare.com/files/43377396,raw_downloads/EEG/sbj_P_22.mat,true,true,
EEG,24678000,EEG modality,43377507,sbj_P_23.mat,23,83602861,79.73 MB,https://ndownloader.figshare.com/files/43377507,raw_downloads/EEG/sbj_P_23.mat,true,true,
EEG,24678000,EEG modality,43377588,sbj_P_24.mat,24,84421865,80.51 MB,https://ndownloader.figshare.com/files/43377588,raw_downloads/EEG/sbj_P_24.mat,true,true,
EEG,24678000,EEG modality,43377648,sbj_P_25.mat,25,88635980,84.53 MB,https://ndownloader.figshare.com/files/43377648,raw_downloads/EEG/sbj_P_25.mat,true,true,
EEG,24678000,EEG modality,43377444,sbj_P_26.mat,26,79180544,75.51 MB,https://ndownloader.figshare.com/files/43377444,raw_downloads/EEG/sbj_P_26.mat,true,true,
EEG,24678000,EEG modality,43377699,sbj_P_27.mat,27,92318673,88.04 MB,https://ndownloader.figshare.com/files/43377699,raw_downloads/EEG/sbj_P_27.mat,true,true,
EEG,24678000,EEG modality,43377684,sbj_P_28.mat,28,89748421,85.59 MB,https://ndownloader.figshare.com/files/43377684,raw_downloads/EEG/sbj_P_28.mat,true,true,
EEG,24678000,EEG modality,43377393,sbj_P_29.mat,29,77914888,74.31 MB,https://ndownloader.figshare.com/files/43377393,raw_downloads/EEG/sbj_P_29.mat,true,true,
EEG,24678000,EEG modality,43377597,sbj_P_30.mat,30,83827844,79.94 MB,https://ndownloader.figshare.com/files/43377597,raw_downloads/EEG/sbj_P_30.mat,true,true,
EEG,24678000,EEG modality,43377450,sbj_P_31.mat,31,80816565,77.07 MB,https://ndownloader.figshare.com/files/43377450,raw_downloads/EEG/sbj_P_31.mat,true,true,
EEG,24678000,EEG modality,43377621,sbj_P_32.mat,32,85023252,81.08 MB,https://ndownloader.figshare.com/files/43377621,raw_downloads/EEG/sbj_P_32.mat,true,true,
EEG,24678000,EEG modality,43377492,sbj_P_33.mat,33,81070147,77.31 MB,https://ndownloader.figshare.com/files/43377492,raw_downloads/EEG/sbj_P_33.mat,true,true,
EEG,24678000,EEG modality,43377693,sbj_P_34.mat,34,86631454,82.62 MB,https://ndownloader.figshare.com/files/43377693,raw_downloads/EEG/sbj_P_34.mat,true,true,
EEG,24678000,EEG modality,43377642,sbj_P_35.mat,35,83953897,80.06 MB,https://ndownloader.figshare.com/files/43377642,raw_downloads/EEG/sbj_P_35.mat,true,true,
EEG,24678000,EEG modality,43377618,sbj_P_36.mat,36,83195308,79.34 MB,https://ndownloader.figshare.com/files/43377618,raw_downloads/EEG/sbj_P_36.mat,true,true,
EEG,24678000,EEG modality,43377405,sbj_P_37.mat,37,78275434,74.65 MB,https://ndownloader.figshare.com/files/43377405,raw_downloads/EEG/sbj_P_37.mat,true,true,
EEG,24678000,EEG modality,43377687,sbj_P_38.mat,38,86140963,82.15 MB,https://ndownloader.figshare.com/files/43377687,raw_downloads/EEG/sbj_P_38.mat,true,true,
EEG,24678000,EEG modality,43377741,sbj_P_39.mat,39,100094910,95.46 MB,https://ndownloader.figshare.com/files/43377741,raw_downloads/EEG/sbj_P_39.mat,true,true,
EEG,24678000,EEG modality,43377420,sbj_P_40.mat,40,77830261,74.22 MB,https://ndownloader.figshare.com/files/43377420,raw_downloads/EEG/sbj_P_40.mat,true,true,
EEG,24678000,EEG modality,43377747,sbj_P_41.mat,41,106375599,101.45 MB,https://ndownloader.figshare.com/files/43377747,raw_downloads/EEG/sbj_P_41.mat,true,true,
EEG,24678000,EEG modality,43377738,sbj_P_42.mat,42,92659491,88.37 MB,https://ndownloader.figshare.com/files/43377738,raw_downloads/EEG/sbj_P_42.mat,true,true,
EEG,24678000,EEG modality,43377522,sbj_P_43.mat,43,81460492,77.69 MB,https://ndownloader.figshare.com/files/43377522,raw_downloads/EEG/sbj_P_43.mat,true,true,
EEG,24678000,EEG modality,43377390,sbj_P_44.mat,44,76514816,72.97 MB,https://ndownloader.figshare.com/files/43377390,raw_downloads/EEG/sbj_P_44.mat,true,true,
EEG,24678000,EEG modality,43377414,sbj_P_45.mat,45,78262824,74.64 MB,https://ndownloader.figshare.com/files/43377414,raw_downloads/EEG/sbj_P_45.mat,true,true,
EEG,24678000,EEG modality,43377510,sbj_P_46.mat,46,80040588,76.33 MB,https://ndownloader.figshare.com/files/43377510,raw_downloads/EEG/sbj_P_46.mat,true,true,
EEG,24678000,EEG modality,43377423,sbj_P_47.mat,47,78086391,74.47 MB,https://ndownloader.figshare.com/files/43377423,raw_downloads/EEG/sbj_P_47.mat,true,true,
EEG,24678000,EEG modality,43377462,sbj_P_48.mat,48,79323201,75.65 MB,https://ndownloader.figshare.com/files/43377462,raw_downloads/EEG/sbj_P_48.mat,true,true,
EEG,24678000,EEG modality,43377726,sbj_P_49.mat,49,86521529,82.51 MB,https://ndownloader.figshare.com/files/43377726,raw_downloads/EEG/sbj_P_49.mat,true,true,
EEG,24678000,EEG modality,43377435,sbj_P_50.mat,50,78063975,74.45 MB,https://ndownloader.figshare.com/files/43377435,raw_downloads/EEG/sbj_P_50.mat,true,true,
EEG,24678000,EEG modality,43377375,sbj_P_52.mat,52,74551208,71.10 MB,https://ndownloader.figshare.com/files/43377375,raw_downloads/EEG/sbj_P_52.mat,true,true,
EEG,24678000,EEG modality,43377378,sbj_P_53.mat,53,75193793,71.71 MB,https://ndownloader.figshare.com/files/43377378,raw_downloads/EEG/sbj_P_53.mat,true,true,
EEG,24678000,EEG modality,43377498,sbj_P_54.mat,54,80539901,76.81 MB,https://ndownloader.figshare.com/files/43377498,raw_downloads/EEG/sbj_P_54.mat,true,true,
EEG,24678000,EEG modality,43377426,sbj_P_55.mat,55,78428871,74.80 MB,https://ndownloader.figshare.com/files/43377426,raw_downloads/EEG/sbj_P_55.mat,true,true,
EEG,24678000,EEG modality,43377666,sbj_P_56.mat,56,82225386,78.42 MB,https://ndownloader.figshare.com/files/43377666,raw_downloads/EEG/sbj_P_56.mat,true,true,
EEG,24678000,EEG modality,43377519,sbj_P_57.mat,57,80708180,76.97 MB,https://ndownloader.figshare.com/files/43377519,raw_downloads/EEG/sbj_P_57.mat,true,true,
EEG,24678000,EEG modality,43377750,sbj_P_58.mat,58,89013329,84.89 MB,https://ndownloader.figshare.com/files/43377750,raw_downloads/EEG/sbj_P_58.mat,true,true,
EEG,24678000,EEG modality,43377696,sbj_P_59.mat,59,83534059,79.66 MB,https://ndownloader.figshare.com/files/43377696,raw_downloads/EEG/sbj_P_59.mat,true,true,
EEG,24678000,EEG modality,43377711,sbj_P_60.mat,60,84533276,80.62 MB,https://ndownloader.figshare.com/files/43377711,raw_downloads/EEG/sbj_P_60.mat,true,true,
EEG,24678000,EEG modality,43377381,sbj_P_61.mat,61,74716119,71.25 MB,https://ndownloader.figshare.com/files/43377381,raw_downloads/EEG/sbj_P_61.mat,true,true,
EEG,24678000,EEG modality,43377690,sbj_P_62.mat,62,82238220,78.43 MB,https://ndownloader.figshare.com/files/43377690,raw_downloads/EEG/sbj_P_62.mat,true,true,
EEG,24678000,EEG modality,43377459,sbj_P_63.mat,63,79467663,75.79 MB,https://ndownloader.figshare.com/files/43377459,raw_downloads/EEG/sbj_P_63.mat,true,true,
EEG,24678000,EEG modality,43377447,sbj_P_64.mat,64,78647017,75.00 MB,https://ndownloader.figshare.com/files/43377447,raw_downloads/EEG/sbj_P_64.mat,true,true,
