modality,task,subject_id,fold_id,rating_column,n,rating_mean,rating_std,rating_min,rating_max,exact_midpoint_fraction,near_midpoint_fraction,discard_midpoint_n_valid,discard_midpoint_prop_high,discard_midpoint_n_high,discard_midpoint_n_low,midpoint_as_low_n_valid,midpoint_as_low_prop_high,midpoint_as_low_n_high,midpoint_as_low_n_low,midpoint_as_high_n_valid,midpoint_as_high_prop_high,midpoint_as_high_n_high,midpoint_as_high_n_low,discard_midpoint_abs_subject_prop_skew,midpoint_as_low_abs_subject_prop_skew,midpoint_as_high_abs_subject_prop_skew,mean_prediction_error_rate,max_prediction_error_rate,mean_true_prop_high
EEG,valence,1,4,valence_score,32,4.46875,2.4746764308692963,1.0,9.0,0.15625,0.15625,27,0.4444444444444444,12,15,32,0.375,12,20,32,0.53125,17,15,0.06859089799114793,0.04910714285714285,0.06597222222222221,0.49146412037037035,0.53125,0.4704861111111111
EEG,valence,2,2,valence_score,32,4.53125,2.839282204624965,1.0,9.0,0.09375,0.09375,29,0.4482758620689655,13,16,32,0.40625,13,19,32,0.5,16,16,0.06475948036662682,0.01785714285714285,0.09722222222222221,0.48073814655172414,0.5625,0.4636314655172414
EEG,valence,3,4,valence_score,32,4.71875,2.6485181588012567,1.0,9.0,0.15625,0.15625,27,0.4444444444444444,12,15,32,0.375,12,20,32,0.53125,17,15,0.06859089799114793,0.04910714285714285,0.06597222222222221,0.5070891203703703,0.5625,0.4704861111111111
EEG,valence,5,2,valence_score,32,5.09375,2.8870332414954976,1.0,9.0,0.03125,0.03125,31,0.5161290322580645,16,15,32,0.5,16,16,32,0.53125,17,15,0.0030936898224721565,0.07589285714285715,0.06597222222222221,0.4727822580645161,0.5161290322580645,0.5196572580645161
EEG,valence,6,1,valence_score,32,4.8125,3.0458732327528013,1.0,9.0,0.0625,0.0625,30,0.5,15,15,32,0.46875,15,17,32,0.53125,17,15,0.013035342435592345,0.04464285714285715,0.06597222222222221,0.49973958333333335,0.5625,0.5078125
EEG,valence,7,1,valence_score,32,4.75,1.8874586088176875,2.0,8.0,0.21875,0.21875,25,0.48,12,13,32,0.375,12,20,32,0.59375,19,13,0.03303534243559236,0.04910714285714285,0.00347222222222221,0.53,0.62,0.510625
EEG,valence,8,1,valence_score,32,5.25,2.692582403567252,1.0,9.0,0.0625,0.0625,30,0.5333333333333333,16,14,32,0.5,16,16,32,0.5625,18,14,0.02029799089774098,0.07589285714285715,0.03472222222222221,0.48411458333333335,0.5,0.5395833333333333
EEG,valence,9,3,valence_score,32,5.40625,2.5600216673887743,1.0,9.0,0.03125,0.03125,31,0.6451612903225806,20,11,32,0.625,20,12,32,0.65625,21,11,0.13212594788698828,0.20089285714285715,0.05902777777777779,0.5238155241935484,0.5625,0.6456653225806451
EEG,valence,10,3,valence_score,32,4.875,2.4206145913796355,1.0,9.0,0.1875,0.1875,26,0.46153846153846156,12,14,32,0.375,12,20,32,0.5625,18,14,0.05149688089713078,0.04910714285714285,0.03472222222222221,0.4786658653846154,0.5,0.4903846153846154
EEG,valence,11,2,valence_score,32,4.8125,3.136852522832401,1.0,9.0,0.125,0.125,28,0.5,14,14,32,0.4375,14,18,32,0.5625,18,14,0.013035342435592345,0.01339285714285715,0.03472222222222221,0.5239955357142857,0.6428571428571428,0.515625
EEG,valence,12,6,valence_score,32,5.15625,1.88926862502398,1.0,9.0,0.3125,0.3125,22,0.6363636363636364,14,8,32,0.4375,14,18,32,0.75,24,8,0.12332829392804401,0.01339285714285715,0.1527777777777778,0.4509943181818182,0.578125,0.6434659090909091
EEG,valence,13,1,valence_score,32,4.4375,1.818954026356906,1.0,8.0,0.25,0.25,24,0.4583333333333333,11,13,32,0.34375,11,21,32,0.59375,19,13,0.05470200910225903,0.08035714285714285,0.00347222222222221,0.4765625,0.5625,0.4973958333333333
EEG,valence,14,5,valence_score,32,4.59375,2.234101818964391,1.0,8.0,0.28125,0.28125,23,0.5652173913043478,13,10,32,0.40625,13,19,32,0.6875,22,10,0.05218204886875544,0.01785714285714285,0.09027777777777779,0.4429347826086957,0.5217391304347826,0.5866168478260869
EEG,valence,15,6,valence_score,32,4.75,1.75,2.0,8.0,0.28125,0.28125,23,0.43478260869565216,10,13,32,0.3125,10,22,32,0.59375,19,13,0.07825273373994018,0.11160714285714285,0.00347222222222221,0.4391983695652174,0.46875,0.483695652173913
EEG,valence,16,6,valence_score,32,4.53125,1.9997558444720196,1.0,8.0,0.1875,0.1875,26,0.5,13,13,32,0.40625,13,19,32,0.59375,19,13,0.013035342435592345,0.01785714285714285,0.00347222222222221,0.4846754807692308,0.546875,0.5234375
EEG,valence,17,2,valence_score,32,5.15625,2.623325358681229,1.0,9.0,0.15625,0.15625,27,0.5185185185185185,14,13,32,0.4375,14,18,32,0.59375,19,13,0.0054831760829261444,0.01339285714285715,0.00347222222222221,0.4736689814814815,0.5,0.5358796296296297
EEG,valence,18,6,valence_score,32,5.34375,2.857111467461499,1.0,9.0,0.21875,0.21875,25,0.52,13,12,32,0.40625,13,19,32,0.625,20,12,0.0069646575644076725,0.01785714285714285,0.02777777777777779,0.45421875,0.546875,0.5440625
EEG,valence,19,4,valence_score,32,5.09375,2.005607373715005,1.0,8.0,0.28125,0.28125,23,0.6086956521739131,14,9,32,0.4375,14,18,32,0.71875,23,9,0.09566030973832074,0.01339285714285715,0.12152777777777779,0.4921875,0.53125,0.6209239130434783
EEG,valence,20,3,valence_score,32,4.46875,2.358288243090738,1.0,8.0,0.15625,0.15625,27,0.4074074074074074,11,16,32,0.34375,11,21,32,0.5,16,16,0.10562793502818496,0.08035714285714285,0.09722222222222221,0.5163483796296297,0.59375,0.43778935185185186
EEG,valence,21,6,valence_score,32,4.75,2.850438562747845,1.0,9.0,0.09375,0.09375,29,0.4482758620689655,13,16,32,0.40625,13,19,32,0.5,16,16,0.06475948036662682,0.01785714285714285,0.09722222222222221,0.505792025862069,0.71875,0.4636314655172414
EEG,valence,22,6,valence_score,32,4.625,1.9324531042175384,1.0,8.0,0.34375,0.34375,21,0.5238095238095238,11,10,32,0.34375,11,21,32,0.6875,22,10,0.01077418137393149,0.08035714285714285,0.09027777777777779,0.48660714285714285,0.5714285714285714,0.5606398809523809
EEG,valence,23,5,valence_score,32,5.125,2.521780125229002,1.0,9.0,0.1875,0.1875,26,0.5384615384615384,14,12,32,0.4375,14,18,32,0.625,20,12,0.02542619602594609,0.01339285714285715,0.02777777777777779,0.6159855769230769,0.6875,0.5564903846153846
EEG,valence,24,5,valence_score,32,4.375,2.1028254801575903,1.0,8.0,0.34375,0.34375,21,0.47619047619047616,10,11,32,0.3125,10,22,32,0.65625,21,11,0.03684486624511618,0.11160714285714285,0.05902777777777779,0.5254836309523809,0.59375,0.5252976190476191
EEG,valence,25,4,valence_score,32,4.84375,2.785109681412924,1.0,9.0,0.125,0.125,28,0.5,14,14,32,0.4375,14,18,32,0.5625,18,14,0.013035342435592345,0.01339285714285715,0.03472222222222221,0.4341517857142857,0.46875,0.515625
EEG,valence,26,2,valence_score,32,4.5625,2.80554696093293,1.0,9.0,0.15625,0.15625,27,0.4444444444444444,12,15,32,0.375,12,20,32,0.53125,17,15,0.06859089799114793,0.04910714285714285,0.06597222222222221,0.5287905092592593,0.5625,0.4704861111111111
EEG,valence,27,5,valence_score,32,5.15625,2.5262295892297675,1.0,9.0,0.03125,0.03125,31,0.5806451612903226,18,13,32,0.5625,18,14,32,0.59375,19,13,0.06760981885473027,0.13839285714285715,0.00347222222222221,0.4996219758064516,0.59375,0.5826612903225806
EEG,valence,28,1,valence_score,32,4.84375,1.5832990676116752,2.0,7.0,0.21875,0.21875,25,0.48,12,13,32,0.375,12,20,32,0.59375,19,13,0.03303534243559236,0.04910714285714285,0.00347222222222221,0.5434375,0.5800000000000001,0.510625
EEG,valence,29,5,valence_score,32,5.375,2.2603926650031405,1.0,9.0,0.15625,0.15625,27,0.5925925925925926,16,11,32,0.5,16,16,32,0.65625,21,11,0.07955725015700021,0.07589285714285715,0.05902777777777779,0.4580439814814815,0.5,0.6012731481481481
EEG,valence,30,5,valence_score,32,4.90625,2.6734735714983233,1.0,8.0,0.0625,0.0625,30,0.5666666666666667,17,13,32,0.53125,17,15,32,0.59375,19,13,0.05363132423107431,0.10714285714285715,0.00347222222222221,0.43229166666666663,0.46875,0.5713541666666666
EEG,valence,31,2,valence_score,32,5.53125,3.4998604882909263,1.0,9.0,0.09375,0.09375,29,0.5517241379310345,16,13,32,0.5,16,16,32,0.59375,19,13,0.03868879549544213,0.07589285714285715,0.00347222222222221,0.4718480603448276,0.5,0.5598060344827587
EEG,valence,32,6,valence_score,32,4.5,2.091650066335189,1.0,9.0,0.21875,0.21875,25,0.48,12,13,32,0.375,12,20,32,0.59375,19,13,0.03303534243559236,0.04910714285714285,0.00347222222222221,0.4075,0.453125,0.510625
EEG,valence,33,6,valence_score,32,4.78125,1.9483065563457924,1.0,8.0,0.21875,0.21875,25,0.52,13,12,32,0.40625,13,19,32,0.625,20,12,0.0069646575644076725,0.01785714285714285,0.02777777777777779,0.448125,0.515625,0.5440625
