objective_run_id,feature_set_id,patch_candidate_id,model,training_category,modality,task,fold,n_train_pairs,n_val_pairs,train_positive_rate,val_positive_rate,accuracy,balanced_accuracy,macro_f1,pred_positive_rate,one_class_pred,scaler,fit_status
1,current_summary_diff_control,CONTROL_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,1,21694,4402,0.561076795427307,0.5365742844161745,0.5031803725579282,0.5035316116285633,0.5026701229271645,0.4954566106315311,False,none,no_training_random_balanced
2,current_summary_diff_control,CONTROL_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,2,21418,4678,0.5564011579045662,0.5594271056006841,0.5104745617785378,0.5092845514075196,0.5080263482751425,0.5111158614792647,False,none,no_training_random_balanced
3,current_summary_diff_control,CONTROL_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,3,21478,4618,0.5567091907998882,0.5580337808575141,0.49307059333044606,0.4930014447710183,0.4913703293422823,0.4997834560415764,False,none,no_training_random_balanced
4,current_summary_diff_control,CONTROL_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,4,21925,4171,0.5601368301026226,0.5401582354351474,0.4948453608247423,0.4942595366993007,0.49372742682756465,0.5068328937904579,False,none,no_training_random_balanced
5,current_summary_diff_control,CONTROL_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,5,22008,4088,0.5522082878953108,0.5824363992172211,0.49706457925636005,0.49694109808489245,0.4936027715017322,0.5002446183953033,False,none,no_training_random_balanced
6,current_summary_diff_control,CONTROL_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,6,21957,4139,0.5551760258687435,0.5663203672384634,0.5155834742691472,0.5156831405021534,0.513356392139505,0.5013288233872916,False,none,no_training_random_balanced
7,current_summary_diff_control,CONTROL_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,1,21694,4402,0.561076795427307,0.5365742844161745,0.5365742844161745,0.5,0.34920165582495566,1.0,True,none,no_training_majority_train_label
8,current_summary_diff_control,CONTROL_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,2,21418,4678,0.5564011579045662,0.5594271056006841,0.5594271056006841,0.5,0.35873886223440715,1.0,True,none,no_training_majority_train_label
9,current_summary_diff_control,CONTROL_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,3,21478,4618,0.5567091907998882,0.5580337808575141,0.5580337808575141,0.5,0.35816539263377345,1.0,True,none,no_training_majority_train_label
10,current_summary_diff_control,CONTROL_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,4,21925,4171,0.5601368301026226,0.5401582354351474,0.5401582354351474,0.5,0.35071606475716066,1.0,True,none,no_training_majority_train_label
11,current_summary_diff_control,CONTROL_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,5,22008,4088,0.5522082878953108,0.5824363992172211,0.5824363992172211,0.5,0.3680630700262792,1.0,True,none,no_training_majority_train_label
12,current_summary_diff_control,CONTROL_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,6,21957,4139,0.5551760258687435,0.5663203672384634,0.5663203672384634,0.5,0.3615610057072343,1.0,True,none,no_training_majority_train_label
13,current_summary_diff_control,CONTROL_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,1,21694,4402,0.561076795427307,0.5365742844161745,0.5499772830531576,0.5378164898474207,0.5301169340605226,0.6690140845070423,False,StandardScaler_train_fold_only,fit_train_fold_only
14,current_summary_diff_control,CONTROL_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,2,21418,4678,0.5564011579045662,0.5594271056006841,0.5284309533988885,0.5127056196032473,0.5101377221848484,0.6338178708849936,False,StandardScaler_train_fold_only,fit_train_fold_only
15,current_summary_diff_control,CONTROL_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,3,21478,4618,0.5567091907998882,0.5580337808575141,0.5220874837592031,0.5041730858114892,0.49940526929878654,0.6548289302728454,False,StandardScaler_train_fold_only,fit_train_fold_only
16,current_summary_diff_control,CONTROL_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,4,21925,4171,0.5601368301026226,0.5401582354351474,0.5320067130184608,0.5166806903736739,0.5053072374513011,0.6921601534404219,False,StandardScaler_train_fold_only,fit_train_fold_only
17,current_summary_diff_control,CONTROL_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,5,22008,4088,0.5522082878953108,0.5824363992172211,0.5217710371819961,0.49717299151380767,0.4947732493383314,0.6487279843444227,False,StandardScaler_train_fold_only,fit_train_fold_only
18,current_summary_diff_control,CONTROL_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,6,21957,4139,0.5551760258687435,0.5663203672384634,0.5366030442135782,0.5211277296624108,0.5200349940386797,0.619473302730128,False,StandardScaler_train_fold_only,fit_train_fold_only
19,current_summary_diff_control,CONTROL_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,1,21694,4402,0.561076795427307,0.5365742844161745,0.5488414357110404,0.5372926732081487,0.5305902326974933,0.6606088141753749,False,StandardScaler_train_fold_only,fit_train_fold_only
20,current_summary_diff_control,CONTROL_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,2,21418,4678,0.5564011579045662,0.5594271056006841,0.5260795211628901,0.511480194162121,0.5095421062988243,0.6241983753740915,False,StandardScaler_train_fold_only,fit_train_fold_only
21,current_summary_diff_control,CONTROL_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,3,21478,4618,0.5567091907998882,0.5580337808575141,0.5233867475097445,0.5069677547414214,0.5034650934996113,0.6422693806842789,False,StandardScaler_train_fold_only,fit_train_fold_only
22,current_summary_diff_control,CONTROL_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,4,21925,4171,0.5601368301026226,0.5401582354351474,0.530568209062575,0.5157367514152142,0.5052809572478592,0.6859266362982498,False,StandardScaler_train_fold_only,fit_train_fold_only
23,current_summary_diff_control,CONTROL_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,5,22008,4088,0.5522082878953108,0.5824363992172211,0.5210371819960861,0.49762090874175485,0.4957184315599223,0.6416340508806262,False,StandardScaler_train_fold_only,fit_train_fold_only
24,current_summary_diff_control,CONTROL_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,6,21957,4139,0.5551760258687435,0.5663203672384634,0.5334621889345252,0.5188766197343778,0.5180569547690774,0.6124667794153177,False,StandardScaler_train_fold_only,fit_train_fold_only
25,robust_scaled_current_summary_diff_control,CONTROL_robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,1,21694,4402,0.561076795427307,0.5365742844161745,0.5027260336210814,0.5028409373910445,0.5021087314134507,0.4986369831894593,False,none,no_training_random_balanced
26,robust_scaled_current_summary_diff_control,CONTROL_robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,2,21418,4678,0.5564011579045662,0.5594271056006841,0.5023514322359983,0.5031582585183245,0.5009488511230318,0.49358700299273195,False,none,no_training_random_balanced
27,robust_scaled_current_summary_diff_control,CONTROL_robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,3,21478,4618,0.5567091907998882,0.5580337808575141,0.5051970550021654,0.504376331004094,0.503057697483507,0.5075790385448246,False,none,no_training_random_balanced
28,robust_scaled_current_summary_diff_control,CONTROL_robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,4,21925,4171,0.5601368301026226,0.5401582354351474,0.5037161352193719,0.5052616670994114,0.5034900732173541,0.48117957324382643,False,none,no_training_random_balanced
29,robust_scaled_current_summary_diff_control,CONTROL_robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,5,22008,4088,0.5522082878953108,0.5824363992172211,0.49217221135029354,0.49365325523015025,0.4894957497921094,0.4899706457925636,False,none,no_training_random_balanced
30,robust_scaled_current_summary_diff_control,CONTROL_robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,6,21957,4139,0.5551760258687435,0.5663203672384634,0.49818796810823873,0.49836755017254986,0.49607523598145953,0.4984295723604735,False,none,no_training_random_balanced
31,robust_scaled_current_summary_diff_control,CONTROL_robust_scaled_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,1,21694,4402,0.561076795427307,0.5365742844161745,0.5365742844161745,0.5,0.34920165582495566,1.0,True,none,no_training_majority_train_label
32,robust_scaled_current_summary_diff_control,CONTROL_robust_scaled_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,2,21418,4678,0.5564011579045662,0.5594271056006841,0.5594271056006841,0.5,0.35873886223440715,1.0,True,none,no_training_majority_train_label
33,robust_scaled_current_summary_diff_control,CONTROL_robust_scaled_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,3,21478,4618,0.5567091907998882,0.5580337808575141,0.5580337808575141,0.5,0.35816539263377345,1.0,True,none,no_training_majority_train_label
34,robust_scaled_current_summary_diff_control,CONTROL_robust_scaled_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,4,21925,4171,0.5601368301026226,0.5401582354351474,0.5401582354351474,0.5,0.35071606475716066,1.0,True,none,no_training_majority_train_label
