objective_run_id,selected_formulation,patch_candidate_id,feature_set_id,model,training_category,modality,task,fold,train_subjects,val_subjects,include_predictions,authorized_status
1,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
2,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
3,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
4,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
5,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
6,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
7,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
8,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
9,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
10,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
11,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
12,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
13,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
14,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
15,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
16,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
17,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
18,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
19,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
20,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
21,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
22,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
23,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
24,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_current_summary_diff_control,current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
25,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
26,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
27,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
28,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
29,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
30,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
31,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
32,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
33,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
34,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
35,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
36,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,majority_train_label_no_training,no_training_control,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
37,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
38,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
39,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
