objective_run_id,model,training_category,modality,task,fold,n_train_pairs,n_val_pairs,accuracy,balanced_accuracy,macro_f1,pred_positive_rate,one_class_pred,subject_overlap,pair_overlap,leakage_guard_pass
1,random_balanced_no_training,no_training_control,EEG,valence,1,44384,9124,0.5061376589215256,0.5061376589215256,0.5061290922900592,0.5041648399824639,False,0,0,True
2,random_balanced_no_training,no_training_control,EEG,valence,2,44062,9446,0.5012703789964006,0.5012703789964006,0.5012694343771157,0.5013762439127674,False,0,0,True
3,random_balanced_no_training,no_training_control,EEG,valence,3,44164,9344,0.4900470890410959,0.4900470890410959,0.4900449805420286,0.502033390410959,False,0,0,True
4,random_balanced_no_training,no_training_control,EEG,valence,4,44886,8622,0.5005799118533982,0.5005799118533983,0.5005411047793131,0.5088146601716539,False,0,0,True
5,random_balanced_no_training,no_training_control,EEG,valence,5,45140,8368,0.502868068833652,0.502868068833652,0.5028458037761856,0.4933078393881453,False,0,0,True
6,random_balanced_no_training,no_training_control,EEG,valence,6,44904,8604,0.48802882380288237,0.48802882380288237,0.4880287615603477,0.4996513249651325,False,0,0,True
7,random_balanced_no_training,no_training_control,EEG,arousal,1,43388,8804,0.5104497955474784,0.5104497955474784,0.510446738619252,0.5024988641526579,False,0,0,True
8,random_balanced_no_training,no_training_control,EEG,arousal,2,42836,9356,0.4956177853783668,0.4956177853783668,0.4955977267777093,0.5063061137238136,False,0,0,True
9,random_balanced_no_training,no_training_control,EEG,arousal,3,42956,9236,0.494586401039411,0.494586401039411,0.4945848842672699,0.5017323516673885,False,0,0,True
10,random_balanced_no_training,no_training_control,EEG,arousal,4,43850,8342,0.5069527691201151,0.506952769120115,0.5069450532869411,0.5039558858786861,False,0,0,True
11,random_balanced_no_training,no_training_control,EEG,arousal,5,44016,8176,0.4982876712328767,0.49828767123287676,0.49825692728978765,0.5078277886497065,False,0,0,True
12,random_balanced_no_training,no_training_control,EEG,arousal,6,43914,8278,0.5015704276395264,0.5015704276395265,0.5015638812601366,0.5036240637835225,False,0,0,True
13,random_balanced_no_training,no_training_control,EMG,valence,1,44384,9124,0.4866286716352477,0.4866286716352477,0.4866266735787833,0.4980271810609382,False,0,0,True
14,random_balanced_no_training,no_training_control,EMG,valence,2,44062,9446,0.4893076434469617,0.48930764344696165,0.4893017824915665,0.5033876773237349,False,0,0,True
15,random_balanced_no_training,no_training_control,EMG,valence,3,44164,9344,0.4987157534246575,0.4987157534246575,0.49871187220291546,0.4972174657534247,False,0,0,True
16,random_balanced_no_training,no_training_control,EMG,valence,4,44886,8622,0.49512874043145444,0.4951287404314544,0.4951284076485729,0.4991881234052424,False,0,0,True
17,random_balanced_no_training,no_training_control,EMG,valence,5,45140,8368,0.49079827915869984,0.4907982791586998,0.4907979228364814,0.49916347992351817,False,0,0,True
18,random_balanced_no_training,no_training_control,EMG,valence,6,44904,8604,0.50046490004649,0.50046490004649,0.5004172827017352,0.4902370990237099,False,0,0,True
19,random_balanced_no_training,no_training_control,EMG,arousal,1,43388,8804,0.5047705588368924,0.5047705588368924,0.5047684887278936,0.497955474784189,False,0,0,True
20,random_balanced_no_training,no_training_control,EMG,arousal,2,42836,9356,0.501817015818726,0.501817015818726,0.5018165548262,0.5009619495510902,False,0,0,True
21,random_balanced_no_training,no_training_control,EMG,arousal,3,42956,9236,0.498051104374188,0.498051104374188,0.49796635676298695,0.4870073624945864,False,0,0,True
22,random_balanced_no_training,no_training_control,EMG,arousal,4,43850,8342,0.501558379285543,0.501558379285543,0.5015581214298918,0.4992807480220571,False,0,0,True
23,random_balanced_no_training,no_training_control,EMG,arousal,5,44016,8176,0.4980430528375734,0.4980430528375734,0.4980406198952193,0.49779843444227007,False,0,0,True
