objective_run_id,model,modality,task,fold,subject,n_val_pairs,balanced_accuracy,accuracy
1,random_balanced_no_training,EEG,valence,1,1,884,0.498868778280543,0.498868778280543
1,random_balanced_no_training,EEG,valence,1,15,848,0.5153301886792453,0.5153301886792453
1,random_balanced_no_training,EEG,valence,1,20,884,0.49321266968325794,0.49321266968325794
1,random_balanced_no_training,EEG,valence,1,26,858,0.5023310023310024,0.5023310023310024
1,random_balanced_no_training,EEG,valence,1,31,728,0.5343406593406593,0.5343406593406593
1,random_balanced_no_training,EEG,valence,1,37,764,0.4895287958115183,0.4895287958115183
1,random_balanced_no_training,EEG,valence,1,43,880,0.5352272727272727,0.5352272727272728
1,random_balanced_no_training,EEG,valence,1,49,794,0.517632241813602,0.517632241813602
1,random_balanced_no_training,EEG,valence,1,55,812,0.4864532019704434,0.48645320197044334
1,random_balanced_no_training,EEG,valence,1,60,832,0.4963942307692308,0.4963942307692308
1,random_balanced_no_training,EEG,valence,1,7,840,0.5,0.5
2,random_balanced_no_training,EEG,valence,2,10,892,0.5056053811659194,0.5056053811659192
2,random_balanced_no_training,EEG,valence,2,16,846,0.48936170212765956,0.48936170212765956
2,random_balanced_no_training,EEG,valence,2,21,860,0.49534883720930234,0.49534883720930234
2,random_balanced_no_training,EEG,valence,2,27,858,0.4825174825174825,0.4825174825174825
2,random_balanced_no_training,EEG,valence,2,32,864,0.47337962962962965,0.47337962962962965
2,random_balanced_no_training,EEG,valence,2,38,816,0.5208333333333333,0.5208333333333334
2,random_balanced_no_training,EEG,valence,2,44,840,0.5238095238095237,0.5238095238095238
2,random_balanced_no_training,EEG,valence,2,5,884,0.49208144796380093,0.4920814479638009
2,random_balanced_no_training,EEG,valence,2,56,878,0.5193621867881549,0.5193621867881549
2,random_balanced_no_training,EEG,valence,2,61,810,0.4901234567901235,0.4901234567901235
2,random_balanced_no_training,EEG,valence,2,8,898,0.5211581291759466,0.5211581291759465
3,random_balanced_no_training,EEG,valence,3,11,840,0.4809523809523809,0.48095238095238096
3,random_balanced_no_training,EEG,valence,3,17,880,0.4545454545454546,0.45454545454545453
3,random_balanced_no_training,EEG,valence,3,22,808,0.4715346534653465,0.4715346534653465
3,random_balanced_no_training,EEG,valence,3,28,810,0.48024691358024696,0.4802469135802469
3,random_balanced_no_training,EEG,valence,3,33,864,0.5127314814814815,0.5127314814814815
3,random_balanced_no_training,EEG,valence,3,39,854,0.4894613583138173,0.4894613583138173
3,random_balanced_no_training,EEG,valence,3,45,846,0.49763593380614657,0.49763593380614657
3,random_balanced_no_training,EEG,valence,3,50,844,0.5118483412322274,0.5118483412322274
3,random_balanced_no_training,EEG,valence,3,57,878,0.49316628701594534,0.49316628701594534
3,random_balanced_no_training,EEG,valence,3,62,872,0.4896788990825688,0.4896788990825688
