task,fold,n_val_pairs,task_mean_n_val_pairs,ratio_to_task_mean,task_pair_count_cv,task_pair_count_ratio_range,learned_mean_balanced_accuracy_in_fold,pair_count_flag
arousal,1,8804.0,8698.666666666666,1.0121091354996936,0.053701307121725314,0.13565297363580625,0.5247046796910495,False
arousal,2,9356.0,8698.666666666666,1.0755671367259352,0.053701307121725314,0.13565297363580625,0.5227126977340744,False
arousal,3,9236.0,8698.666666666666,1.0617719190680566,0.053701307121725314,0.13565297363580625,0.5112602858380251,False
arousal,4,8342.0,8698.666666666666,0.9589975475168608,0.053701307121725314,0.13565297363580625,0.5091704627187725,False
arousal,5,8176.0,8698.666666666666,0.9399141630901289,0.053701307121725314,0.13565297363580625,0.5070939334637965,False
arousal,6,8278.0,8698.666666666666,0.9516400980993256,0.053701307121725314,0.13565297363580625,0.5117178062333897,False
valence,1,9124.0,8918.0,1.0230993496299619,0.0455809231105299,0.12087912087912088,0.48928649715037265,False
valence,2,9446.0,8918.0,1.0592061000224267,0.0455809231105299,0.12087912087912088,0.5240313360152445,False
valence,3,9344.0,8918.0,1.0477685579726397,0.0455809231105299,0.12087912087912088,0.5034781678082192,False
valence,4,8622.0,8918.0,0.966808701502579,0.0455809231105299,0.12087912087912088,0.5030445372303409,False
valence,5,8368.0,8918.0,0.9383269791433057,0.0455809231105299,0.12087912087912088,0.5260516252390057,False
valence,6,8604.0,8918.0,0.9647903117290872,0.0455809231105299,0.12087912087912088,0.5315841469084147,False
