task,fold,train_positive_pairs_before_balance,train_negative_pairs_before_balance,train_positive_fraction_before_balance,train_balanced_positive_pairs,train_balanced_negative_pairs,train_balanced_positive_fraction,validation_positive_pairs,validation_negative_pairs,validation_positive_fraction,train_direction_pass,validation_direction_pass,pass
arousal,1,4606,6520,0.4139852597519324,4606,4606,0.5,943,1202,0.43962703962703964,True,True,True
arousal,2,4486,6263,0.4173411480137687,4486,4486,0.5,1063,1459,0.42149088025376685,True,True,True
arousal,3,4553,6300,0.41951534138026353,4553,4553,0.5,996,1422,0.4119106699751861,True,True,True
arousal,4,4536,6477,0.4118768727867066,4536,4536,0.5,1013,1245,0.44862710363153235,True,True,True
arousal,5,4895,6554,0.42754825748973707,4895,4895,0.5,654,1168,0.3589462129527991,True,False,False
arousal,6,4669,6496,0.41818181818181815,4669,4669,0.5,880,1226,0.4178537511870845,True,True,True
valence,1,7711,5186,0.5978909823990075,5186,5186,0.5,1430,965,0.5970772442588727,True,True,True
valence,2,7506,5003,0.6000479654648653,5003,5003,0.5,1635,1148,0.587495508444125,True,True,True
valence,3,7511,5072,0.5969164746085989,5072,5072,0.5,1630,1079,0.6016980435585086,True,False,False
valence,4,7649,5150,0.597624814438628,5150,5150,0.5,1492,1001,0.5984757320497393,True,True,True
valence,5,7822,5243,0.5986988136241868,5243,5243,0.5,1319,908,0.592276605298608,True,True,True
valence,6,7506,5101,0.5953835170936781,5101,5101,0.5,1635,1050,0.6089385474860335,True,False,False
