subject_id,n,mean_rating,std_rating,min_rating,max_rating,global_high_rate,rating_range,global_entropy,sr_valid,sr_high_rate,sr_retention,modality,task
1,32,4.46875,2.5142737680382305,1,9,0.53125,8,0.9971803988942642,23,0.5217391304347826,0.71875,EEG,valence
2,32,4.53125,2.8847136046140105,1,9,0.5,8,1.0,24,0.5416666666666666,0.75,EEG,valence
3,32,4.71875,2.690897140240563,1,9,0.53125,8,0.9971803988942642,25,0.48,0.78125,EEG,valence
5,32,5.09375,2.9332287065895986,1,9,0.53125,8,0.9971803988942642,24,0.5416666666666666,0.75,EEG,valence
6,32,4.8125,3.094610299088692,1,9,0.53125,8,0.9971803988942642,22,0.5,0.6875,EEG,valence
7,32,4.75,1.9176598642195932,2,8,0.59375,6,0.9744894033980523,25,0.48,0.78125,EEG,valence
8,32,5.25,2.7356664576921537,1,9,0.5625,8,0.9886994082884974,26,0.46153846153846156,0.8125,EEG,valence
9,32,5.40625,2.6009846150529103,1,9,0.65625,8,0.9283620723948676,24,0.5416666666666666,0.75,EEG,valence
10,32,4.875,2.4593468841898236,1,9,0.5625,8,0.9886994082884974,26,0.46153846153846156,0.8125,EEG,valence
11,32,4.8125,3.1870453502446634,1,9,0.5625,8,0.9886994082884974,26,0.5384615384615384,0.8125,EEG,valence
12,32,5.15625,1.9194988425241661,1,9,0.75,8,0.8112781244591328,32,0.4375,1.0,EEG,valence
13,32,4.4375,1.8480591388386793,1,8,0.59375,7,0.9744894033980523,24,0.4583333333333333,0.75,EEG,valence
14,32,4.59375,2.2698497179186736,1,8,0.6875,7,0.8960382325345574,32,0.40625,1.0,EEG,valence
15,32,4.75,1.7780017780026671,2,8,0.59375,6,0.9744894033980523,32,0.59375,1.0,EEG,valence
16,32,4.53125,2.031753969738557,1,8,0.59375,7,0.9744894033980523,24,0.5416666666666666,0.75,EEG,valence
17,32,5.15625,2.6653012297226915,1,9,0.59375,8,0.9744894033980523,24,0.4583333333333333,0.75,EEG,valence
18,32,5.34375,2.902828153770488,1,9,0.625,8,0.954434002924965,23,0.5217391304347826,0.71875,EEG,valence
19,32,5.09375,2.0376991293945936,1,8,0.71875,7,0.8571484374283715,32,0.4375,1.0,EEG,valence
20,32,4.46875,2.396023251004639,1,8,0.5,7,1.0,22,0.5,0.6875,EEG,valence
21,32,4.75,2.8960484758017344,1,9,0.5,8,1.0,28,0.42857142857142855,0.875,EEG,valence
22,32,4.625,1.9633743172603177,1,8,0.6875,7,0.8960382325345574,32,0.34375,1.0,EEG,valence
23,32,5.125,2.562131169365116,1,9,0.625,8,0.954434002924965,23,0.4782608695652174,0.71875,EEG,valence
24,32,4.375,2.136472824314004,1,8,0.65625,7,0.9283620723948676,32,0.65625,1.0,EEG,valence
25,32,4.84375,2.8296742659912115,1,9,0.5625,8,0.9886994082884974,23,0.4782608695652174,0.71875,EEG,valence
26,32,4.5625,2.850438562747845,1,9,0.53125,8,0.9971803988942642,23,0.4782608695652174,0.71875,EEG,valence
27,32,5.15625,2.5666518293105565,1,9,0.59375,8,0.9744894033980523,26,0.5,0.8125,EEG,valence
28,32,4.84375,1.6086334613277278,2,7,0.59375,5,0.9744894033980523,25,0.48,0.78125,EEG,valence
29,32,5.375,2.2965612442055834,1,9,0.65625,8,0.9283620723948676,24,0.5416666666666666,0.75,EEG,valence
30,32,4.90625,2.7162518648955194,1,8,0.59375,7,0.9744894033980523,25,0.48,0.78125,EEG,valence
31,32,5.53125,3.5558618119671714,1,9,0.59375,8,0.9744894033980523,25,0.56,0.78125,EEG,valence
