objective_run_id,planned_run_id,model,training_category,modality,task,fold,target,n_train,n_val,n_train_subjects,n_val_subjects,train_target_mean,val_target_mean,val_target_std,spearman_rho,mae_rank_percentile,rmse_rank_percentile,top_bottom_q33_balanced_accuracy,permutation_control_spearman,pred_min,pred_max,pred_mean
1,1,mean_baseline_no_training,no_training_control,EEG,valence,1,subject_relative_ordinal_affect_regression_v1,1664,352,52,11,0.5,0.5,0.2930766043824136,0.0,0.25412390029325516,0.2930766043824136,0.5,,0.5,0.5,0.5
2,2,mean_baseline_no_training,no_training_control,EEG,valence,2,subject_relative_ordinal_affect_regression_v1,1664,352,52,11,0.5,0.5,0.2920282252522175,0.0,0.2528409090909091,0.2920282252522175,0.5,,0.5,0.5,0.5
3,3,mean_baseline_no_training,no_training_control,EEG,valence,3,subject_relative_ordinal_affect_regression_v1,1664,352,52,11,0.5,0.5,0.2937818308985681,0.0,0.25412390029325516,0.2937818308985681,0.5,,0.5,0.5,0.5
4,4,mean_baseline_no_training,no_training_control,EEG,valence,4,subject_relative_ordinal_affect_regression_v1,1696,320,53,10,0.5,0.5,0.29262638793114953,0.0,0.2555443548387097,0.29262638793114953,0.5,,0.5,0.5,0.5
5,5,mean_baseline_no_training,no_training_control,EEG,valence,5,subject_relative_ordinal_affect_regression_v1,1696,320,53,10,0.5,0.5,0.2919226739303245,0.0,0.2501008064516129,0.2919226739303245,0.5,,0.5,0.5,0.5
6,6,mean_baseline_no_training,no_training_control,EEG,valence,6,subject_relative_ordinal_affect_regression_v1,1696,320,53,10,0.5,0.5,0.2919198890862367,0.0,0.2479838709677419,0.2919198890862367,0.5,,0.5,0.5,0.5
7,7,mean_baseline_no_training,no_training_control,EEG,arousal,1,subject_relative_ordinal_affect_regression_v1,1664,352,52,11,0.5,0.5,0.28688602268218966,0.0,0.249725073313783,0.28688602268218966,0.5,,0.5,0.5,0.5
8,8,mean_baseline_no_training,no_training_control,EEG,arousal,2,subject_relative_ordinal_affect_regression_v1,1664,352,52,11,0.5,0.5,0.2904294768991855,0.0,0.2560483870967742,0.2904294768991855,0.5,,0.5,0.5,0.5
9,9,mean_baseline_no_training,no_training_control,EEG,arousal,3,subject_relative_ordinal_affect_regression_v1,1664,352,52,11,0.5,0.5,0.2930488644086971,0.0,0.2567815249266862,0.2930488644086971,0.5,,0.5,0.5,0.5
10,10,mean_baseline_no_training,no_training_control,EEG,arousal,4,subject_relative_ordinal_affect_regression_v1,1696,320,53,10,0.5,0.5,0.29118375859499945,0.0,0.25483870967741934,0.29118375859499945,0.5,,0.5,0.5,0.5
