model,modality,task,subject_id,mean_error,max_error,n_rows,hard_subject_flag
ridge_regression_summary_features,EMG,valence,56,1.4441376028004804,1.4441376028004804,1,True
ridge_regression_summary_features,EEG,arousal,34,0.644683406868029,0.644683406868029,1,True
ridge_regression_summary_features,EEG,valence,34,0.4604225334233827,0.4604225334233827,1,True
ridge_regression_summary_features,EEG,valence,9,0.4533991483206957,0.4533991483206957,1,True
ridge_regression_summary_features,EEG,valence,3,0.4143770230964795,0.4143770230964795,1,True
ridge_regression_summary_features,EMG,arousal,56,0.3659645714652052,0.3659645714652052,1,True
ridge_regression_summary_features,EMG,valence,34,0.3373904573676293,0.3373904573676293,1,True
ridge_regression_summary_features,EEG,valence,1,0.3272575565868278,0.3272575565868278,1,True
ridge_regression_summary_features,EEG,arousal,1,0.3137966698325498,0.3137966698325498,1,True
ridge_regression_summary_features,EEG,valence,38,0.3117004138030063,0.3117004138030063,1,True
ridge_regression_summary_features,EEG,arousal,3,0.3102207424087631,0.3102207424087631,1,True
ridge_regression_summary_features,EMG,arousal,34,0.2980026019923334,0.2980026019923334,1,True
ridge_regression_summary_features,EEG,valence,7,0.295747937389163,0.295747937389163,1,True
ridge_regression_summary_features,EEG,valence,48,0.2924713707260862,0.2924713707260862,1,True
ridge_regression_summary_features,EEG,valence,62,0.2913894919231907,0.2913894919231907,1,True
ridge_regression_summary_features,EEG,arousal,10,0.2877393524343972,0.2877393524343972,1,True
ridge_regression_summary_features,EEG,arousal,62,0.2875749576030947,0.2875749576030947,1,True
ridge_regression_summary_features,EEG,arousal,2,0.2873394964211048,0.2873394964211048,1,True
ridge_regression_summary_features,EEG,valence,21,0.2871247552991095,0.2871247552991095,1,True
ridge_regression_summary_features,EEG,valence,2,0.2859888825488504,0.2859888825488504,1,True
ridge_regression_summary_features,EEG,valence,23,0.2833669636691704,0.2833669636691704,1,True
ridge_regression_summary_features,EEG,arousal,21,0.2829398085394814,0.2829398085394814,1,True
ridge_regression_summary_features,EEG,valence,17,0.282446508556747,0.282446508556747,1,True
ridge_regression_summary_features,EEG,valence,45,0.2822997517952137,0.2822997517952137,1,True
ridge_regression_summary_features,EEG,valence,58,0.280998728893336,0.280998728893336,1,True
ridge_regression_summary_features,EEG,arousal,9,0.2797329771106395,0.2797329771106395,1,True
ridge_regression_summary_features,EEG,valence,52,0.2794623869723872,0.2794623869723872,1,True
ridge_regression_summary_features,EEG,valence,54,0.2791973135299011,0.2791973135299011,1,True
ridge_regression_summary_features,EEG,arousal,52,0.2782005375590142,0.2782005375590142,1,True
ridge_regression_summary_features,EEG,arousal,23,0.2778202886530014,0.2778202886530014,1,True
ridge_regression_summary_features,EEG,arousal,40,0.2769705670512258,0.2769705670512258,1,True
ridge_regression_summary_features,EEG,valence,30,0.2762207890136749,0.2762207890136749,1,True
ridge_regression_summary_features,EEG,valence,28,0.2758350461859372,0.2758350461859372,1,True
ridge_regression_summary_features,EEG,arousal,28,0.275746036293359,0.275746036293359,1,True
ridge_regression_summary_features,EEG,valence,53,0.2752164777824754,0.2752164777824754,1,True
ridge_regression_summary_features,EEG,arousal,48,0.2748490003128047,0.2748490003128047,1,True
ridge_regression_summary_features,EEG,valence,11,0.274308433993464,0.274308433993464,1,True
ridge_regression_summary_features,EEG,valence,10,0.2742013689886478,0.2742013689886478,1,True
ridge_regression_summary_features,EEG,arousal,31,0.273983098508439,0.273983098508439,1,True
ridge_regression_summary_features,EEG,valence,39,0.2738238931914259,0.2738238931914259,1,True
ridge_regression_summary_features,EEG,arousal,17,0.2733545630836155,0.2733545630836155,1,True
ridge_regression_summary_features,EEG,arousal,33,0.2725154204506684,0.2725154204506684,1,True
ridge_regression_summary_features,EEG,arousal,59,0.2724081851700463,0.2724081851700463,1,True
ridge_regression_summary_features,EEG,arousal,42,0.2723687611135029,0.2723687611135029,1,True
ridge_regression_summary_features,EEG,valence,40,0.2721243778003135,0.2721243778003135,1,True
ridge_regression_summary_features,EEG,arousal,60,0.2715768189141384,0.2715768189141384,1,True
ridge_regression_summary_features,EEG,valence,50,0.270511552113891,0.270511552113891,1,True
ridge_regression_summary_features,EEG,valence,36,0.2705053379375271,0.2705053379375271,1,True
ridge_regression_summary_features,EEG,arousal,12,0.2703949111375864,0.2703949111375864,1,True
ridge_regression_summary_features,EEG,valence,19,0.2703598433526068,0.2703598433526068,1,True
ridge_regression_summary_features,EEG,valence,56,0.2703201948683872,0.2703201948683872,1,True
ridge_regression_summary_features,EEG,arousal,54,0.2697262940184835,0.2697262940184835,1,False
ridge_regression_summary_features,EEG,arousal,64,0.2694860404602192,0.2694860404602192,1,False
ridge_regression_summary_features,EEG,arousal,36,0.2688447205938409,0.2688447205938409,1,False
ridge_regression_summary_features,EEG,valence,65,0.2685839397850467,0.2685839397850467,1,False
ridge_regression_summary_features,EEG,arousal,39,0.2680869267317442,0.2680869267317442,1,False
ridge_regression_summary_features,EEG,valence,63,0.2680688540156071,0.2680688540156071,1,False
ridge_regression_summary_features,EEG,valence,59,0.267911591936479,0.267911591936479,1,False
ridge_regression_summary_features,EEG,arousal,46,0.2676477198635942,0.2676477198635942,1,False
ridge_regression_summary_features,EMG,arousal,27,0.2670581676571835,0.2670581676571835,1,False
ridge_regression_summary_features,EMG,valence,27,0.2668823721776934,0.2668823721776934,1,False
ridge_regression_summary_features,EEG,arousal,29,0.2663039018441355,0.2663039018441355,1,False
ridge_regression_summary_features,EEG,valence,61,0.2657139093590205,0.2657139093590205,1,False
ridge_regression_summary_features,EEG,arousal,61,0.2656797391383975,0.2656797391383975,1,False
ridge_regression_summary_features,EEG,arousal,19,0.2649481346117275,0.2649481346117275,1,False
ridge_regression_summary_features,EEG,arousal,30,0.2649447725049645,0.2649447725049645,1,False
ridge_regression_summary_features,EMG,valence,59,0.264595574096192,0.264595574096192,1,False
ridge_regression_summary_features,EEG,valence,14,0.2644255156643564,0.2644255156643564,1,False
ridge_regression_summary_features,EEG,arousal,24,0.2637393982310448,0.2637393982310448,1,False
ridge_regression_summary_features,EEG,arousal,38,0.2636927463633745,0.2636927463633745,1,False
ridge_regression_summary_features,EMG,valence,6,0.2635253031844847,0.2635253031844847,1,False
ridge_regression_summary_features,EEG,arousal,32,0.2631728119288328,0.2631728119288328,1,False
ridge_regression_summary_features,EMG,arousal,22,0.2631160386288483,0.2631160386288483,1,False
ridge_regression_summary_features,EEG,valence,57,0.2629858475914606,0.2629858475914606,1,False
ridge_regression_summary_features,EEG,valence,35,0.2625324497600294,0.2625324497600294,1,False
ridge_regression_summary_features,EEG,valence,31,0.2625260284979097,0.2625260284979097,1,False
ridge_regression_summary_features,EMG,arousal,41,0.2624762207603001,0.2624762207603001,1,False
ridge_regression_summary_features,EMG,arousal,35,0.2622192479237306,0.2622192479237306,1,False
ridge_regression_summary_features,EEG,arousal,5,0.2618291649360547,0.2618291649360547,1,False
ridge_regression_summary_features,EEG,valence,42,0.2616821873824619,0.2616821873824619,1,False
ridge_regression_summary_features,EMG,arousal,64,0.2615906442737047,0.2615906442737047,1,False
ridge_regression_summary_features,EMG,valence,1,0.2615564164616373,0.2615564164616373,1,False
ridge_regression_summary_features,EEG,arousal,14,0.2613127133924912,0.2613127133924912,1,False
ridge_regression_summary_features,EMG,valence,62,0.2613021615136721,0.2613021615136721,1,False
ridge_regression_summary_features,EEG,valence,26,0.260800985213468,0.260800985213468,1,False
ridge_regression_summary_features,EMG,valence,8,0.260648824284768,0.260648824284768,1,False
