modality,task,fold,control,n_val,spearman_rho,mae_rank_percentile,rmse_rank_percentile,q33_balanced_accuracy_audit,finite_metrics_passed
EEG,valence,1,train_mean_no_training,352,0.0,0.2532991202346041,0.2930791260680114,0.5,True
EEG,valence,1,train_label_resample_null,352,-0.07724897656606414,0.3563049853372434,0.43182316065419823,0.44154829545454544,True
EEG,valence,2,train_mean_no_training,352,0.0,0.2527492668621701,0.2933941660884396,0.5,True
EEG,valence,2,train_label_resample_null,352,0.06630412306017683,0.3255590175953079,0.39694056754303275,0.5198991596638656,True
EEG,valence,3,train_mean_no_training,352,0.0,0.2525659824046921,0.2930009437227461,0.5,True
EEG,valence,3,train_label_resample_null,352,-0.03868172729824516,0.33994684750733134,0.4162992459739358,0.4709699453551912,True
EEG,valence,4,train_mean_no_training,320,0.0,0.2525201612903226,0.29290129404649323,0.5,True
EEG,valence,4,train_label_resample_null,320,0.0036710518450921055,0.3355342741935484,0.40610764535401744,0.48384591488039763,True
EEG,valence,5,train_mean_no_training,320,0.0,0.2529233870967742,0.2916496328210646,0.5,True
EEG,valence,5,train_label_resample_null,320,-0.08243253020812304,0.3527721774193548,0.4295301273868766,0.45142326732673266,True
EEG,valence,6,train_mean_no_training,320,0.0,0.25090725806451614,0.29127029456385933,0.5,True
EEG,valence,6,train_label_resample_null,320,0.006569098678041016,0.34596774193548385,0.41839025230734816,0.5095751313797097,True
EEG,arousal,1,train_mean_no_training,352,0.0,0.2565065982404692,0.29125278642807695,0.5,True
EEG,arousal,1,train_label_resample_null,352,-0.08948335625244934,0.360749633431085,0.43983297922833886,0.42947993216506497,True
EEG,arousal,2,train_mean_no_training,352,0.0,0.25723973607038125,0.2925768824506584,0.5,True
EEG,arousal,2,train_label_resample_null,352,0.030692103962383418,0.3310117302052786,0.4045524364339121,0.4941252213101561,True
EEG,arousal,3,train_mean_no_training,352,0.0,0.25632331378299117,0.29012904921299715,0.5,True
EEG,arousal,3,train_label_resample_null,352,-0.014634998390786722,0.34063416422287385,0.4153563890234067,0.4757834757834758,True
EEG,arousal,4,train_mean_no_training,320,0.0,0.2511088709677419,0.2908876669016118,0.5,True
EEG,arousal,4,train_label_resample_null,320,0.04363096964058394,0.3264112903225806,0.40803383475119925,0.5117216117216117,True
EEG,arousal,5,train_mean_no_training,320,0.0,0.2537298387096774,0.29006765241244425,0.5,True
EEG,arousal,5,train_label_resample_null,320,0.046316741957493426,0.3287298387096774,0.4037919412789604,0.5006847230675593,True
EEG,arousal,6,train_mean_no_training,320,0.0,0.24858870967741936,0.2883811655953545,0.5,True
EEG,arousal,6,train_label_resample_null,320,0.0020424229880387575,0.33296370967741934,0.40979329070034526,0.4880952380952381,True
EMG,valence,1,train_mean_no_training,352,0.0,0.2532991202346041,0.2930791260680114,0.5,True
EMG,valence,1,train_label_resample_null,352,0.027525217653947467,0.3333486070381232,0.4076833890068638,0.46683238636363633,True
EMG,valence,2,train_mean_no_training,352,0.0,0.2527492668621701,0.2933941660884396,0.5,True
EMG,valence,2,train_label_resample_null,352,-0.021355514238628675,0.34517045454545453,0.4183959047926853,0.5131092436974789,True
EMG,valence,3,train_mean_no_training,352,0.0,0.2525659824046921,0.2930009437227461,0.5,True
EMG,valence,3,train_label_resample_null,352,0.06453568476536746,0.3239094574780058,0.3979911317143645,0.5496584699453553,True
EMG,valence,4,train_mean_no_training,320,0.0,0.2525201612903226,0.29290129404649323,0.5,True
EMG,valence,4,train_label_resample_null,320,0.002899437683694125,0.3337701612903226,0.4126795008810718,0.5151832867350108,True
EMG,valence,5,train_mean_no_training,320,0.0,0.2529233870967742,0.2916496328210646,0.5,True
EMG,valence,5,train_label_resample_null,320,0.0822811177319832,0.3136088709677419,0.3919035397841124,0.5674062942008486,True
EMG,valence,6,train_mean_no_training,320,0.0,0.25090725806451614,0.29127029456385933,0.5,True
EMG,valence,6,train_label_resample_null,320,-0.0018253515415135844,0.3404233870967742,0.4159367522759447,0.529259820076601,True
EMG,arousal,1,train_mean_no_training,352,0.0,0.2565065982404692,0.29125278642807695,0.5,True
EMG,arousal,1,train_label_resample_null,352,-0.046961715342101085,0.34361253665689145,0.4180760660016194,0.47392594686263423,True
EMG,arousal,2,train_mean_no_training,352,0.0,0.25723973607038125,0.2925768824506584,0.5,True
EMG,arousal,2,train_label_resample_null,352,-0.03987870297684891,0.33994684750733134,0.4242180436824363,0.49649927571221636,True
EMG,arousal,3,train_mean_no_training,352,0.0,0.25632331378299117,0.29012904921299715,0.5,True
EMG,arousal,3,train_label_resample_null,352,0.10275819304618904,0.30970491202346034,0.3862644169984891,0.5444444444444444,True
EMG,arousal,4,train_mean_no_training,320,0.0,0.2511088709677419,0.2908876669016118,0.5,True
EMG,arousal,4,train_label_resample_null,320,-0.01586148777515413,0.3454133064516129,0.4175217768968974,0.4736263736263736,True
EMG,arousal,5,train_mean_no_training,320,0.0,0.2537298387096774,0.29006765241244425,0.5,True
EMG,arousal,5,train_label_resample_null,320,0.02967965564147438,0.3330141129032258,0.4064278106829872,0.4616555082166768,True
EMG,arousal,6,train_mean_no_training,320,0.0,0.24858870967741936,0.2883811655953545,0.5,True
EMG,arousal,6,train_label_resample_null,320,0.019725590961929107,0.33316532258064513,0.412839035459041,0.5209821428571428,True
