global_run_id,design_run_id,stage,method,modality,task,fold,seed,same_class_cross_subject_distance_mean,diff_class_cross_subject_distance_mean,distance_margin_diff_minus_same
1,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,1,11,0.4169829785823822,0.41656380891799927,-0.00041916966438293457
2,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,2,11,0.4724186658859253,0.4730623662471771,0.0006437003612518311
3,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,3,11,0.4660183787345886,0.4655092656612396,-0.000509113073348999
4,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,4,11,0.43416550755500793,0.43476617336273193,0.000600665807723999
5,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,5,11,0.39779746532440186,0.3978552520275116,5.778670310974121e-05
6,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,6,11,0.42773276567459106,0.4276335835456848,-9.918212890625e-05
7,6,first_pass_minimal,CE_plus_SupCon,EEG,arousal,1,11,0.4676896333694458,0.46549612283706665,-0.0021935105323791504
8,6,first_pass_minimal,CE_plus_SupCon,EEG,arousal,2,11,0.44864651560783386,0.44826123118400574,-0.000385284423828125
9,6,first_pass_minimal,CE_plus_SupCon,EEG,arousal,3,11,0.4377148151397705,0.43774843215942383,3.361701965332031e-05
10,6,first_pass_minimal,CE_plus_SupCon,EEG,arousal,4,11,0.46305811405181885,0.4632476270198822,0.0001895129680633545
11,6,first_pass_minimal,CE_plus_SupCon,EEG,arousal,5,11,0.4490624666213989,0.45002123713493347,0.0009587705135345459
12,6,first_pass_minimal,CE_plus_SupCon,EEG,arousal,6,11,0.43860551714897156,0.43808451294898987,-0.0005210041999816895
13,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,1,11,0.3011245131492615,0.3008980453014374,-0.00022646784782409668
14,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,2,11,0.3656080365180969,0.36489835381507874,-0.0007096827030181885
15,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,3,11,0.3352498710155487,0.33483049273490906,-0.00041937828063964844
16,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,4,11,0.34807705879211426,0.3475991189479828,-0.0004779398441314697
17,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,5,11,0.44078585505485535,0.4416601359844208,0.0008742809295654297
18,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,6,11,0.3624790608882904,0.36182814836502075,-0.0006509125232696533
19,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,1,11,0.3109132945537567,0.3097371757030487,-0.0011761188507080078
20,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,2,11,0.294699102640152,0.2940060496330261,-0.0006930530071258545
21,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,3,11,0.3477097153663635,0.34734398126602173,-0.0003657341003417969
22,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,4,11,0.33826133608818054,0.3378108739852905,-0.00045046210289001465
23,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,5,11,0.4562259614467621,0.4558679759502411,-0.0003579854965209961
24,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,6,11,0.33494699001312256,0.33492210507392883,-2.4884939193725586e-05
25,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,1,11,0.6551940441131592,0.6538182497024536,-0.0013757944107055664
26,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,2,11,0.8232508301734924,0.823074221611023,-0.00017660856246948242
27,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,3,11,0.799115777015686,0.7988033890724182,-0.00031238794326782227
28,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,4,11,0.7863573431968689,0.7855560779571533,-0.0008012652397155762
29,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,5,11,0.7850050926208496,0.784354031085968,-0.0006510615348815918
30,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,6,11,0.7648134231567383,0.7656553387641907,0.0008419156074523926
31,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,1,11,0.8235723376274109,0.8221760392189026,-0.0013962984085083008
32,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,2,11,0.7731912136077881,0.7720970511436462,-0.0010941624641418457
33,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,3,11,0.8072864413261414,0.8080856800079346,0.0007992386817932129
34,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,4,11,0.7054784297943115,0.7049516439437866,-0.0005267858505249023
35,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,5,11,0.779066801071167,0.7797638773918152,0.0006970763206481934
36,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,6,11,0.81500244140625,0.8162828087806702,0.001280367374420166
37,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,1,11,0.6442707777023315,0.6430445909500122,-0.001226186752319336
38,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,2,11,0.574492871761322,0.5735589861869812,-0.0009338855743408203
39,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,3,11,0.5298893451690674,0.529259204864502,-0.0006301403045654297
40,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,4,11,0.6893649101257324,0.689075767993927,-0.0002891421318054199
41,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,5,11,0.669206440448761,0.6695446968078613,0.0003382563591003418
42,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,6,11,0.5845675468444824,0.5829669833183289,-0.0016005635261535645
43,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,1,11,0.5312767624855042,0.5303363800048828,-0.0009403824806213379
44,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,2,11,0.6337751746177673,0.6322336792945862,-0.0015414953231811523
45,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,3,11,0.6374915242195129,0.6368042230606079,-0.0006873011589050293
46,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,4,11,0.6550604104995728,0.6548140048980713,-0.00024640560150146484
47,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,5,11,0.7805548906326294,0.7805851697921753,3.0279159545898438e-05
48,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,6,11,0.5614421367645264,0.5614843368530273,4.220008850097656e-05
49,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,1,11,0.436949223279953,0.43670833110809326,-0.0002408921718597412
50,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,2,11,0.4952619969844818,0.49651265144348145,0.0012506544589996338
51,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,3,11,0.47624894976615906,0.4764258563518524,0.00017690658569335938
52,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,4,11,0.5052151679992676,0.5051073431968689,-0.00010782480239868164
53,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,5,11,0.44194692373275757,0.44153788685798645,-0.00040903687477111816
54,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,6,11,0.5151760578155518,0.51560378074646,0.0004277229309082031
55,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,1,11,0.4007907509803772,0.4018624424934387,0.0010716915130615234
56,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,2,11,0.4756282866001129,0.4747418165206909,-0.0008864700794219971
57,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,3,11,0.46728944778442383,0.4668463170528412,-0.0004431307315826416
58,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,4,11,0.515608549118042,0.5146318674087524,-0.0009766817092895508
59,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,5,11,0.38520288467407227,0.38530245423316956,9.956955909729004e-05
60,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,6,11,0.47121599316596985,0.47062307596206665,-0.0005929172039031982
61,15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,1,11,0.4052247107028961,0.404609352350235,-0.0006153583526611328
62,15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,2,11,0.3758135735988617,0.37532079219818115,-0.000492781400680542
63,15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,3,11,0.32935428619384766,0.3290054202079773,-0.00034886598587036133
64,15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,4,11,0.3340010643005371,0.3345472514629364,0.000546187162399292
65,15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,5,11,0.4624403119087219,0.4642048478126526,0.001764535903930664
