global_run_id,design_run_id,stage,method,modality,task,fold,seed,label_formulation,recipe,hyperparameter_tag,n_train,n_val,train_subject_count,val_subject_count,val_subjects,epochs,lr,hidden_dim,projection_dim,tau,lambda_supcon,lambda_vrex,warmup_epochs,positive_pair_coverage_train,row_overlap,subject_overlap,final_accuracy,final_balanced_accuracy,final_macro_f1,majority_accuracy,one_class_pred,pred_count_0,pred_count_1,tp,tn,fp,fn
1,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1352,277,52,11,6 7 8 13 28 38 43 54 58 59 65,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.516245487364621,0.5126373626373626,0.5122726794912226,0.5306859205776173,False,155,122,59,84,63,71
2,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1344,285,52,11,2 5 11 17 26 31 34 44 46 49 63,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.49473684210526314,0.5001231891199369,0.4721136036221445,0.512280701754386,False,80,205,100,41,105,39
3,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1362,267,52,11,9 10 20 35 39 45 47 48 52 57 62,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.46441947565543074,0.46514369106421194,0.4639382239382239,0.5093632958801498,False,123,144,66,58,78,65
4,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1379,250,53,10,1 3 19 25 36 40 42 53 55 61,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.508,0.5131915983606558,0.4866358369922703,0.512,False,71,179,89,38,90,33
5,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,5,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1354,275,53,10,14 23 24 27 29 30 37 56 60 64,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.4763636363636364,0.4757377223820177,0.4751908396946565,0.5418181818181819,False,136,139,72,59,67,77
6,5,first_pass_minimal,CE_plus_SupCon,EEG,valence,6,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1354,275,53,10,12 15 16 18 21 22 32 33 41 50,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.4690909090909091,0.4787883614739301,0.46034946236559143,0.5309090909090909,False,94,181,82,47,99,47
7,6,first_pass_minimal,CE_plus_SupCon,EEG,arousal,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1350,293,51,11,6 7 8 13 28 45 50 54 58 63 65,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.48464163822525597,0.46531954887218047,0.4495290707078248,0.5460750853242321,False,207,86,34,108,52,99
8,6,first_pass_minimal,CE_plus_SupCon,EEG,arousal,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1342,301,51,11,2 5 11 17 26 31 34 41 44 46 49,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.521594684385382,0.5150621118012423,0.5134261338123035,0.5348837209302325,False,179,122,59,98,63,81
9,6,first_pass_minimal,CE_plus_SupCon,EEG,arousal,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1387,256,52,10,9 10 20 35 36 39 47 48 59 62,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.5234375,0.5243239943844229,0.517667407956511,0.50390625,False,99,157,81,53,76,46
10,6,first_pass_minimal,CE_plus_SupCon,EEG,arousal,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1368,275,52,10,1 3 19 25 40 43 53 55 57 61,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.48,0.48397435897435903,0.4766505636070854,0.52,False,165,110,55,77,55,88
