cache_row,subject_id,subject_col,stimulus_id,eeg_file,eeg_begin_raw,energy_ratio_gt40hz,energy_ratio_gt64hz,stride_vs_poly_z_nrmse,stride_vs_poly_z_corr,stride_vs_lowpass_z_nrmse,stride_vs_lowpass_z_corr,poly_vs_lowpass_z_nrmse,poly_vs_lowpass_z_corr
0,1,sbj_P_01,Dummy_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,212425.0,0.026189706915464985,0.0007640887058713167,0.02890272801058714,0.9995823161567728,0.021491547618531875,0.9997690566904802,0.024902369626492418,0.9996899359934928
1,1,sbj_P_01,3053,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,226483.0,0.04764316216469914,0.0024434869129018664,0.03948869497066231,0.9992203214847567,0.0436031717959167,0.9990493817046675,0.024910546992293545,0.9996897323242716
2,1,sbj_P_01,Tumor_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,239003.0,0.06187123789246152,0.004175604877836131,0.0538930323261128,0.9985477705333484,0.061436687878498264,0.9981127666912603,0.02993410883566871,0.9995519745641073
3,1,sbj_P_01,Dog_18,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,253964.0,0.0421556074453431,0.0020813723593297462,0.0251263254631699,0.99968433388436,0.029407946605193355,0.9995675863382333,0.014332986068198252,0.9998972827551845
4,1,sbj_P_01,Miserable_pose_3,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,264561.0,0.06326861859093127,0.0030883732410522317,0.05730506920365593,0.9983580645217826,0.06289006974779288,0.9980224195635595,0.039381363973000835,0.9992245540858131
5,1,sbj_P_01,Pinecone_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,276235.0,0.051972946569498066,0.002823391041033098,0.05191983072502653,0.9986521655887421,0.04493155273039493,0.9989905777846175,0.03880215185043179,0.9992471965058882
6,1,sbj_P_01,Garbage_dump_6,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,287363.0,0.021443151548268327,0.0007241278780890526,0.026893982775019476,0.9996383568452489,0.018836129990492948,0.9998226001034902,0.023411819462061147,0.9997259433547367
7,1,sbj_P_01,Depressed_pose_4,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,296904.0,0.026694625368031744,0.0013149757096983803,0.02939927996141848,0.9995678411688753,0.031216210559993594,0.999512774099137,0.01854991575109746,0.9998279503128135
8,1,sbj_P_01,Angry_face_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,305880.0,0.02317083575962771,0.0007472009445911063,0.02770934573751409,0.9996160960794003,0.021474691458609956,0.999769418813379,0.023034341110488823,0.999734709564803
9,1,sbj_P_01,Dog_26,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,315458.0,0.020446042201632434,0.0006200973002330674,0.02397834789416459,0.9997125194161334,0.018343765592903124,0.9998317531319362,0.020346134511351564,0.9997930174052232
10,1,sbj_P_01,8370,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,326070.0,0.06183626888649811,0.00408906951610745,0.032930132737861134,0.9994578031789324,0.037123249655852286,0.9993109321674957,0.016565436225079163,0.9998627931613367
11,1,sbj_P_01,Dog_6,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,335422.0,0.07218767717333871,0.004703475582758691,0.05669684685368067,0.9983927337784249,0.06278621164567084,0.9980289458135922,0.023915413874956548,0.9997140264895941
12,1,sbj_P_01,9220,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,345287.0,0.018631908554453423,0.0005834873985094968,0.02737264013207972,0.9996253692860994,0.01563475462191607,0.9998777772239561,0.024873932166602036,0.9996906437492852
13,1,sbj_P_01,Lake_12,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,353739.0,0.029448556688355,0.001400377691919328,0.021322604959149886,0.9997726732588782,0.024400321790376052,0.9997023121482634,0.01293374630050018,0.9999163591033171
14,1,sbj_P_01,2314,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,363963.0,0.02072667186869614,0.0008245772740341587,0.018893894527205687,0.9998215103747973,0.019022841298890196,0.9998190657544588,0.014324790731764675,0.9998974001852458
15,1,sbj_P_01,1750,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,373509.0,0.021842074938564795,0.0005348698183459502,0.024200060186973984,0.9997071785434738,0.017872267271390015,0.9998402910312904,0.02057119751873772,0.9997884129163225
16,1,sbj_P_01,8492,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,382155.0,0.013468887057406759,0.0004498607155717714,0.02074628996499818,0.9997847957263446,0.014340124881755146,0.9998971804091877,0.01811517646009004,0.9998359201909102
17,1,sbj_P_01,1441,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,391442.0,0.021532090839797104,0.0005786030699167854,0.02100754631359485,0.9997793414989408,0.016734393241219562,0.9998599800414242,0.017337625728124303,0.9998497033670563
18,1,sbj_P_01,Flowers_6,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,401067.0,0.020138941282991416,0.00043670800822104397,0.01782641803447047,0.9998411094100306,0.01733192437129888,0.9998498021987939,0.013126584723645472,0.9999138463867469
19,1,sbj_P_01,Yarn_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,410923.0,0.017562702379884228,0.0007854963400773695,0.01867341807357669,0.9998256517287243,0.0199755315113032,0.9998004890704205,0.011525284123586752,0.9999335839129346
20,1,sbj_P_01,9331,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,421544.0,0.02156271336124512,0.0009497664624753462,0.03047671098683624,0.9995355850437124,0.028202941598962764,0.9996022970425829,0.024939594252220705,0.999689008319267
21,1,sbj_P_01,Beach_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,431351.0,0.031658720016813954,0.0013186522030298295,0.019090997545908185,0.9998177669063516,0.02239155761430767,0.9997493090738026,0.0100688643591124,0.9999493089852594
22,1,sbj_P_01,2491,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,441047.0,0.01869509088711035,0.0003819229452946691,0.011903829245926525,0.9999291494246423,0.009130832628065003,0.9999583139477591,0.010282150252784512,0.9999471386930897
23,1,sbj_P_01,9360,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,450986.0,0.021833243170933617,0.0005251333490204082,0.031590232214497964,0.9995010286143173,0.019623971424533433,0.9998074498727649,0.028664988525309944,0.9995891592164217
24,1,sbj_P_01,Lake_3,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,461161.0,0.015023275627537773,0.00028951716557900405,0.01414595494428691,0.999899945979357,0.012762490004365846,0.999918559424444,0.011391351500335777,0.9999351185554978
25,1,sbj_P_01,3170,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,504362.0,0.046654799211353445,0.0030034912470090144,0.04541366367798079,0.9989687995756711,0.05448062307424239,0.9985159308547217,0.02244269177564264,0.9997481627929324
26,1,sbj_P_01,8080,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,515369.0,0.020146406700845314,0.0007746911236904542,0.029864097460074894,0.9995540678414476,0.020666380378851497,0.9997864503610182,0.026023585676513784,0.9996613864942686
27,1,sbj_P_01,Snow_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,523305.0,0.04183935130279208,0.002712697812128521,0.03402653550410262,0.9994210974407939,0.03636755022086839,0.9993387006454665,0.019432289457569696,0.9998111930632182
28,1,sbj_P_01,4220,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,532347.0,0.023569002517353884,0.000649940247697155,0.026374876537472332,0.9996521829438169,0.020073921150651555,0.9997985188448186,0.022416858588985452,0.9997487422255008
29,1,sbj_P_01,5760,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,540812.0,0.02763491156712948,0.0012999928213961005,0.03127006985352793,0.9995110913656776,0.0260073582952881,0.9996618086572493,0.024561436209955455,0.9996983679256514
30,1,sbj_P_01,3063,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,549436.0,0.02696846147645541,0.0011530740699275477,0.0272197220426533,0.9996295433659605,0.03162165510432231,0.9995000354642319,0.01590424034834869,0.9998735275694711
31,1,sbj_P_01,3080,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,558453.0,0.03416952856835265,0.0011198814931433485,0.02514607679436843,0.9996838374109257,0.02500190068018274,0.9996874524811887,0.018249287468341382,0.9998334817534494
32,2,sbj_P_02,Dummy_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,189235.0,0.02136218502423002,0.000679754948949577,0.030891312759099433,0.9995228633980093,0.02884472647458869,0.999583990877303,0.024028419617348497,0.9997113175253465
33,2,sbj_P_02,3053,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,203757.0,0.01426098474427873,0.00029881892334670114,0.016190163936244114,0.9998689392958585,0.015438074030366676,0.9998808329351161,0.012546540526330687,0.9999212921604106
34,2,sbj_P_02,Tumor_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,217743.0,0.07889812685213786,0.005485885174833711,0.06925413997296505,0.9976019320483027,0.08060181128657803,0.9967516740086619,0.03289585613701197,0.9994589313245063
35,2,sbj_P_02,Dog_18,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,227464.0,0.014080968843290242,0.0003702071285985276,0.020288098503030292,0.9997941965295657,0.01675942715518802,0.9998595608007151,0.017224162065548998,0.9998516641205701
36,2,sbj_P_02,Miserable_pose_3,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,236337.0,0.011722343146096919,0.0003228442980490132,0.032962777990156046,0.9994567276335867,0.019774287093130914,0.9998044887849791,0.029782505812063924,0.9995565011737778
37,2,sbj_P_02,Pinecone_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,245587.0,0.013242639756997947,0.0002971873737621593,0.01935473987607586,0.9998126970221652,0.014413555169901483,0.9998961247136813,0.016757894468600848,0.9998595864864895
38,2,sbj_P_02,Garbage_dump_6,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,255389.0,0.00976109759154256,0.00021595087830156702,0.020781265007309663,0.9997840695123483,0.012556723642328651,0.9999211643456853,0.018892925753344555,0.9998215286782389
39,2,sbj_P_02,Depressed_pose_4,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,269309.0,0.011423226887289676,0.0003118150418657603,0.02031936030522941,0.999793561798393,0.015317485543943804,0.9998826873183055,0.017175194219559816,0.99985250635176
40,2,sbj_P_02,Angry_face_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,276987.0,0.09639060509803868,0.005772113491754901,0.06460078027208817,0.9979133695941184,0.07719896959956167,0.997020159546383,0.02973796806582356,0.9995578266276581
41,2,sbj_P_02,Dog_26,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,284295.0,0.012581325982250776,0.0003040626899023028,0.020151457246966785,0.9997969593854118,0.015763575709590086,0.9998757548404245,0.017008441055149617,0.9998553564664378
42,2,sbj_P_02,8370,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,297065.0,0.019478860863262396,0.0007098165028824058,0.023100254138571363,0.9997331891293666,0.021264451360933224,0.999773911554159,0.015545308235811697,0.9998791716959268
43,2,sbj_P_02,Dog_6,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,308805.0,0.012644543038983276,0.0002599594548616156,0.03142335399732788,0.9995062864117796,0.013545267031305824,0.9999082628705256,0.03006555765059601,0.9995480311215794
44,2,sbj_P_02,9220,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,324024.0,0.011798298682759448,0.00028383506931619414,0.032320636725694955,0.9994776882208225,0.012347798934204188,0.99992376593074,0.031262735464217914,0.9995113206856471
45,2,sbj_P_02,Lake_12,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,334092.0,0.014900839858640876,0.0003292698660520677,0.019800521292103083,0.9998039696782807,0.016302175260821804,0.9998671195408826,0.016133601975203492,0.9998698534436524
46,2,sbj_P_02,2314,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,349625.0,0.011062004657215024,0.0002511076340374414,0.01841972542123713,0.9998303568577027,0.01480491063362222,0.9998904073105651,0.015256745918869809,0.9998836158519839
47,2,sbj_P_02,1750,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,357015.0,0.010984053672216798,0.0002370368242854873,0.02177934813586797,0.9997628299973885,0.01450878493798737,0.9998947475798118,0.01955275820927664,0.9998088448232042
48,2,sbj_P_02,8492,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,376782.0,0.012384223471159873,0.0002845651735984527,0.03839709726734278,0.9992628314607208,0.013462397205927259,0.9999093819307355,0.03731895053472498,0.9993036479654935
49,2,sbj_P_02,1441,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,384720.0,0.011032670989088379,0.0002878663735014669,0.015424774543660907,0.9998810381651391,0.015423021912849277,0.9998810651975382,0.011195237825505437,0.9999373333250156
50,2,sbj_P_02,Flowers_6,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,402716.0,0.0216033418984327,0.0006024327887993723,0.02760851080347827,0.9996188850656073,0.02853136099837724,0.9995929807197901,0.019813190168372793,0.9998037187476757
51,2,sbj_P_02,Yarn_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,416169.0,0.013058468753589791,0.0002918217387346418,0.018489480939955942,0.9998290695472857,0.014568910327058296,0.9998938734259419,0.01572755780198667,0.9998763219627931
52,2,sbj_P_02,9331,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,423870.0,0.010573148702849677,0.000248220785229764,0.021281326992252596,0.9997735525607243,0.013914220980768024,0.9999031972272492,0.01890826304067695,0.9998212387943924
53,2,sbj_P_02,Beach_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,439349.0,0.01376384414125022,0.00037469099194482934,0.025024490643551583,0.999686887434016,0.015790463150261495,0.99987533063675,0.022582976224097582,0.9997450045924308
54,2,sbj_P_02,2491,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,449992.0,0.014667682649415379,0.00036485357946480296,0.02522172830002107,0.9996819322107798,0.0171138421442619,0.9998535582035311,0.02233367597607968,0.9997506034586976
55,2,sbj_P_02,9360,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,457571.0,0.04052154556477633,0.0031013280988738505,0.06324490159875293,0.9980000412108819,0.0670129076074668,0.9977546351069962,0.03325194651870948,0.9994471540263583
56,2,sbj_P_02,Lake_3,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,470656.0,0.012719453190084388,0.0003122264235796368,0.03283571351128396,0.9994609079591028,0.015130721786262758,0.9998855306291133,0.03126544808340194,0.9995112358780718
57,2,sbj_P_02,3170,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,479412.0,0.015565567290633086,0.00041320335427390005,0.019121361304493562,0.9998171867709316,0.018172639264849744,0.9998348775910744,0.014118321456419267,0.999900336499626
58,2,sbj_P_02,8080,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,492289.0,0.08138816273705811,0.007016139686079428,0.07560048080188227,0.997142283651262,0.10051744220178532,0.9949481219066059,0.039007599698582106,0.9992392035828769
59,2,sbj_P_02,Snow_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,500259.0,0.015108690515154712,0.0003006101446269447,0.018269377922641074,0.9998331149151596,0.017255662838538695,0.9998511210500017,0.014514633979056533,0.9998946627002271
60,2,sbj_P_02,4220,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,509558.0,0.00991262844865456,0.00021548970730052056,0.013042569476988638,0.9999149456907185,0.012070983652452395,0.9999271456768313,0.010143369102423352,0.9999485560316259
61,2,sbj_P_02,5760,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,519217.0,0.011442683891539514,0.0002598291619402713,0.022422250551574915,0.9997486213401008,0.013794352702229023,0.9999048579167634,0.020411635531514313,0.9997916825674642
62,2,sbj_P_02,3063,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,527097.0,0.009741836447114334,0.00018421256197379837,0.017957303714828652,0.9998387676216467,0.01402419347136365,0.9999016609987389,0.015377071209124214,0.9998817728405147
63,2,sbj_P_02,3080,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,534715.0,0.015862575321203845,0.00028080511037947603,0.026012125557045643,0.9996616846620022,0.018544495696770292,0.9998280508396762,0.02326096810904721,0.9997294636813149
64,3,sbj_P_03,Dummy_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,212000.0,0.05797667449506206,0.0032294404198638647,0.0510315234642409,0.9986978918064595,0.06140235136237239,0.998114875623586,0.02772091050297679,0.9996157755604428
65,3,sbj_P_03,3053,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,224907.0,0.0530930948512554,0.0023718034680627305,0.05452818037010768,0.9985133387727627,0.059268609969693575,0.99824361593613,0.03925192010103346,0.9992296433841912
66,3,sbj_P_03,Tumor_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,233661.0,0.017799555582178068,0.0010213516173351576,0.024948377372398967,0.9996887892332422,0.03173584235272732,0.9994964181550815,0.012694062181584061,0.9999194303926647
67,3,sbj_P_03,Dog_18,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,244928.0,0.03767895664142583,0.00168602690077924,0.035381198327441785,0.9993740854024562,0.04703567832611274,0.9988938224822005,0.019193713743072754,0.999815800676374
68,3,sbj_P_03,Miserable_pose_3,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,254512.0,0.04322413660030991,0.0024240769319556874,0.04309018358202016,0.9990716180394342,0.05364277925530067,0.9985612261168835,0.023108901834674782,0.9997329893279983
