run_id,cell_id,modality,task,label_policy,recipe,fold_id,seed,epochs,train_n,test_n,test_subjects,final_macro_f1,final_balanced_accuracy,final_accuracy,best_epoch,best_macro_f1,best_balanced_accuracy,best_accuracy,tn,fp,fn,tp,pred_0,pred_1,true_0,true_1,one_class_pred,majority_accuracy,duration_sec
1,C0,EEG,arousal,midpoint_as_high,ce_class_weighted,1,20260513,12,1664,352,6 8 14 15 19 23 32 50 59 64 65,0.5328062784927001,0.5395994832041344,0.5426136363636364,12,0.5328062784927001,0.5395994832041344,0.5426136363636364,70,102,59,121,129,223,172,180,False,0.5113636363636364,8.14074721885845
2,C0,EEG,arousal,midpoint_as_high,ce_class_weighted,2,20260514,12,1664,352,5 11 20 25 30 33 34 36 45 57 58,0.4989648033126294,0.5026029036117309,0.5,5,0.5661650233523612,0.5663659585475475,0.5681818181818182,80,103,73,96,153,199,183,169,False,0.5198863636363636,7.725778708700091
3,C0,EEG,arousal,midpoint_as_high,ce_class_weighted,3,20260515,12,1664,352,2 3 21 27 28 29 40 42 52 53 61,0.5667832620805804,0.5763482781026641,0.5681818181818182,11,0.5757149213283177,0.5765107212475633,0.5767045454545454,90,100,52,110,142,210,190,162,False,0.5397727272727273,7.756280957721174
4,C0,EEG,arousal,midpoint_as_high,ce_class_weighted,4,20260516,12,1696,320,1 10 12 17 24 31 44 47 54 62,0.4996873045653534,0.5020689655172415,0.5,12,0.4996873045653534,0.5020689655172415,0.5,84,91,69,76,153,167,175,145,False,0.546875,7.930816368199885
5,C0,EEG,arousal,midpoint_as_high,ce_class_weighted,5,20260517,12,1696,320,7 9 16 26 37 38 39 49 55 56,0.5478065002815584,0.5475933385937954,0.584375,10,0.5551955519555195,0.5616719963453631,0.565625,139,60,73,48,212,108,199,121,False,0.621875,7.648865040857345
6,C0,EEG,arousal,midpoint_as_high,ce_class_weighted,6,20260518,12,1696,320,13 18 22 35 41 43 46 48 60 63,0.5073207547169811,0.5080372077842601,0.521875,7,0.564108604143836,0.5638896821835094,0.584375,111,82,71,56,182,138,193,127,False,0.603125,7.5901216943748295
7,C1,EEG,valence,discard_midpoint,balanced_sampler_ce,1,20260519,12,1381,286,6 8 14 15 19 23 32 50 59 64 65,0.46751874402455595,0.48026412325752016,0.4825174825174825,10,0.5163235294117647,0.5182685253118122,0.5174825174825175,45,96,52,93,97,189,141,145,False,0.506993006993007,6.570407825987786
8,C1,EEG,valence,discard_midpoint,balanced_sampler_ce,2,20260520,12,1366,301,5 11 20 25 30 33 34 36 45 57 58,0.4417885843807954,0.48318603623508616,0.49169435215946844,7,0.5307266956043832,0.534909412284578,0.5382059800664452,29,117,36,119,65,236,146,155,False,0.5149501661129569,6.52671312680468
9,C1,EEG,valence,discard_midpoint,balanced_sampler_ce,3,20260521,12,1353,314,2 3 21 27 28 29 40 42 52 53 61,0.4904441481389604,0.5018259281801583,0.5,10,0.5263356379635449,0.539216879691621,0.5414012738853503,100,55,102,57,202,112,155,159,False,0.5063694267515924,6.345794396009296
10,C1,EEG,valence,discard_midpoint,balanced_sampler_ce,4,20260522,12,1409,258,1 10 12 17 24 31 44 47 54 62,0.43637830207703165,0.5153085824493732,0.49612403100775193,11,0.512272582913661,0.5214561234329798,0.5155038759689923,106,16,114,22,220,38,122,136,False,0.5271317829457365,6.680466832593083
11,C1,EEG,valence,discard_midpoint,balanced_sampler_ce,5,20260523,12,1406,261,7 9 16 26 37 38 39 49 55 56,0.5171775898520083,0.5172930123311803,0.5172413793103449,11,0.5478860833822665,0.5478860833822665,0.5478927203065134,69,61,65,66,134,127,130,131,False,0.5019157088122606,6.321304456796497
12,C1,EEG,valence,discard_midpoint,balanced_sampler_ce,6,20260524,12,1420,247,13 18 22 35 41 43 46 48 60 63,0.5343824276698632,0.5358362895808698,0.5344129554655871,12,0.5343824276698632,0.5358362895808698,0.5344129554655871,67,51,64,65,131,116,118,129,False,0.5222672064777328,6.269106701016426
