run_id,cell,fold_id,dataset,modality,task,label_column,model_family,train_subjects,test_subjects,train_n,test_n,train_label_0,train_label_1,test_label_0,test_label_1,selected_feature_count,selection_fit_scope,scaler_fit_scope,threshold_changed,test_stats_used,test_labels_used_for_fit_or_selection,accuracy,balanced_accuracy,macro_f1,confusion_tn,confusion_fp,confusion_fn,confusion_tp,true_count_0,true_count_1,pred_count_0,pred_count_1,one_class_collapse,collapsed_to_label,majority_label,majority_accuracy,majority_balanced_accuracy,majority_macro_f1
1,R0_current_representation_anchor,1,I-DARE,EEG-only,arousal,arousal_midpoint_as_high,RidgeClassifier,2 3 5 6 7 8 9 10 11 14 16 17 18 19 20 21 22 23 24 25 27 29 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 58 59 60 61 63 65,1 12 13 15 26 28 30 38 57 62 64,1664,352,896,768,216,136,256,train_fold_only,train_fold_only,False,False,False,0.5909090909090909,0.5522875816993464,0.5517826825127334,156,60,84,52,216,136,240,112,False,,0,0.6136363636363636,0.5,0.38028169014084506
2,R0_current_representation_anchor,2,I-DARE,EEG-only,arousal,arousal_midpoint_as_high,RidgeClassifier,1 2 3 5 6 7 9 11 12 13 14 15 16 17 19 20 21 22 23 25 26 27 28 30 32 33 35 36 37 38 39 40 42 44 45 47 48 49 50 52 54 55 56 57 58 59 60 61 62 63 64 65,8 10 18 24 29 31 34 41 43 46 53,1664,352,900,764,212,140,256,train_fold_only,train_fold_only,False,False,False,0.4659090909090909,0.4704851752021564,0.46297919304054275,95,117,71,69,212,140,166,186,False,,0,0.6022727272727273,0.5,0.375886524822695
3,R0_current_representation_anchor,3,I-DARE,EEG-only,arousal,arousal_midpoint_as_high,RidgeClassifier,1 3 5 7 8 9 10 12 13 14 15 16 17 18 19 20 21 23 24 26 27 28 29 30 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 49 50 53 54 55 57 58 59 60 61 62 64,2 6 11 22 25 32 48 52 56 63 65,1664,352,946,718,166,186,256,train_fold_only,train_fold_only,False,False,False,0.4630681818181818,0.4776849332815132,0.43304670921997906,122,44,145,41,166,186,267,85,False,,1,0.5284090909090909,0.5,0.34572490706319703
4,R0_current_representation_anchor,4,I-DARE,EEG-only,arousal,arousal_midpoint_as_high,RidgeClassifier,1 2 5 6 7 8 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 41 42 43 44 46 47 48 49 50 52 53 54 56 57 62 63 64 65,3 9 17 36 45 55 58 59 60 61,1696,320,928,768,184,136,256,train_fold_only,train_fold_only,False,False,False,0.58125,0.5888746803069054,0.5806603035518698,99,85,49,87,184,136,148,172,False,,0,0.575,0.5,0.36507936507936506
5,R0_current_representation_anchor,5,I-DARE,EEG-only,arousal,arousal_midpoint_as_high,RidgeClassifier,1 2 3 6 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 34 36 37 38 39 41 42 43 44 45 46 48 50 52 53 55 56 57 58 59 60 61 62 63 64 65,5 7 14 27 33 35 40 47 49 54,1696,320,931,765,181,139,256,train_fold_only,train_fold_only,False,False,False,0.559375,0.5579116817043603,0.5562156367105664,103,78,63,76,181,139,166,154,False,,0,0.565625,0.5,0.36127744510978044
6,R0_current_representation_anchor,6,I-DARE,EEG-only,arousal,arousal_midpoint_as_high,RidgeClassifier,1 2 3 5 6 7 8 9 10 11 12 13 14 15 17 18 22 24 25 26 27 28 29 30 31 32 33 34 35 36 38 40 41 43 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,16 19 20 21 23 37 39 42 44 50,1696,320,959,737,153,167,256,train_fold_only,train_fold_only,False,False,False,0.5,0.5020547141012094,0.4996873045653534,84,69,91,76,153,167,175,145,False,,1,0.521875,0.5,0.34291581108829566
7,R2_train_only_subject_invariant_feature_selection,1,I-DARE,EEG-only,arousal,arousal_midpoint_as_high,RidgeClassifier,2 3 5 6 7 8 9 10 11 14 16 17 18 19 20 21 22 23 24 25 27 29 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 58 59 60 61 63 65,1 12 13 15 26 28 30 38 57 62 64,1664,352,896,768,216,136,48,train_fold_only,train_fold_only,False,False,False,0.5340909090909091,0.48828976034858385,0.483667847304211,149,67,97,39,216,136,246,106,False,,0,0.6136363636363636,0.5,0.38028169014084506
8,R2_train_only_subject_invariant_feature_selection,2,I-DARE,EEG-only,arousal,arousal_midpoint_as_high,RidgeClassifier,1 2 3 5 6 7 9 11 12 13 14 15 16 17 19 20 21 22 23 25 26 27 28 30 32 33 35 36 37 38 39 40 42 44 45 47 48 49 50 52 54 55 56 57 58 59 60 61 62 63 64 65,8 10 18 24 29 31 34 41 43 46 53,1664,352,900,764,212,140,48,train_fold_only,train_fold_only,False,False,False,0.5227272727272727,0.5188679245283019,0.5151515151515151,114,98,70,70,212,140,184,168,False,,0,0.6022727272727273,0.5,0.375886524822695
9,R2_train_only_subject_invariant_feature_selection,3,I-DARE,EEG-only,arousal,arousal_midpoint_as_high,RidgeClassifier,1 3 5 7 8 9 10 12 13 14 15 16 17 18 19 20 21 23 24 26 27 28 29 30 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 49 50 53 54 55 57 58 59 60 61 62 64,2 6 11 22 25 32 48 52 56 63 65,1664,352,946,718,166,186,48,train_fold_only,train_fold_only,False,False,False,0.4772727272727273,0.49177354579608756,0.44880174291939,124,42,142,44,166,186,266,86,False,,1,0.5284090909090909,0.5,0.34572490706319703
10,R2_train_only_subject_invariant_feature_selection,4,I-DARE,EEG-only,arousal,arousal_midpoint_as_high,RidgeClassifier,1 2 5 6 7 8 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 41 42 43 44 46 47 48 49 50 52 53 54 56 57 62 63 64 65,3 9 17 36 45 55 58 59 60 61,1696,320,928,768,184,136,48,train_fold_only,train_fold_only,False,False,False,0.621875,0.6078964194373402,0.6085686268563169,129,55,66,70,184,136,195,125,False,,0,0.575,0.5,0.36507936507936506
