source_id,family,modality,representation,task,policy,recipe,subject_id,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy,true_0,true_1,pred_0,pred_1,tn,fp,fn,tp,one_class_pred,prob1_mean,prob1_std,prob1_q05,prob1_median,prob1_q95,brier,ece_10,best_threshold,best_threshold_macro_f1,best_threshold_balanced_accuracy,best_threshold_accuracy,best_threshold_pred_0,best_threshold_pred_1,threshold_macro_f1_gain,threshold_balanced_accuracy_gain,prediction_skew_abs
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,41,32,0.03125,0.015625,0.030303030303030304,1.0,32,0,1,31,1,31,0,0,False,,,,,,,,,,,,0,0,,,0.46875
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,41,32,0.09375,0.046875,0.08571428571428572,1.0,32,0,3,29,3,29,0,0,False,,,,,,,,,,,,0,0,,,0.40625
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,discard_midpoint,ce_class_weighted,3,27,0.1111111111111111,0.5384615384615384,0.1098901098901099,0.9629629629629629,26,1,2,25,2,24,0,1,False,0.5733648505475786,0.05040302006734006,0.4859159290790558,0.5687581300735474,0.65040825009346,0.3254445802296879,0.46950425814699237,0.6599999999999999,0.49056603773584906,0.5,0.9629629629629629,27,0,0.38067592784573917,-0.038461538461538436,0.42592592592592593
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,39,32,0.15625,0.22272727272727275,0.14876847290640394,0.6875,22,10,7,25,1,21,6,4,False,0.7039095931686461,0.28535498077315213,0.10939700603485103,0.8134535253047943,0.9764288812875748,0.6000572916541363,0.6646263203583658,0.845,0.4,0.4,0.4375,18,14,0.2512315270935961,0.17727272727272728,0.28125
broader_eeg_bsl_stats,broader_primary,EEG,STIM-BSL-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,6,32,0.15625,0.55,0.15542521994134897,0.9375,2,30,29,3,2,0,27,3,False,,,,,,,,,,,,0,0,,,0.40625
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,14,32,0.1875,0.5,0.15789473684210525,0.8125,26,6,0,32,0,26,0,6,True,,,,,,,,,,,,0,0,,,0.5
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,midpoint_as_low,balanced_sampler_ce,14,32,0.1875,0.3333333333333333,0.17460317460317462,0.9375,30,2,6,26,5,25,1,1,False,0.799292235635221,0.2834214851341553,0.13376862034201617,0.9483664035797119,0.9840402960777284,0.6927648554377804,0.7047520698979497,0.984670877456665,0.4754098360655738,0.48333333333333334,0.90625,31,1,0.3008066614623992,0.15000000000000002,0.3125
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,14,32,0.1875,0.4358974358974359,0.17460317460317462,0.8125,26,6,2,30,1,25,1,5,False,,,,,,,,,,,,0,0,,,0.4375
broader_emg_feature_only,broader_primary,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,3,32,0.1875,0.4358974358974359,0.17460317460317462,0.8125,26,6,2,30,1,25,1,5,False,0.5754283647984266,0.055106355535711006,0.49363786876201626,0.575494259595871,0.645557650923729,0.3101057901545895,0.39404178597033024,0.635,0.6444444444444445,0.6282051282051282,0.8125,28,4,0.46984126984126984,0.1923076923076923,0.4375
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,3,32,0.1875,0.4358974358974359,0.17460317460317462,0.8125,26,6,2,30,1,25,1,5,False,0.5754283647984266,0.055106355535711006,0.49363786876201626,0.575494259595871,0.645557650923729,0.3101057901545895,0.39404178597033024,0.635,0.6444444444444445,0.6282051282051282,0.8125,28,4,0.46984126984126984,0.1923076923076923,0.4375
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,discard_midpoint,balanced_sampler_ce,3,27,0.18518518518518517,0.5769230769230769,0.17500000000000002,0.9629629629629629,26,1,4,23,4,22,0,1,False,0.5475121239821116,0.052948839517413186,0.4842580556869507,0.5449451804161072,0.6213140845298767,0.3000537231428011,0.37354000519823144,0.635,0.49056603773584906,0.5,0.9629629629629629,27,0,0.315566037735849,-0.07692307692307687,0.35185185185185186
broader_emg_feature_only,broader_primary,EMG,feature-only,valence,midpoint_as_high,balanced_sampler_ce,33,32,0.21875,0.275,0.1991991991991992,0.625,12,20,25,7,6,6,19,1,False,0.4696275657042861,0.03542515381545817,0.4060958668589592,0.4684672653675079,0.5301097869873047,0.2715333482939669,0.32070924434810877,0.4625971615314483,0.5333333333333333,0.5333333333333333,0.5625,12,20,0.3341341341341341,0.2583333333333333,0.28125
label_emg_mainline,label_policy_ablation,EMG,feature-only,valence,midpoint_as_high,balanced_sampler_ce,33,32,0.21875,0.275,0.1991991991991992,0.625,12,20,25,7,6,6,19,1,False,0.4696275657042861,0.03542515381545817,0.4060958668589592,0.4684672653675079,0.5301097869873047,0.2715333482939669,0.32070924434810877,0.4625971615314483,0.5333333333333333,0.5333333333333333,0.5625,12,20,0.3341341341341341,0.2583333333333333,0.28125
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,midpoint_as_low,ce_class_weighted,7,32,0.25,0.125,0.2,1.0,32,0,8,24,8,24,0,0,False,0.7015721406787634,0.30842325603380416,0.11832797527313228,0.8775129318237305,0.9695645600557327,0.5873283734390762,0.5966709982603788,0.975899875164032,0.49206349206349204,0.484375,0.96875,31,1,0.292063492063492,0.359375,0.25
