subject_id,modality,task,label_policy,n,correct,errors,accuracy,error_rate,n_sources,n_recipes,n_folds,variants,recipes,hard_subject_flag
3,EMG,arousal,discard_midpoint,54,8,46,0.14814814814814814,0.8518518518518519,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
65,EMG,arousal,discard_midpoint,60,14,46,0.23333333333333334,0.7666666666666666,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
37,EMG,valence,midpoint_as_low,64,16,48,0.25,0.75,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
3,EMG,arousal,midpoint_as_high,192,53,139,0.2760416666666667,0.7239583333333333,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
21,EEG,valence,midpoint_as_low,64,18,46,0.28125,0.71875,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
33,EMG,valence,midpoint_as_low,64,18,46,0.28125,0.71875,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
11,EMG,arousal,discard_midpoint,48,14,34,0.2916666666666667,0.7083333333333333,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
11,EMG,arousal,midpoint_as_low,64,19,45,0.296875,0.703125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
65,EMG,arousal,midpoint_as_low,64,19,45,0.296875,0.703125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
10,EMG,valence,discard_midpoint,52,17,35,0.3269230769230769,0.6730769230769231,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
12,EEG,arousal,discard_midpoint,52,17,35,0.3269230769230769,0.6730769230769231,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
22,EMG,arousal,discard_midpoint,58,19,39,0.3275862068965517,0.6724137931034483,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
65,EMG,arousal,midpoint_as_high,192,63,129,0.328125,0.671875,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
28,EMG,arousal,midpoint_as_low,64,21,43,0.328125,0.671875,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
43,EEG,arousal,midpoint_as_low,64,21,43,0.328125,0.671875,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
14,EMG,arousal,midpoint_as_high,192,64,128,0.3333333333333333,0.6666666666666667,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
28,EMG,arousal,midpoint_as_high,192,64,128,0.3333333333333333,0.6666666666666667,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
41,EMG,arousal,midpoint_as_high,192,64,128,0.3333333333333333,0.6666666666666667,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
55,EMG,valence,midpoint_as_high,192,64,128,0.3333333333333333,0.6666666666666667,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
57,EMG,valence,discard_midpoint,54,18,36,0.3333333333333333,0.6666666666666667,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
19,EMG,valence,midpoint_as_high,192,65,127,0.3385416666666667,0.6614583333333333,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
23,EEG,valence,midpoint_as_high,192,65,127,0.3385416666666667,0.6614583333333333,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
12,EMG,valence,discard_midpoint,44,15,29,0.3409090909090909,0.6590909090909092,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
14,EMG,arousal,midpoint_as_low,64,22,42,0.34375,0.65625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
19,EEG,arousal,discard_midpoint,54,19,35,0.35185185185185186,0.6481481481481481,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
11,EEG,valence,discard_midpoint,56,20,36,0.35714285714285715,0.6428571428571428,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
65,EMG,valence,discard_midpoint,56,20,36,0.35714285714285715,0.6428571428571428,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
1,EEG,arousal,midpoint_as_low,64,23,41,0.359375,0.640625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
65,EMG,valence,midpoint_as_low,64,23,41,0.359375,0.640625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
33,EMG,valence,discard_midpoint,50,18,32,0.36,0.64,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
39,EEG,arousal,midpoint_as_high,192,70,122,0.3645833333333333,0.6354166666666667,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
5,EMG,arousal,midpoint_as_high,192,71,121,0.3697916666666667,0.6302083333333333,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
22,EMG,arousal,midpoint_as_high,192,71,121,0.3697916666666667,0.6302083333333333,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
7,EEG,arousal,midpoint_as_high,192,72,120,0.375,0.625,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
19,EMG,arousal,midpoint_as_high,192,72,120,0.375,0.625,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
52,EEG,valence,midpoint_as_high,192,72,120,0.375,0.625,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
