modality,task,fold,seed,candidate,base_feature_block,description,leakage_risk,transform_note,feature_dim,n_train,n_val,train_class0,train_class1,val_class0,val_class1,domain_shift_mean_abs_z,domain_shift_centroid_l2,train_class_separation,val_class_separation,val_train_separation_ratio,train_pos_rate,val_pos_rate,val_balance_gap
EEG,valence,1,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1352,277,682,670,147,130,0.1512341946363449,0.19797813892364502,0.043723415583372116,0.0817897841334343,1.8705746673155763,0.49556213017751477,0.4693140794223827,0.03068592057761732
EEG,valence,1,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1352,277,682,670,147,130,0.1512344777584076,0.19797879457473755,0.04372358322143555,0.08178999274969101,1.870572266760779,0.49556213017751477,0.4693140794223827,0.03068592057761732
EEG,valence,1,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1352,277,682,670,147,130,0.1512344777584076,0.19797879457473755,0.04372357577085495,0.0817900225520134,1.870573267094597,0.49556213017751477,0.4693140794223827,0.03068592057761732
EEG,valence,1,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1352,277,682,670,147,130,0.12547971308231354,0.14337120950222015,0.05205170810222626,0.09058205038309097,1.7401986118608272,0.49556213017751477,0.4693140794223827,0.03068592057761732
EEG,valence,1,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1352,277,682,670,147,130,0.12547935545444489,0.1433718204498291,0.05205119028687477,0.09058311581611633,1.7402363919152377,0.49556213017751477,0.4693140794223827,0.03068592057761732
EEG,valence,2,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1344,285,683,661,146,139,0.18257255852222443,0.31669124960899353,0.04207997024059296,0.13745827972888947,3.2665187837397296,0.49181547619047616,0.48771929824561405,0.012280701754385948
EEG,valence,2,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1344,285,683,661,146,139,0.1825730800628662,0.31669169664382935,0.04208006709814072,0.13745860755443573,3.266519055561429,0.49181547619047616,0.48771929824561405,0.012280701754385948
EEG,valence,2,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1344,285,683,661,146,139,0.1825731098651886,0.31669172644615173,0.04208006337285042,0.13745863735675812,3.266520052947207,0.49181547619047616,0.48771929824561405,0.012280701754385948
EEG,valence,2,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1344,285,683,661,146,139,0.09214934706687927,0.1260441690683365,0.0469791404902935,0.11073127388954163,2.3569804758761768,0.49181547619047616,0.48771929824561405,0.012280701754385948
EEG,valence,2,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1344,285,683,661,146,139,0.0921512246131897,0.12604574859142303,0.04697785526514053,0.11073249578475952,2.357070966497682,0.49181547619047616,0.48771929824561405,0.012280701754385948
EEG,valence,3,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1362,267,693,669,136,131,0.2503287196159363,0.32258960604667664,0.048820748925209045,0.08763009309768677,1.7948986881221514,0.4911894273127753,0.49063670411985016,0.009363295880149836
EEG,valence,3,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1362,267,693,669,136,131,0.2503291964530945,0.3225902020931244,0.048820916563272476,0.08763016015291214,1.7948938985085674,0.4911894273127753,0.49063670411985016,0.009363295880149836
EEG,valence,3,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1362,267,693,669,136,131,0.25032925605773926,0.32259026169776917,0.04882092401385307,0.08763016015291214,1.7948936245947076,0.4911894273127753,0.49063670411985016,0.009363295880149836
EEG,valence,3,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1362,267,693,669,136,131,0.16376318037509918,0.21603696048259735,0.06268532574176788,0.09733487665653229,1.5527290123446824,0.4911894273127753,0.49063670411985016,0.009363295880149836
EEG,valence,3,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1362,267,693,669,136,131,0.1637648493051529,0.2160387933254242,0.06268542259931564,0.09733696281909943,1.5527598925411012,0.4911894273127753,0.49063670411985016,0.009363295880149836
EEG,valence,4,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1379,250,701,678,128,122,0.28387218713760376,0.41611164808273315,0.04817922040820122,0.0886446163058281,1.8398549353821354,0.4916606236403191,0.488,0.01200000000000001
EEG,valence,4,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1379,250,701,678,128,122,0.28387290239334106,0.4161127805709839,0.04817957058548927,0.088644839823246,1.8398462024429305,0.4916606236403191,0.488,0.01200000000000001
EEG,valence,4,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1379,250,701,678,128,122,0.28387296199798584,0.41611289978027344,0.048179589211940765,0.088644839823246,1.8398454911646627,0.4916606236403191,0.488,0.01200000000000001
EEG,valence,4,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1379,250,701,678,128,122,0.09753632545471191,0.1383991688489914,0.04799490049481392,0.15669870376586914,3.2648351661367587,0.4916606236403191,0.488,0.01200000000000001
EEG,valence,4,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1379,250,701,678,128,122,0.09753751754760742,0.13840091228485107,0.04799555614590645,0.1567009836435318,3.2648380681141136,0.4916606236403191,0.488,0.01200000000000001
EEG,valence,5,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1354,275,703,651,126,149,0.26205071806907654,0.3318261206150055,0.052359629422426224,0.10689855366945267,2.041582670961317,0.4807976366322009,0.5418181818181819,0.041818181818181865
EEG,valence,5,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1354,275,703,651,126,149,0.2620515525341034,0.33182719349861145,0.05235981568694115,0.10689891129732132,2.041582238452065,0.4807976366322009,0.5418181818181819,0.041818181818181865
EEG,valence,5,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1354,275,703,651,126,149,0.2620515823364258,0.3318272531032562,0.05235981568694115,0.10689897835254669,2.0415835190895897,0.4807976366322009,0.5418181818181819,0.041818181818181865
EEG,valence,5,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1354,275,703,651,126,149,0.20089997351169586,0.24192120134830475,0.05644090101122856,0.11866535991430283,2.1024337910003337,0.4807976366322009,0.5418181818181819,0.041818181818181865
EEG,valence,5,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1354,275,703,651,126,149,0.20090126991271973,0.24192246794700623,0.056440550833940506,0.11866693198680878,2.102474688123731,0.4807976366322009,0.5418181818181819,0.041818181818181865
EEG,valence,6,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1354,275,683,671,146,129,0.1368747353553772,0.18666815757751465,0.04004756733775139,0.1437201052904129,3.5886453584804405,0.49556868537666177,0.4690909090909091,0.030909090909090886
EEG,valence,6,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1354,275,683,671,146,129,0.13687515258789062,0.18666861951351166,0.04004773125052452,0.1437205672264099,3.5886422051017557,0.49556868537666177,0.4690909090909091,0.030909090909090886
