modality,task,formulation,subject_id,fold_id,rating_column,n_total,n_nonmissing,n_valid,retention_fraction,n_low,n_high,prop_high,balance_gap_abs,rating_mean,rating_std,rating_min,rating_max,subject_statistic,threshold_low,threshold_high,n_ties_or_discarded,n_pairs_total,n_pairs_usable_unequal,pairwise_usable_fraction,global_median_reference,global_mean_reference
EEG,valence,subject_median_split,1,4,valence_score,32,32,27.0,0.84375,15.0,12.0,0.4444444444444444,0.05555555555555558,4.46875,2.4746764308692963,1.0,9.0,5.0,5.0,5.0,5,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,1,4,valence_score,32,32,32.0,1.0,15.0,17.0,0.53125,0.03125,4.46875,2.4746764308692963,1.0,9.0,4.46875,4.46875,4.46875,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,1,4,valence_score,32,32,23.0,0.71875,11.0,12.0,0.5217391304347826,0.021739130434782594,4.46875,2.4746764308692963,1.0,9.0,5.0,3.333333333333332,6.0,9,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,1,4,valence_score,32,32,,,,,,0.0,4.46875,2.4746764308692963,1.0,9.0,5.0,,,54,496.0,442.0,0.8911290322580645,5.0,4.911210317460317
EEG,valence,subject_median_split,2,2,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,4.53125,2.839282204624965,1.0,9.0,4.5,4.5,4.5,0,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,2,2,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,4.53125,2.839282204624965,1.0,9.0,4.53125,4.53125,4.53125,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,2,2,valence_score,32,32,24.0,0.75,11.0,13.0,0.5416666666666666,0.04166666666666663,4.53125,2.839282204624965,1.0,9.0,4.5,2.333333333333332,6.0,8,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,2,2,valence_score,32,32,,,,,,0.0,4.53125,2.839282204624965,1.0,9.0,4.5,,,53,496.0,443.0,0.8931451612903226,5.0,4.911210317460317
EEG,valence,subject_median_split,3,4,valence_score,32,32,27.0,0.84375,15.0,12.0,0.4444444444444444,0.05555555555555558,4.71875,2.6485181588012567,1.0,9.0,5.0,5.0,5.0,5,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,3,4,valence_score,32,32,32.0,1.0,15.0,17.0,0.53125,0.03125,4.71875,2.6485181588012567,1.0,9.0,4.71875,4.71875,4.71875,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,3,4,valence_score,32,32,25.0,0.78125,13.0,12.0,0.48,0.020000000000000018,4.71875,2.6485181588012567,1.0,9.0,5.0,3.0,6.0,7,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,3,4,valence_score,32,32,,,,,,0.0,4.71875,2.6485181588012567,1.0,9.0,5.0,,,47,496.0,449.0,0.905241935483871,5.0,4.911210317460317
EEG,valence,subject_median_split,5,2,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,5.09375,2.8870332414954976,1.0,9.0,5.5,5.5,5.5,0,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,5,2,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,5.09375,2.8870332414954976,1.0,9.0,5.09375,5.09375,5.09375,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,5,2,valence_score,32,32,24.0,0.75,11.0,13.0,0.5416666666666666,0.04166666666666663,5.09375,2.8870332414954976,1.0,9.0,5.5,3.333333333333332,7.0,8,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,5,2,valence_score,32,32,,,,,,0.0,5.09375,2.8870332414954976,1.0,9.0,5.5,,,54,496.0,442.0,0.8911290322580645,5.0,4.911210317460317
EEG,valence,subject_median_split,6,1,valence_score,32,32,30.0,0.9375,15.0,15.0,0.5,0.0,4.8125,3.0458732327528013,1.0,9.0,5.0,5.0,5.0,2,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,6,1,valence_score,32,32,32.0,1.0,15.0,17.0,0.53125,0.03125,4.8125,3.0458732327528013,1.0,9.0,4.8125,4.8125,4.8125,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,6,1,valence_score,32,32,22.0,0.6875,11.0,11.0,0.5,0.0,4.8125,3.0458732327528013,1.0,9.0,5.0,2.333333333333332,7.666666666666664,10,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,6,1,valence_score,32,32,,,,,,0.0,4.8125,3.0458732327528013,1.0,9.0,5.0,,,68,496.0,428.0,0.8629032258064516,5.0,4.911210317460317
EEG,valence,subject_median_split,7,1,valence_score,32,32,25.0,0.78125,13.0,12.0,0.48,0.020000000000000018,4.75,1.8874586088176875,2.0,8.0,5.0,5.0,5.0,7,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,7,1,valence_score,32,32,32.0,1.0,13.0,19.0,0.59375,0.09375,4.75,1.8874586088176875,2.0,8.0,4.75,4.75,4.75,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,7,1,valence_score,32,32,25.0,0.78125,13.0,12.0,0.48,0.020000000000000018,4.75,1.8874586088176875,2.0,8.0,5.0,4.0,6.0,7,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,7,1,valence_score,32,32,,,,,,0.0,4.75,1.8874586088176875,2.0,8.0,5.0,,,76,496.0,420.0,0.8467741935483871,5.0,4.911210317460317
EEG,valence,subject_median_split,8,1,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,5.25,2.692582403567252,1.0,9.0,5.5,5.5,5.5,0,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,8,1,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,5.25,2.692582403567252,1.0,9.0,5.25,5.25,5.25,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,8,1,valence_score,32,32,26.0,0.8125,14.0,12.0,0.46153846153846156,0.038461538461538436,5.25,2.692582403567252,1.0,9.0,5.5,4.0,7.0,6,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,8,1,valence_score,32,32,,,,,,0.0,5.25,2.692582403567252,1.0,9.0,5.5,,,47,496.0,449.0,0.905241935483871,5.0,4.911210317460317
EEG,valence,subject_median_split,9,3,valence_score,32,32,25.0,0.78125,12.0,13.0,0.52,0.020000000000000018,5.40625,2.5600216673887743,1.0,9.0,6.0,6.0,6.0,7,,,,5.0,4.911210317460317
