modality,candidate,description,is_raw_baseline,leakage_risk,implementation_risk,mean_domain_shift_mean_abs_z,mean_val_class_separation,mean_val_train_separation_ratio,mean_val_balance_gap,mean_shift_reduction_vs_raw,mean_val_sep_gain_vs_raw,diagnostic_score
EMG,emg_signed_log1p_train_standard_scaled,signed log1p EMG features plus train-only standard scaling,False,low,low,0.1931134673456351,0.09655908464143674,2.626422674028808,0.0217652359642295,0.21727928519248962,-0.007143065954248111,0.5219554947235828
EMG,emg_record_l2_normalized,per-record L2 normalization on EMG features,False,low,medium,0.19485598926742873,0.10135456640273333,1.6793084533014018,0.0217652359642295,0.215536763270696,-0.0023475841929515204,0.47086819176064393
EEG,eeg_window_channel_zscore_train_standard_scaled,per-trial channel zscore summary plus train-only standard scaling,False,low,low,0.12859836344917616,0.10787047321597736,2.5501033059294778,0.0217652359642295,0.08679410194357236,0.004787463073929151,0.2738220171239124
EEG,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,False,low,medium,0.1285971657683452,0.10786870991190274,2.5500769122713205,0.0217652359642295,0.08679529962440331,0.004785699769854546,0.22382088587742505
EMG,emg_train_robust_scaled,train-only robust scaling on EMG features,False,low,low,0.41039275750517845,0.10370233561843634,2.294009605775893,0.0217652359642295,-4.967053731282552e-09,1.8502275149027506e-07,0.09096882736123066
EMG,emg_raw_features,raw EMG features,True,low,low,0.41039275253812474,0.10370215059568484,2.2940088731857275,0.0217652359642295,0.0,0.0,0.09096845731572767
EMG,emg_train_standard_scaled,train-only standard scaling on EMG features,False,low,low,0.4103926581641038,0.10370155610144138,2.2939932223116175,0.0217652359642295,9.437402089436849e-08,-5.944942434628805e-07,0.09096834881664773
EEG,eeg_summary_train_robust_scaled,train-only robust scaling on EEG summary features,False,low,low,0.2153930589556694,0.10308329450587432,2.2780060222813785,0.0217652359642295,-5.93562920888265e-07,2.843638261159261e-07,0.0906594558165616
EEG,eeg_summary_train_standard_scaled,train-only standard scaling on EEG summary features,False,low,low,0.21539303412040076,0.10308327153325081,2.2780057369382316,0.0217652359642295,-5.687276522318522e-07,2.613912026087443e-07,0.09065940987131457
EEG,eeg_summary_raw,raw EEG summary features,True,low,low,0.2153924653927485,0.1030830101420482,2.2780080929470152,0.0217652359642295,0.0,0.0,0.09065888708890935
