test,modality,task,ce_first,ce_last,supcon_first,supcon_last,total_first,total_last,epochs,steps_per_epoch,train_mode,shuffle_labels,eval_on_train,accuracy,balanced_accuracy,macro_f1,one_class_pred
supcon_micro_overfit_smoke,EEG,valence,0.6832666158676147,0.0002615725825307891,4.1431962013244625,3.4340755939483643,1.0975862264633178,0.3436691343784332,90,4,micro_overfit,False,True,1.0,1.0,1.0,False
shuffled_label_negative_control,EEG,valence,0.6962601184844971,0.32082824110984803,4.149935913085938,3.840499687194824,1.1112537145614625,0.7048782110214233,25,16,subject_heldout_fold1,True,False,0.48736462093862815,0.4854264782836212,0.4854264782836211,False
one_fold_one_task_minimal_smoke,EEG,valence,0.697031581401825,0.17954736053943635,4.161021137237549,3.6692856311798097,1.113133716583252,0.5464759469032288,35,16,subject_heldout_fold1,False,False,0.4259927797833935,0.41870748299319727,0.4137683184921934,False
supcon_micro_overfit_smoke,EEG,arousal,0.6765371441841126,0.00029411602299660443,4.141495037078857,3.4340837478637694,1.0906866312026977,0.343702495098114,90,4,micro_overfit,False,True,1.0,1.0,1.0,False
shuffled_label_negative_control,EEG,arousal,0.6941691517829895,0.31689326763153075,4.157270050048828,3.851763868331909,1.109896183013916,0.7020696640014649,25,16,subject_heldout_fold1,True,False,0.4641638225255973,0.4605263157894737,0.4605443692610791,False
one_fold_one_task_minimal_smoke,EEG,arousal,0.6962459444999695,0.20908305644989014,4.146685314178467,3.6837367534637453,1.1109144926071166,0.5774567365646363,35,16,subject_heldout_fold1,False,False,0.45051194539249145,0.4531015037593985,0.4504095161534608,False
supcon_micro_overfit_smoke,EMG,valence,0.6897865056991577,0.015524564683437348,4.144054222106933,3.434288501739502,1.1041919469833374,0.35895342826843263,90,4,micro_overfit,False,True,1.0,1.0,1.0,False
shuffled_label_negative_control,EMG,valence,0.6944415092468261,0.6521958231925964,4.150685405731201,4.138530635833741,1.109510064125061,1.0660489082336426,25,16,subject_heldout_fold1,True,False,0.48014440433212996,0.4772893772893773,0.47713926174496646,False
one_fold_one_task_minimal_smoke,EMG,valence,0.6960474133491517,0.62376629114151,4.154538249969482,4.130355358123779,1.1115012407302856,1.036801850795746,35,16,subject_heldout_fold1,False,False,0.5342960288808665,0.5309785452642596,0.5307735742518351,False
supcon_micro_overfit_smoke,EMG,arousal,0.683263635635376,0.030039269104599954,4.152785968780518,3.434471845626831,1.0985422372817992,0.37348646521568296,90,4,micro_overfit,False,True,1.0,1.0,1.0,False
shuffled_label_negative_control,EMG,arousal,0.6901551961898804,0.6439337491989136,4.149090385437011,4.137967491149903,1.1050642251968383,1.057730507850647,25,16,subject_heldout_fold1,True,False,0.49829351535836175,0.5006578947368421,0.4980830410310792,False
one_fold_one_task_minimal_smoke,EMG,arousal,0.6936930894851685,0.637653136253357,4.158133602142334,4.13699369430542,1.1095064401626586,1.0513525009155273,35,16,subject_heldout_fold1,False,False,0.5426621160409556,0.5520676691729324,0.5414603382229282,False
