global_run_id,method,modality,task,fold,macro_f1,balanced_accuracy,accuracy,ce_loss_start,ce_loss_end,ce_loss_delta,ce_loss_relative_delta,supcon_loss_start,supcon_loss_end,supcon_loss_delta,supcon_loss_relative_delta,vrex_loss_start,vrex_loss_end,vrex_loss_delta,vrex_loss_relative_delta,total_loss_start,total_loss_end,total_loss_delta,total_loss_relative_delta,active_lambda_supcon_start,active_lambda_supcon_end,active_lambda_supcon_delta,active_lambda_supcon_relative_delta,active_lambda_vrex_start,active_lambda_vrex_end,active_lambda_vrex_delta,active_lambda_vrex_relative_delta,vrex_environment_count_start,vrex_environment_count_end,vrex_environment_count_delta,vrex_environment_count_relative_delta,design_run_id,fold_embedding,seed,same_class_cross_subject_distance_mean,diff_class_cross_subject_distance_mean,distance_margin_diff_minus_same
1,CE_plus_SupCon,EEG,valence,1,0.5122726794912226,0.5126373626373626,0.516245487364621,0.6962674260139465,0.6780077815055847,-0.018259644508361816,-0.026225044898188398,7.475269794464111,7.241904258728027,-0.23336553573608398,-0.0312183429030087,0.0,0.0,0.0,,0.6962674260139465,1.4021981954574585,0.705930769443512,1.0138787814401817,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,5,1,11,0.4169829785823822,0.4165638089179992,-0.0004191696643829
2,CE_plus_SupCon,EEG,valence,2,0.4721136036221445,0.5001231891199369,0.4947368421052631,0.6943305134773254,0.6766837239265442,-0.01764678955078125,-0.025415546642769772,7.563570976257324,7.245674133300781,-0.31789684295654297,-0.04202999402721909,0.0,0.0,0.0,,0.6943305134773254,1.4012510776519775,0.7069205641746521,1.0181326478571042,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,5,2,11,0.4724186658859253,0.4730623662471771,0.0006437003612518
3,CE_plus_SupCon,EEG,valence,3,0.4639382239382239,0.4651436910642119,0.4644194756554307,0.6973312497138977,0.6746784448623657,-0.022652804851531982,-0.032484998859331225,7.586226940155029,7.265820503234863,-0.320406436920166,-0.042235282367339554,0.0,0.0,0.0,,0.6973312497138977,1.401260495185852,0.7039292454719543,1.0094617812707571,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,5,3,11,0.4660183787345886,0.4655092656612396,-0.0005091130733489
4,CE_plus_SupCon,EEG,valence,4,0.4866358369922703,0.5131915983606558,0.508,0.6972809433937073,0.6785672307014465,-0.018713712692260742,-0.026838124388112495,7.4610066413879395,7.266797542572021,-0.19420909881591886,-0.0260298788287623,0.0,0.0,0.0,,0.6972809433937073,1.4052469730377195,0.7079660296440122,1.0153239327010717,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,5,4,11,0.4341655075550079,0.4347661733627319,0.0006006658077239
5,CE_plus_SupCon,EEG,valence,5,0.4751908396946565,0.4757377223820177,0.4763636363636364,0.7036005854606628,0.6794083118438721,-0.02419227361679077,-0.03438353252783546,7.432246208190918,7.247113227844238,-0.1851329803466797,-0.024909425113318857,0.0,0.0,0.0,,0.7036005854606628,1.4041197299957275,0.7005191445350647,0.9956204685026226,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,5,5,11,0.3977974653244018,0.3978552520275116,5.778670310974121e-05
6,CE_plus_SupCon,EEG,valence,6,0.4603494623655914,0.4787883614739301,0.4690909090909091,0.6976459622383118,0.680801510810852,-0.016844451427459717,-0.024144698513578942,7.539913177490234,7.250015735626221,-0.28989744186401367,-0.03844837931681729,0.0,0.0,0.0,,0.6976459622383118,1.405803084373474,0.7081571221351621,1.0150666103808965,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,5,6,11,0.427732765674591,0.4276335835456848,-9.918212890625e-05
7,CE_plus_SupCon,EEG,arousal,1,0.4495290707078248,0.4653195488721804,0.4846416382252559,0.7006925940513611,0.6813656687736511,-0.01932692527770996,-0.027582602473308414,7.6176981925964355,7.259884834289551,-0.35781335830688477,-0.04697132247305885,0.0,0.0,0.0,,0.7006925940513611,1.4073541164398191,0.706661522388458,1.0085186119958611,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,6,1,11,0.4676896333694458,0.4654961228370666,-0.0021935105323791
8,CE_plus_SupCon,EEG,arousal,2,0.5134261338123035,0.5150621118012423,0.521594684385382,0.6931889653205872,0.668952465057373,-0.02423650026321411,-0.03496377102887836,7.49122428894043,7.238893985748291,-0.25233030319213867,-0.033683453259390886,0.0,0.0,0.0,,0.6931889653205872,1.3928418159484863,0.6996528506278992,1.009324853150717,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,6,2,11,0.4486465156078338,0.4482612311840057,-0.0003852844238281
9,CE_plus_SupCon,EEG,arousal,3,0.517667407956511,0.5243239943844229,0.5234375,0.6942137479782104,0.6772525310516357,-0.016961216926574707,-0.02443226884510947,7.574660778045654,7.271923542022705,-0.3027372360229492,-0.039967101483989985,0.0,0.0,0.0,,0.6942137479782104,1.404444932937622,0.7102311849594116,1.0230727740956578,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,6,3,11,0.4377148151397705,0.4377484321594238,3.361701965332031e-05
10,CE_plus_SupCon,EEG,arousal,4,0.4766505636070854,0.483974358974359,0.48,0.7038957476615906,0.6800486445426941,-0.023847103118896484,-0.03387874297879886,7.49234676361084,7.2626752853393555,-0.22967147827148438,-0.030654144224472223,0.0,0.0,0.0,,0.7038957476615906,1.406316161155701,0.7024204134941103,0.9979040444946834,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,6,4,11,0.4630581140518188,0.4632476270198822,0.0001895129680633
