method,modality,task,n_runs,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_balanced_accuracy,mean_accuracy,folds_over_055_macro_f1,folds_under_050_macro_f1,one_class_pred_count
CE_plus_VREx,EMG,valence,6,0.5064987409626325,0.04144051165063541,0.4376097222411236,0.5563108336859924,0.5151315622001712,0.5185094553335976,2,3,0
CE_plus_VREx,EMG,arousal,6,0.4994751516439312,0.03823913039450445,0.4380121862597127,0.5506535947712419,0.5060278771870381,0.5033492231543106,1,3,0
CE_plus_VREx,EEG,arousal,6,0.4986816435814158,0.02830857748309988,0.4461538461538461,0.5348084352619604,0.5013508236181345,0.5058483135777154,0,4,0
CE_plus_SupCon_plus_VREx,EMG,valence,6,0.4974663355720498,0.021619747396907415,0.4558546597482829,0.519740328563858,0.5128975002109376,0.5123630489439027,0,2,0
CE_plus_SupCon,EMG,valence,6,0.49206489825467564,0.04762169734829774,0.3863975155279503,0.5236272811505459,0.5059156889086484,0.5062754606506087,0,1,0
CE_plus_VREx,EEG,valence,6,0.48925650724296066,0.026008141392444967,0.4475249116039859,0.5245974662317074,0.4975455233450933,0.49329045497060064,0,4,0
CE_plus_SupCon_plus_VREx,EEG,arousal,6,0.4871367546309133,0.025260608930182556,0.4353448935551508,0.509095545732744,0.4961262084568384,0.4993261219804373,0,4,0
CE_plus_SupCon_plus_VREx,EMG,arousal,6,0.48665211741476533,0.04184717254786382,0.3948710405021084,0.5155207392726889,0.5097351576754078,0.5036238102846006,0,2,0
CE_plus_SupCon,EMG,arousal,6,0.48167581194002673,0.0372768257190924,0.4165638766519824,0.5307692307692308,0.5006738336667316,0.49882840577107607,0,4,0
CE_plus_SupCon,EEG,valence,6,0.47841677435068486,0.017320354613586688,0.4603494623655914,0.5122726794912226,0.4909369875063525,0.48814272509664336,0,5,0
CE_plus_SupCon,EEG,arousal,6,0.47713590482276325,0.029413192505268956,0.4409099672257567,0.517667407956511,0.48446749142334466,0.4874749553287656,0,4,0
CE_plus_SupCon_plus_VREx,EEG,valence,6,0.47381824613105405,0.03153743981585504,0.4411636629254519,0.5258646596892843,0.49283072163707997,0.4860759324538901,0,4,0
