candidate_id,modality,task,fold,run_macro_f1,run_bal_acc,run_acc,pos_cov,n_predictions,prediction_accuracy,n_subjects,mean_subject_accuracy,std_subject_accuracy,min_subject_accuracy,hard_subject_count
A0_CE_control,EEG,valence,1,0.5201533820567619,0.5295871635201476,0.5596590909090909,0.0,352,0.5596590909090909,11,0.5596590909090909,0.07188117562401794,0.4375,1
A0_CE_control,EEG,valence,2,0.5309012160586373,0.5308691043985162,0.5454545454545454,0.0,352,0.5454545454545454,11,0.5454545454545454,0.07573034548496875,0.4375,1
A0_CE_control,EEG,valence,3,0.5081669839765327,0.5124365567543948,0.5142045454545454,0.0,352,0.5142045454545454,11,0.5142045454545454,0.1328500949464197,0.34375,5
A0_CE_control,EEG,valence,4,0.531571451178984,0.5352226720647774,0.5375,0.0,320,0.5375,10,0.5375,0.11391852595410264,0.40625,3
A0_CE_control,EEG,valence,5,0.5238095238095238,0.532414136799701,0.53125,0.0,320,0.53125,10,0.53125,0.06750771560841522,0.375,1
A0_CE_control,EEG,valence,6,0.5222169135212613,0.5291747996179244,0.53125,0.0,320,0.53125,10,0.53125,0.0858980338670346,0.4375,2
A0_CE_control,EEG,arousal,1,0.5390435541759627,0.5451220717604033,0.5397727272727273,0.0,352,0.5397727272727273,11,0.5397727272727273,0.08848873194830052,0.34375,2
A0_CE_control,EEG,arousal,2,0.5156291983878191,0.5157765801077903,0.5198863636363636,0.0,352,0.5198863636363636,11,0.5198863636363636,0.08868915968400279,0.375,3
A0_CE_control,EEG,arousal,3,0.5445134575569358,0.5448380534116963,0.5454545454545454,0.0,352,0.5454545454545454,11,0.5454545454545454,0.09917987561634027,0.375,2
A0_CE_control,EEG,arousal,4,0.4652019663992025,0.4724137931034483,0.465625,0.0,320,0.465625,10,0.465625,0.15127496350465047,0.21875,4
A0_CE_control,EEG,arousal,5,0.5094139219831862,0.513921568627451,0.521875,0.0,320,0.521875,10,0.521875,0.09552713765091979,0.34375,2
A0_CE_control,EEG,arousal,6,0.5186052303860523,0.524300380857758,0.528125,0.0,320,0.528125,10,0.528125,0.08646460820602972,0.40625,2
A0_CE_control,EMG,valence,1,0.4474097331240189,0.4474317155942143,0.4545454545454545,0.0,352,0.45454545454545453,11,0.45454545454545453,0.07573034548496875,0.34375,4
A0_CE_control,EMG,valence,2,0.4886198547215497,0.5022522522522522,0.4886363636363636,0.0,352,0.48863636363636365,11,0.48863636363636365,0.13130410140378154,0.25,3
A0_CE_control,EMG,valence,3,0.5182259182259182,0.5197136230714934,0.5511363636363636,0.0,352,0.5511363636363636,11,0.5511363636363636,0.07163373538671948,0.4375,1
A0_CE_control,EMG,valence,4,0.4700065661168768,0.4775303643724696,0.471875,0.0,320,0.471875,10,0.471875,0.09252674163001022,0.3125,4
A0_CE_control,EMG,valence,5,0.5037255565013585,0.5168196353669172,0.584375,0.0,320,0.584375,10,0.584375,0.10628063283903923,0.375,2
A0_CE_control,EMG,valence,6,0.5322191932361424,0.543917936791395,0.5375,0.0,320,0.5375,10,0.5375,0.08307250848907036,0.40625,2
A0_CE_control,EMG,arousal,1,0.5550802139037433,0.5592237488056406,0.5568181818181818,0.0,352,0.5568181818181818,11,0.5568181818181818,0.12794818731175378,0.3125,2
