candidate_id,modality,task,n_runs,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,mean_accuracy,folds_over_055_macro_f1,folds_under_050_macro_f1,one_class_pred_count,mean_positive_pair_coverage
A0_CE_control,EEG,arousal,6,0.5154012214815265,0.0281872765522954,0.5193954079780911,0.5201231060606061,0,1,0,0.0
A0_CE_control,EEG,valence,6,0.5228032451002834,0.008544669295814454,0.5282840721925769,0.5365530303030303,0,0,0,0.0
A0_CE_control,EMG,arousal,6,0.5035646183275787,0.03818579406807664,0.5087416697547914,0.5140151515151515,1,4,0,0.0
A0_CE_control,EMG,valence,6,0.49336780365431077,0.031353067032591074,0.5012775879081236,0.5146780303030303,0,3,0,0.0
A2_cross_subject_positive_only,EEG,arousal,6,0.528470988168258,0.01540175375044176,0.5305265278260314,0.5322916666666667,1,0,0,1.0
A2_cross_subject_positive_only,EEG,valence,6,0.5048486606816507,0.0345899832194626,0.5101236708858774,0.5173295454545455,1,4,0,1.0
A2_cross_subject_positive_only,EMG,arousal,6,0.5089919187982731,0.04008319708127985,0.514596370747667,0.5183238636363636,1,3,0,1.0
A2_cross_subject_positive_only,EMG,valence,6,0.4820386545327478,0.01818603187686309,0.49565327374249085,0.5080492424242424,0,5,0,1.0
A4_rating_distance_guarded_supcon,EEG,arousal,6,0.5303745146178793,0.024033620711363637,0.5322516749884922,0.5342329545454546,1,1,0,1.0
A4_rating_distance_guarded_supcon,EEG,valence,6,0.5103771216442374,0.0250246095772362,0.5163074141507421,0.5185132575757576,0,2,0,1.0
A4_rating_distance_guarded_supcon,EMG,arousal,6,0.5042272092798555,0.028119115330702864,0.5116143785412332,0.5154829545454546,0,4,0,1.0
A4_rating_distance_guarded_supcon,EMG,valence,6,0.4833622351881884,0.030285034741273403,0.49227899912375556,0.49692234848484845,0,4,0,1.0
A5_cross_subject_supcon_vrex,EEG,arousal,6,0.5236424381262472,0.019553786262169245,0.525737396868546,0.5267045454545455,0,1,0,1.0
A5_cross_subject_supcon_vrex,EEG,valence,6,0.5091512364420608,0.028871841754653505,0.5141592154392449,0.5211647727272727,1,2,0,1.0
A5_cross_subject_supcon_vrex,EMG,arousal,6,0.5196834257783716,0.03096876694387292,0.5236952485292877,0.5306344696969697,1,1,0,1.0
A5_cross_subject_supcon_vrex,EMG,valence,6,0.4949631408864101,0.026271173085810062,0.5020070414922281,0.5145359848484848,0,3,0,1.0
A6_vrex_only_recheck,EEG,arousal,6,0.5108710069454573,0.021606759257319797,0.5133614073038123,0.5156723484848484,0,3,0,0.0
A6_vrex_only_recheck,EEG,valence,6,0.5096461197389859,0.03432647441960885,0.5148414295044718,0.5234848484848486,0,2,0,0.0
A6_vrex_only_recheck,EMG,arousal,6,0.5163914725355866,0.030702181564858752,0.5203793997616545,0.5263257575757575,1,2,0,0.0
A6_vrex_only_recheck,EMG,valence,6,0.48225347106687994,0.02722405534210938,0.49535183590462645,0.506344696969697,0,4,0,0.0
