modality,task,rank,feature_index,feature_name,subject_centered_cohen_d,abs_subject_centered_cohen_d,global_cohen_d,label_eta2,subject_eta2
EEG,valence,1,150,eeg_ch22_ptp,-0.14006344849413402,0.14006344849413402,-0.0554317643647304,0.0007393136555659097,0.6734867640519033
EEG,valence,2,114,eeg_ch18_abs_mean,-0.12293972726319469,0.12293972726319469,-0.04704258564767883,0.0005325783811869008,0.5692874877455476
EEG,valence,3,44,eeg_ch12_std,0.1227272243319684,0.1227272243319684,0.06678418757959466,0.0010727873921374804,0.5246644534263338
EEG,valence,4,54,eeg_ch22_std,-0.12186399117984666,0.12186399117984666,-0.03339096854242591,0.0002683947256441983,0.7681965648136946
EEG,valence,5,82,eeg_ch18_rms,-0.11554940204813399,0.11554940204813399,-0.04378244651475816,0.0004613517422646226,0.5569366848584559
EEG,valence,6,61,eeg_ch29_std,0.11471644438555255,0.11471644438555255,0.11944298431656601,0.00342345383573446,0.6435547960702866
EEG,valence,7,93,eeg_ch29_rms,0.11347987148798534,0.11347987148798534,0.12351752217045404,0.003660135564404025,0.6164606054472375
EEG,valence,8,125,eeg_ch29_abs_mean,0.11198490921311345,0.11198490921311345,0.12244921800069322,0.003597323043458581,0.5872799755909118
EEG,valence,9,27,eeg_ch27_mean,0.10528435801594695,0.10528435801594695,0.10782902617859554,0.0027918347854935348,0.09894596093543555
EEG,valence,10,33,eeg_ch01_std,0.10317894590494207,0.10317894590494207,0.04750694906271019,0.0005431388357135989,0.6152915682838238
EEG,valence,11,105,eeg_ch09_abs_mean,0.10079530793614407,0.10079530793614407,0.12075280825508596,0.0034986852765516753,0.547761800528493
EEG,valence,12,210,eeg_ch18_q95,-0.10024165247534064,0.10024165247534064,-0.044249787374827196,0.00047124872654605933,0.42711099779244277
EEG,valence,13,76,eeg_ch12_rms,0.09878136236262028,0.09878136236262028,0.04679724316936441,0.0005270406462001921,0.5551139353080956
EEG,valence,14,127,eeg_ch31_abs_mean,-0.09864308552514962,0.09864308552514962,0.005076587114911731,6.205453326004115e-06,0.5722999097350392
EEG,valence,15,86,eeg_ch22_rms,-0.09737919479350896,0.09737919479350896,-0.02226814005537442,0.00011938466888768083,0.8112605073170411
EEG,valence,16,73,eeg_ch09_rms,0.09719595158278983,0.09719595158278983,0.1200467904199239,0.003458033697336588,0.5040928397069543
EEG,valence,17,50,eeg_ch18_std,-0.09392154945029388,0.09392154945029388,-0.023746853934149756,0.00013576434175942737,0.5893521912044141
EEG,valence,18,191,eeg_ch31_q05,0.09285079639297425,0.09285079639297425,0.02557125809951925,0.00015742305648466822,0.4603818877408053
EEG,valence,19,202,eeg_ch10_q95,-0.09192080293377217,0.09192080293377217,-0.055438420006593755,0.0007394910723743269,0.3704317556257146
EEG,valence,20,95,eeg_ch31_rms,-0.08916502581920424,0.08916502581920424,0.014960085226576655,5.388616225191788e-05,0.5946382074505637
EEG,arousal,1,219,eeg_ch27_q95,-0.15258428969240087,0.15258428969240087,-0.18030839450517336,0.007984971456460785,0.468016924365206
EEG,arousal,2,27,eeg_ch27_mean,-0.13544643070151793,0.13544643070151793,-0.1550106496282819,0.005913850198716199,0.09894596093543555
EEG,arousal,3,5,eeg_ch05_mean,0.13281404925640194,0.13281404925640194,0.18369261364499057,0.008285018542305298,0.12637166288388244
EEG,arousal,4,10,eeg_ch10_mean,0.10844414561734213,0.10844414561734213,0.13601278302864808,0.004559298973502622,0.11367778487806042
EEG,arousal,5,183,eeg_ch23_q05,-0.10630983740639456,0.10630983740639456,-0.09710367585314043,0.0023290664747387035,0.31800696423609603
EEG,arousal,6,82,eeg_ch18_rms,0.1041679929383215,0.1041679929383215,0.04918340354443567,0.0005985498925346564,0.5569366848584559
EEG,arousal,7,19,eeg_ch19_mean,-0.10403341807766645,0.10403341807766645,-0.053179719558238754,0.0006996991195480695,0.12287178949271775
EEG,arousal,8,67,eeg_ch03_rms,0.10314832869257536,0.10314832869257536,0.13997029192374463,0.004827179702907534,0.6897760470982598
EEG,arousal,9,114,eeg_ch18_abs_mean,0.10085430607068364,0.10085430607068364,0.04042066931299522,0.000404347333593692,0.5692874877455476
EEG,arousal,10,11,eeg_ch11_mean,0.1003260616669582,0.1003260616669582,0.12917193904694546,0.0041140464290555494,0.10730416819394106
EEG,arousal,11,91,eeg_ch27_rms,-0.09885579961117835,0.09885579961117835,-0.11951907037169808,0.0035242310992525277,0.6929216659967539
EEG,arousal,12,235,eeg_ch11_late_minus_early,-0.09807090252465736,0.09807090252465736,-0.08111047957416856,0.001626186470430613,0.12753692608618228
EEG,arousal,13,234,eeg_ch10_late_minus_early,-0.0944572847452716,0.0944572847452716,-0.09025676148923992,0.002012832674032926,0.1065243042176508
EEG,arousal,14,99,eeg_ch03_abs_mean,0.09391227469719787,0.09391227469719787,0.13146548588695622,0.004260811537712241,0.6801851195506661
EEG,arousal,15,230,eeg_ch06_late_minus_early,-0.09209334860744614,0.09209334860744614,-0.040420204160301954,0.000404338031119317,0.14021747005891064
EEG,arousal,16,229,eeg_ch05_late_minus_early,-0.09177217125408316,0.09177217125408316,-0.0918924898649959,0.002086297549191282,0.09577702770850316
EEG,arousal,17,211,eeg_ch19_q95,-0.09011007930133712,0.09011007930133712,-0.047747092697412216,0.0005641206861716615,0.5967067325737437
EEG,arousal,18,119,eeg_ch23_abs_mean,0.08783627400010609,0.08783627400010609,0.07342925480320081,0.0013331594492486311,0.4286670912150639
EEG,arousal,19,131,eeg_ch03_ptp,0.08752640068647183,0.08752640068647183,0.14273605083035223,0.005018863961303077,0.5081814993525317
EEG,arousal,20,197,eeg_ch05_q95,0.08696461035798031,0.08696461035798031,0.1075573770327274,0.0028560216811706865,0.35455012639661276
EMG,valence,1,7,emg_f0007,0.09400972596661021,0.09400972596661021,0.05556295640839343,0.0007428147064576289,0.6696809946334101
EMG,valence,2,17,emg_f0017,-0.0753570618444829,0.0753570618444829,-0.013154240772966248,4.1662564753756484e-05,0.6101855383035287
EMG,valence,3,18,emg_f0018,-0.05890322115958095,0.05890322115958095,0.0130077453539536,4.073979895428736e-05,0.5981738790185511
EMG,valence,4,6,emg_f0006,0.048033563019762825,0.048033563019762825,0.03779753973889304,0.00034388261039342536,0.6089378276942026
EMG,valence,5,20,emg_f0020,-0.046839290335090274,0.046839290335090274,-0.055372313223720826,0.0007377298321836231,0.03032535406633278
EMG,valence,6,19,emg_f0019,0.04655429295121486,0.04655429295121486,0.05510987213465179,0.0007307584543860875,0.03024084594041373
EMG,valence,7,13,emg_f0013,-0.04585403811464429,0.04585403811464429,-0.05417433630500171,0.0007061759525035793,0.02981512748001421
EMG,valence,8,12,emg_f0012,-0.04585397168500199,0.04585397168500199,-0.05417428046479147,0.0007061744977502976,0.02981514000967934
EMG,valence,9,14,emg_f0014,-0.04009034209062527,0.04009034209062527,-0.047735842715275256,0.0005483823712740316,0.03724626713983254
