repetition,role,subject_fold,stimulus_fold,task,label_policy,held_subjects,held_stimuli,train_rows_total,train_rows_retained,train_low,train_high,train_min_class,train_single_class,test_rows_total,test_rows_retained,test_low,test_high,test_min_class,test_single_class,midpoint_removed_fraction,subject_leakage,stimulus_leakage,partition_uses_labels
0,primary,0,0,valence,discard_midpoint,8,10,720,711,317,394,317,False,80,80,36,44,36,False,0.0,False,False,False
0,primary,0,0,valence,midpoint_as_low,8,10,720,720,326,394,326,False,80,80,36,44,36,False,0.0,False,False,False
0,primary,0,0,valence,midpoint_as_high,8,10,720,720,317,403,317,False,80,80,36,44,36,False,0.0,False,False,False
0,primary,0,0,arousal,discard_midpoint,8,10,720,709,315,394,315,False,80,80,31,49,31,False,0.0,False,False,False
0,primary,0,0,arousal,midpoint_as_low,8,10,720,720,326,394,326,False,80,80,31,49,31,False,0.0,False,False,False
0,primary,0,0,arousal,midpoint_as_high,8,10,720,720,315,405,315,False,80,80,31,49,31,False,0.0,False,False,False
0,primary,0,1,valence,discard_midpoint,8,10,720,713,295,418,295,False,80,79,41,38,38,False,0.0125,False,False,False
0,primary,0,1,valence,midpoint_as_low,8,10,720,720,302,418,302,False,80,80,42,38,38,False,0.0,False,False,False
0,primary,0,1,valence,midpoint_as_high,8,10,720,720,295,425,295,False,80,80,41,39,39,False,0.0,False,False,False
0,primary,0,1,arousal,discard_midpoint,8,10,720,706,309,397,309,False,80,80,26,54,26,False,0.0,False,False,False
0,primary,0,1,arousal,midpoint_as_low,8,10,720,720,323,397,323,False,80,80,26,54,26,False,0.0,False,False,False
0,primary,0,1,arousal,midpoint_as_high,8,10,720,720,309,411,309,False,80,80,26,54,26,False,0.0,False,False,False
0,primary,0,2,valence,discard_midpoint,8,10,720,710,346,364,346,False,80,79,25,54,25,False,0.0125,False,False,False
0,primary,0,2,valence,midpoint_as_low,8,10,720,720,356,364,356,False,80,80,26,54,26,False,0.0,False,False,False
0,primary,0,2,valence,midpoint_as_high,8,10,720,720,346,374,346,False,80,80,25,55,25,False,0.0,False,False,False
0,primary,0,2,arousal,discard_midpoint,8,10,720,705,326,379,326,False,80,80,22,58,22,False,0.0,False,False,False
0,primary,0,2,arousal,midpoint_as_low,8,10,720,720,341,379,341,False,80,80,22,58,22,False,0.0,False,False,False
0,primary,0,2,arousal,midpoint_as_high,8,10,720,720,326,394,326,False,80,80,22,58,22,False,0.0,False,False,False
0,primary,0,3,valence,discard_midpoint,8,10,720,707,287,420,287,False,80,79,39,40,39,False,0.0125,False,False,False
0,primary,0,3,valence,midpoint_as_low,8,10,720,720,300,420,300,False,80,80,40,40,40,False,0.0,False,False,False
0,primary,0,3,valence,midpoint_as_high,8,10,720,720,287,433,287,False,80,80,39,41,39,False,0.0,False,False,False
0,primary,0,3,arousal,discard_midpoint,8,10,720,712,322,390,322,False,80,79,23,56,23,False,0.0125,False,False,False
0,primary,0,3,arousal,midpoint_as_low,8,10,720,720,330,390,330,False,80,80,24,56,24,False,0.0,False,False,False
0,primary,0,3,arousal,midpoint_as_high,8,10,720,720,322,398,322,False,80,80,23,57,23,False,0.0,False,False,False
0,primary,1,0,valence,discard_midpoint,8,10,720,711,317,394,317,False,80,78,39,39,39,False,0.025,False,False,False
0,primary,1,0,valence,midpoint_as_low,8,10,720,720,326,394,326,False,80,80,41,39,39,False,0.0,False,False,False
0,primary,1,0,valence,midpoint_as_high,8,10,720,720,317,403,317,False,80,80,39,41,39,False,0.0,False,False,False
0,primary,1,0,arousal,discard_midpoint,8,10,720,714,291,423,291,False,80,78,29,49,29,False,0.025,False,False,False
0,primary,1,0,arousal,midpoint_as_low,8,10,720,720,297,423,297,False,80,80,31,49,31,False,0.0,False,False,False
0,primary,1,0,arousal,midpoint_as_high,8,10,720,720,291,429,291,False,80,80,29,51,29,False,0.0,False,False,False
0,primary,1,1,valence,discard_midpoint,8,10,720,714,288,426,288,False,80,78,37,41,37,False,0.025,False,False,False
0,primary,1,1,valence,midpoint_as_low,8,10,720,720,294,426,294,False,80,80,39,41,39,False,0.0,False,False,False
0,primary,1,1,valence,midpoint_as_high,8,10,720,720,288,432,288,False,80,80,37,43,37,False,0.0,False,False,False
0,primary,1,1,arousal,discard_midpoint,8,10,720,713,298,415,298,False,80,80,37,43,37,False,0.0,False,False,False
0,primary,1,1,arousal,midpoint_as_low,8,10,720,720,305,415,305,False,80,80,37,43,37,False,0.0,False,False,False
0,primary,1,1,arousal,midpoint_as_high,8,10,720,720,298,422,298,False,80,80,37,43,37,False,0.0,False,False,False
0,primary,1,2,valence,discard_midpoint,8,10,720,712,344,368,344,False,80,79,26,53,26,False,0.0125,False,False,False
0,primary,1,2,valence,midpoint_as_low,8,10,720,720,352,368,352,False,80,80,27,53,27,False,0.0,False,False,False
0,primary,1,2,valence,midpoint_as_high,8,10,720,720,344,376,344,False,80,80,26,54,26,False,0.0,False,False,False
0,primary,1,2,arousal,discard_midpoint,8,10,720,711,312,399,312,False,80,79,30,49,30,False,0.0125,False,False,False
0,primary,1,2,arousal,midpoint_as_low,8,10,720,720,321,399,321,False,80,80,31,49,31,False,0.0,False,False,False
0,primary,1,2,arousal,midpoint_as_high,8,10,720,720,312,408,312,False,80,80,30,50,30,False,0.0,False,False,False
0,primary,1,3,valence,discard_midpoint,8,10,720,710,287,423,287,False,80,80,42,38,38,False,0.0,False,False,False
0,primary,1,3,valence,midpoint_as_low,8,10,720,720,297,423,297,False,80,80,42,38,38,False,0.0,False,False,False
0,primary,1,3,valence,midpoint_as_high,8,10,720,720,287,433,287,False,80,80,42,38,38,False,0.0,False,False,False
0,primary,1,3,arousal,discard_midpoint,8,10,720,715,305,410,305,False,80,75,28,47,28,False,0.0625,False,False,False
0,primary,1,3,arousal,midpoint_as_low,8,10,720,720,310,410,310,False,80,80,33,47,33,False,0.0,False,False,False
0,primary,1,3,arousal,midpoint_as_high,8,10,720,720,305,415,305,False,80,80,28,52,28,False,0.0,False,False,False
0,primary,2,0,valence,discard_midpoint,8,10,720,714,310,404,310,False,80,78,34,44,34,False,0.025,False,False,False
0,primary,2,0,valence,midpoint_as_low,8,10,720,720,316,404,316,False,80,80,36,44,36,False,0.0,False,False,False
0,primary,2,0,valence,midpoint_as_high,8,10,720,720,310,410,310,False,80,80,34,46,34,False,0.0,False,False,False
0,primary,2,0,arousal,discard_midpoint,8,10,720,712,283,429,283,False,80,78,37,41,37,False,0.025,False,False,False
0,primary,2,0,arousal,midpoint_as_low,8,10,720,720,291,429,291,False,80,80,39,41,39,False,0.0,False,False,False
0,primary,2,0,arousal,midpoint_as_high,8,10,720,720,283,437,283,False,80,80,37,43,37,False,0.0,False,False,False
0,primary,2,1,valence,discard_midpoint,8,10,720,715,290,425,290,False,80,76,41,35,35,False,0.05,False,False,False
0,primary,2,1,valence,midpoint_as_low,8,10,720,720,295,425,295,False,80,80,45,35,35,False,0.0,False,False,False
0,primary,2,1,valence,midpoint_as_high,8,10,720,720,290,430,290,False,80,80,41,39,39,False,0.0,False,False,False
0,primary,2,1,arousal,discard_midpoint,8,10,720,709,281,428,281,False,80,78,36,42,36,False,0.025,False,False,False
0,primary,2,1,arousal,midpoint_as_low,8,10,720,720,292,428,292,False,80,80,38,42,38,False,0.0,False,False,False
0,primary,2,1,arousal,midpoint_as_high,8,10,720,720,281,439,281,False,80,80,36,44,36,False,0.0,False,False,False
0,primary,2,2,valence,discard_midpoint,8,10,720,714,339,375,339,False,80,78,23,55,23,False,0.025,False,False,False
0,primary,2,2,valence,midpoint_as_low,8,10,720,720,345,375,345,False,80,80,25,55,25,False,0.0,False,False,False
0,primary,2,2,valence,midpoint_as_high,8,10,720,720,339,381,339,False,80,80,23,57,23,False,0.0,False,False,False
