summary_type,repetition,role,task,policy,region,baseline,n,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,log_loss,cell_balanced_accuracy_mean,cell_balanced_accuracy_std,cell_roc_auc_mean,cell_count
pooled_physical_trials,0,primary,arousal,discard_midpoint,primary_test,global_train_prior,1263,0.5835312747426762,0.5,0.3685,0.4190338490747095,0.24712681334649142,0.6875752831741176,0.5,0.0,0.5,16
pooled_physical_trials,0,primary,arousal,discard_midpoint,primary_test,order_bin_prior,1263,0.5764053840063341,0.4947105984078914,0.37078458121679697,0.42933663861817767,0.25116980944800454,0.6962168243487671,0.4977958463949843,0.008816614420062693,0.453301518976874,16
pooled_physical_trials,0,primary,arousal,discard_midpoint,primary_test,order_quadratic_logistic,1263,0.5835312747426762,0.5,0.3685,0.4250016767183783,0.24882517712593627,0.6911939303633132,0.5,0.0,0.47732632800625424,16
pooled_physical_trials,0,primary,arousal,midpoint_as_high,primary_test,global_train_prior,1280,0.5890625,0.5,0.37069813176007865,0.42173553468951397,0.2459934413580247,0.685319354508377,0.5,0.0,0.5,16
pooled_physical_trials,0,primary,arousal,midpoint_as_high,primary_test,order_bin_prior,1280,0.58203125,0.4948941513449184,0.3730539541637256,0.43234183215499583,0.24973652362464244,0.6933550082052132,0.4977958463949843,0.008816614420062693,0.4625140141995628,16
pooled_physical_trials,0,primary,arousal,midpoint_as_high,primary_test,order_quadratic_logistic,1280,0.5890625,0.5,0.37069813176007865,0.42074083972930176,0.247850405248239,0.6892706252717603,0.5,0.0,0.45966163596358167,16
pooled_physical_trials,0,primary,arousal,midpoint_as_low,primary_test,global_train_prior,1280,0.57578125,0.5,0.3653941497273178,0.41793918403962105,0.24838047357253087,0.6900515810462468,0.5,0.0,0.5,16
pooled_physical_trials,0,primary,arousal,midpoint_as_low,primary_test,order_bin_prior,1280,0.57109375,0.49835328630578896,0.3797042755669405,0.4262164816300217,0.2527339084257148,0.6992899327905919,0.5003560402661538,0.01395151251780307,0.4528396807120677,16
pooled_physical_trials,0,primary,arousal,midpoint_as_low,primary_test,order_quadratic_logistic,1280,0.57421875,0.4988855321583944,0.3664580591784116,0.4317725785937215,0.24980797571770025,0.6930956460919366,0.49916666666666665,0.003333333333333341,0.4910113062237943,16
pooled_physical_trials,0,primary,valence,discard_midpoint,primary_test,global_train_prior,1264,0.5284810126582279,0.47561273015485916,0.373941255468241,0.4020635186765842,0.25325209454884867,0.699810428061468,0.5,0.0,0.5,16
