scheme,trial_index,seed,min_test_class_support,min_train_class_support,min_test_retained,single_class_test_flags,single_class_train_flags,max_midpoint_removed_fraction,min_held_subjects,max_held_subjects,min_held_stimuli,max_held_stimuli,strong_capacity_pass,minimal_capacity_pass
deap_4x4,0,3541802971,21,266,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,1,3505452269,16,259,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,2,531812520,21,270,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,3,1947477463,21,269,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,4,1563191035,20,263,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,5,1104262880,22,281,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,6,3020385618,18,278,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,7,3315601940,23,258,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,8,3413063936,15,262,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,9,1820866423,19,278,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,10,26415634,22,265,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,11,2175289295,19,272,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,12,1816504552,23,271,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,13,2033306857,19,275,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,14,202178637,20,256,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,15,3669481516,12,267,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,16,2624439831,19,255,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,17,3593797790,18,263,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,18,3547182534,15,263,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,19,3944969590,20,270,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,20,461190697,16,259,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,21,3358829010,20,255,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,22,2453458243,24,275,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,23,3108402740,21,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,24,2770581849,15,266,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,25,2195288904,20,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,26,2735989201,11,271,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,27,3900477237,20,274,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,28,357983276,21,274,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,29,654922421,19,239,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,30,4183410916,18,248,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,31,2515530350,19,271,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,32,1334112722,22,266,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,33,2876793871,24,271,76,0,0,0.05,8,8,10,10,True,True
