dataset,subject_id,subject_number,session_id,trial_id,stimulus_id,stimulus_id_numeric,presentation_order,trial_index_0based_in_dat,trial_index_1based_in_dat,valence_score,arousal_score,dominance_score,liking_score,valence_discard_midpoint,valence_midpoint_as_low,valence_midpoint_as_high,arousal_discard_midpoint,arousal_midpoint_as_low,arousal_midpoint_as_high,eeg_available,emg_available,eeg_channel_count,emg_channel_count,sample_count,chronology_verified,stimulus_identity_verified,mapping_verified,verified_order_hypothesis,physical_trial_unit,dat_path,dat_sha256,mapping_path,mapping_sha256
DEAP,s01,1,s01_session1,DEAP_s01_exp05,exp05,5,1,4,5,6.96,3.92,7.19,6.05,1.0,1,1,0.0,0,0,True,True,32,2,8064,True,True,True,experiment_order_alignment,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,da5655e7c6764b5ebe1b0654e9830c5d32f9331e008c977970bbaa716e109085,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/joint_cv/deap_verified_trial_stimulus_mapping.csv,bc7ab2c13b47817478e1bd9a43905e875c4b0a5c2c31bb9e6d9c1ebc44b62be5
DEAP,s01,1,s01_session1,DEAP_s01_exp18,exp18,18,2,17,18,7.23,7.15,6.94,8.01,1.0,1,1,1.0,1,1,True,True,32,2,8064,True,True,True,experiment_order_alignment,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,da5655e7c6764b5ebe1b0654e9830c5d32f9331e008c977970bbaa716e109085,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/joint_cv/deap_verified_trial_stimulus_mapping.csv,bc7ab2c13b47817478e1bd9a43905e875c4b0a5c2c31bb9e6d9c1ebc44b62be5
DEAP,s01,1,s01_session1,DEAP_s01_exp04,exp04,4,3,3,4,4.94,6.01,6.12,8.06,0.0,0,0,1.0,1,1,True,True,32,2,8064,True,True,True,experiment_order_alignment,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,da5655e7c6764b5ebe1b0654e9830c5d32f9331e008c977970bbaa716e109085,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/joint_cv/deap_verified_trial_stimulus_mapping.csv,bc7ab2c13b47817478e1bd9a43905e875c4b0a5c2c31bb9e6d9c1ebc44b62be5
DEAP,s01,1,s01_session1,DEAP_s01_exp24,exp24,24,4,23,24,7.04,7.09,8.01,8.22,1.0,1,1,1.0,1,1,True,True,32,2,8064,True,True,True,experiment_order_alignment,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,da5655e7c6764b5ebe1b0654e9830c5d32f9331e008c977970bbaa716e109085,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/joint_cv/deap_verified_trial_stimulus_mapping.csv,bc7ab2c13b47817478e1bd9a43905e875c4b0a5c2c31bb9e6d9c1ebc44b62be5
DEAP,s01,1,s01_session1,DEAP_s01_exp20,exp20,20,5,19,20,8.26,7.91,7.19,8.13,1.0,1,1,1.0,1,1,True,True,32,2,8064,True,True,True,experiment_order_alignment,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,da5655e7c6764b5ebe1b0654e9830c5d32f9331e008c977970bbaa716e109085,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/joint_cv/deap_verified_trial_stimulus_mapping.csv,bc7ab2c13b47817478e1bd9a43905e875c4b0a5c2c31bb9e6d9c1ebc44b62be5
DEAP,s01,1,s01_session1,DEAP_s01_exp31,exp31,31,6,30,31,3.03,8.14,2.86,8.04,0.0,0,0,1.0,1,1,True,True,32,2,8064,True,True,True,experiment_order_alignment,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,da5655e7c6764b5ebe1b0654e9830c5d32f9331e008c977970bbaa716e109085,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/joint_cv/deap_verified_trial_stimulus_mapping.csv,bc7ab2c13b47817478e1bd9a43905e875c4b0a5c2c31bb9e6d9c1ebc44b62be5
DEAP,s01,1,s01_session1,DEAP_s01_exp40,exp40,40,7,39,40,5.1,7.12,6.17,5.97,1.0,1,1,1.0,1,1,True,True,32,2,8064,True,True,True,experiment_order_alignment,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,da5655e7c6764b5ebe1b0654e9830c5d32f9331e008c977970bbaa716e109085,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/joint_cv/deap_verified_trial_stimulus_mapping.csv,bc7ab2c13b47817478e1bd9a43905e875c4b0a5c2c31bb9e6d9c1ebc44b62be5
DEAP,s01,1,s01_session1,DEAP_s01_exp39,exp39,39,8,38,39,3.24,6.18,7.87,6.15,0.0,0,0,1.0,1,1,True,True,32,2,8064,True,True,True,experiment_order_alignment,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,da5655e7c6764b5ebe1b0654e9830c5d32f9331e008c977970bbaa716e109085,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/joint_cv/deap_verified_trial_stimulus_mapping.csv,bc7ab2c13b47817478e1bd9a43905e875c4b0a5c2c31bb9e6d9c1ebc44b62be5
DEAP,s01,1,s01_session1,DEAP_s01_exp13,exp13,13,9,12,13,1.95,3.12,2.87,6.18,0.0,0,0,0.0,0,0,True,True,32,2,8064,True,True,True,experiment_order_alignment,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,da5655e7c6764b5ebe1b0654e9830c5d32f9331e008c977970bbaa716e109085,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/joint_cv/deap_verified_trial_stimulus_mapping.csv,bc7ab2c13b47817478e1bd9a43905e875c4b0a5c2c31bb9e6d9c1ebc44b62be5
DEAP,s01,1,s01_session1,DEAP_s01_exp33,exp33,33,10,32,33,3.81,3.85,4.78,5.13,0.0,0,0,0.0,0,0,True,True,32,2,8064,True,True,True,experiment_order_alignment,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,da5655e7c6764b5ebe1b0654e9830c5d32f9331e008c977970bbaa716e109085,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/joint_cv/deap_verified_trial_stimulus_mapping.csv,bc7ab2c13b47817478e1bd9a43905e875c4b0a5c2c31bb9e6d9c1ebc44b62be5
