subject_id,trial_index_0based_in_dat,trial_index_1based_in_dat,metadata_trial,stimulus_id_experiment_id,valence_score,arousal_score,dominance_score,liking_score,verified_order_hypothesis
1,0,1,24,1,7.71,7.6,6.9,7.83,experiment
1,1,2,36,2,8.1,7.31,7.28,8.47,experiment
1,2,3,32,3,8.58,7.54,9.0,7.08,experiment
1,3,4,3,4,4.94,6.01,6.12,8.06,experiment
1,4,5,1,5,6.96,3.92,7.19,6.05,experiment
1,5,6,11,6,8.27,3.92,7.0,8.03,experiment
1,6,7,25,7,7.44,3.73,7.08,7.04,experiment
1,7,8,31,8,7.32,2.55,6.32,5.87,experiment
1,8,9,39,9,4.04,3.29,3.62,5.99,experiment
1,9,10,12,10,1.99,4.86,2.04,7.09,experiment
1,10,11,21,11,2.99,2.36,3.63,6.24,experiment
1,11,12,27,12,2.71,2.77,3.4,7.35,experiment
1,12,13,9,13,1.95,3.12,2.87,6.18,experiment
1,13,14,19,14,4.18,2.24,3.04,5.04,experiment
1,14,15,15,15,3.17,8.08,2.91,5.04,experiment
1,15,16,28,16,6.81,7.44,8.15,7.14,experiment
1,16,17,16,17,2.46,6.91,6.77,6.41,experiment
1,17,18,2,18,7.23,7.15,6.94,8.01,experiment
1,18,19,35,19,7.17,8.0,8.1,6.79,experiment
1,19,20,5,20,8.26,7.91,7.19,8.13,experiment
1,20,21,37,21,9.0,7.95,8.37,7.86,experiment
1,21,22,14,22,7.09,2.08,7.06,7.37,experiment
1,22,23,38,23,8.15,3.01,7.37,7.9,experiment
1,23,24,4,24,7.04,7.09,8.01,8.22,experiment
1,24,25,29,25,8.86,7.21,8.65,7.21,experiment
1,25,26,40,26,7.28,7.27,7.41,8.24,experiment
1,26,27,20,27,7.35,6.95,7.03,7.29,experiment
1,27,28,30,28,3.88,3.35,4.01,7.87,experiment
1,28,29,23,29,1.36,2.27,3.0,8.14,experiment
1,29,30,22,30,2.08,2.99,3.22,7.33,experiment
1,30,31,6,31,3.03,8.14,2.86,8.04,experiment
1,31,32,26,32,2.28,8.0,3.27,3.95,experiment
1,32,33,10,33,3.81,3.85,4.78,5.13,experiment
1,33,34,18,34,2.28,7.09,7.28,6.92,experiment
1,34,35,13,35,2.06,8.15,8.05,5.18,experiment
1,35,36,17,36,2.9,6.92,6.5,3.87,experiment
1,36,37,34,37,2.31,6.88,3.1,6.77,experiment
1,37,38,33,38,3.33,7.18,6.54,6.62,experiment
1,38,39,8,39,3.24,6.18,7.87,6.15,experiment
1,39,40,7,40,5.1,7.12,6.17,5.97,experiment
2,0,1,34,1,9.0,5.03,7.13,6.62,experiment
2,1,2,20,2,8.01,7.1,8.04,8.08,experiment
2,2,3,37,3,9.0,9.0,8.96,8.05,experiment
2,3,4,22,4,6.05,1.0,5.04,7.03,experiment
2,4,5,33,5,5.04,3.0,3.65,5.04,experiment
2,5,6,16,6,5.0,4.94,5.04,1.01,experiment
2,6,7,15,7,4.96,1.99,4.08,1.0,experiment
2,7,8,19,8,9.0,9.0,9.0,9.0,experiment
2,8,9,30,9,9.0,7.0,9.0,7.18,experiment
2,9,10,39,10,4.99,1.0,9.0,1.0,experiment
2,10,11,21,11,7.08,1.0,7.01,7.0,experiment
2,11,12,12,12,8.01,6.06,7.12,9.0,experiment
2,12,13,26,13,9.0,4.99,9.0,9.0,experiment
2,13,14,24,14,8.94,9.0,8.97,9.0,experiment
2,14,15,35,15,9.0,8.01,8.06,9.0,experiment
2,15,16,40,16,6.0,5.05,8.05,6.14,experiment
2,16,17,2,17,9.0,3.0,6.03,7.41,experiment
2,17,18,18,18,9.0,6.15,9.0,8.08,experiment
2,18,19,23,19,9.0,8.32,8.06,6.99,experiment
2,19,20,11,20,8.97,9.0,8.03,9.0,experiment
2,20,21,31,21,1.0,1.0,5.04,1.0,experiment
2,21,22,32,22,5.0,1.0,4.97,5.0,experiment
2,22,23,25,23,1.0,2.97,1.0,7.82,experiment
2,23,24,9,24,7.08,9.0,6.06,9.0,experiment
2,24,25,27,25,9.0,9.0,8.1,9.0,experiment
2,25,26,17,26,9.0,8.04,9.0,9.0,experiment
2,26,27,1,27,4.96,5.01,3.01,5.05,experiment
2,27,28,13,28,4.06,4.97,7.14,7.04,experiment
2,28,29,10,29,2.99,7.04,7.03,9.0,experiment
2,29,30,7,30,2.01,7.05,1.0,7.13,experiment
2,30,31,4,31,4.06,7.05,1.0,9.0,experiment
2,31,32,6,32,1.0,9.0,2.01,1.0,experiment
2,32,33,8,33,5.0,8.03,3.01,1.0,experiment
2,33,34,38,34,4.87,1.0,6.99,1.0,experiment
2,34,35,3,35,1.99,2.0,1.0,1.0,experiment
2,35,36,36,36,5.04,1.0,7.09,1.0,experiment
2,36,37,14,37,1.0,8.06,1.0,1.0,experiment
2,37,38,5,38,1.0,9.0,1.0,1.0,experiment
2,38,39,28,39,1.0,1.0,2.97,1.0,experiment
2,39,40,29,40,6.05,6.67,6.94,6.53,experiment
3,0,1,7,1,5.33,4.67,4.97,4.45,experiment
3,1,2,11,2,7.21,4.44,5.22,6.23,experiment
3,2,3,40,3,7.55,2.81,5.91,6.81,experiment
3,3,4,23,4,4.69,3.69,5.0,4.19,experiment
3,4,5,26,5,6.92,4.44,5.56,7.17,experiment
3,5,6,2,6,6.79,1.97,4.38,7.32,experiment
3,6,7,36,7,5.45,3.01,5.04,5.79,experiment
3,7,8,12,8,7.14,4.33,5.74,6.35,experiment
3,8,9,32,9,7.33,3.23,5.99,7.78,experiment
3,9,10,33,10,4.45,5.49,5.71,5.23,experiment
3,10,11,22,11,7.94,3.12,4.23,7.1,experiment
3,11,12,24,12,6.36,3.15,3.12,6.29,experiment
3,12,13,20,13,7.91,2.97,3.68,6.99,experiment
3,13,14,18,14,7.29,3.86,4.4,7.29,experiment
3,14,15,34,15,7.36,2.92,3.81,5.88,experiment
3,15,16,1,16,7.15,4.37,4.03,7.54,experiment
3,16,17,31,17,4.56,1.78,4.1,5.41,experiment
3,17,18,6,18,7.1,2.13,5.04,6.32,experiment
3,18,19,17,19,8.14,3.17,5.47,7.97,experiment
3,19,20,27,20,6.26,3.13,4.32,5.23,experiment
3,20,21,13,21,4.99,6.44,4.54,6.55,experiment
3,21,22,4,22,4.94,1.0,4.13,6.21,experiment
3,22,23,37,23,3.65,2.5,3.03,5.92,experiment
3,23,24,39,24,3.31,2.27,1.91,6.78,experiment
3,24,25,3,25,3.45,1.41,2.9,6.87,experiment
3,25,26,8,26,4.67,1.18,2.64,6.94,experiment
3,26,27,16,27,6.72,3.29,4.46,6.22,experiment
3,27,28,38,28,5.59,2.51,2.65,6.59,experiment
3,28,29,9,29,4.47,3.85,3.08,7.14,experiment
3,29,30,21,30,3.87,3.09,2.72,6.12,experiment
3,30,31,10,31,4.44,4.06,4.63,5.0,experiment
3,31,32,5,32,5.17,4.49,5.91,6.55,experiment
3,32,33,35,33,4.05,3.83,5.5,4.99,experiment
3,33,34,30,34,4.72,8.12,5.85,5.33,experiment
3,34,35,25,35,3.18,5.04,5.65,3.15,experiment
3,35,36,19,36,5.01,5.5,4.54,3.86,experiment
3,36,37,14,37,4.92,6.05,5.46,5.26,experiment
3,37,38,28,38,4.53,5.68,5.65,5.49,experiment
3,38,39,15,39,4.33,6.21,5.68,4.62,experiment
3,39,40,29,40,5.38,4.33,5.67,5.29,experiment
4,0,1,28,1,6.68,5.03,8.22,8.14,experiment
4,1,2,13,2,4.06,3.31,1.99,4.05,experiment
4,2,3,18,3,8.95,8.1,5.85,8.12,experiment
4,3,4,12,4,6.1,3.92,4.19,3.94,experiment
4,4,5,35,5,4.06,5.04,4.15,4.88,experiment
4,5,6,8,6,5.01,2.95,4.04,5.09,experiment
4,6,7,6,7,2.94,1.99,2.92,2.1,experiment
4,7,8,14,8,5.97,5.05,7.14,5.85,experiment
4,8,9,7,9,6.05,3.96,5.06,5.04,experiment
4,9,10,5,10,3.15,3.99,4.12,4.04,experiment
4,10,11,3,11,7.24,7.08,6.08,7.01,experiment
4,11,12,4,12,5.04,5.04,5.04,5.08,experiment
4,12,13,32,13,4.12,4.88,5.05,5.17,experiment
4,13,14,16,14,6.96,6.97,5.23,6.21,experiment
4,14,15,19,15,6.96,7.05,3.28,6.97,experiment
4,15,16,37,16,2.51,2.95,1.08,3.03,experiment
4,16,17,15,17,7.01,5.95,6.04,7.03,experiment
4,17,18,39,18,4.9,2.85,4.72,2.87,experiment
4,18,19,33,19,7.09,6.22,5.92,6.21,experiment
4,19,20,1,20,8.17,8.05,6.08,9.0,experiment
4,20,21,20,21,1.77,2.06,3.73,2.26,experiment
4,21,22,38,22,1.86,2.78,4.97,3.92,experiment
4,22,23,11,23,1.86,2.04,1.0,5.99,experiment
4,23,24,25,24,2.71,5.13,2.04,7.19,experiment
4,24,25,10,25,7.0,6.04,5.01,6.08,experiment
4,25,26,34,26,6.0,4.09,3.96,5.04,experiment
4,26,27,26,27,6.14,6.13,4.92,7.08,experiment
4,27,28,29,28,2.17,6.96,3.03,8.06,experiment
4,28,29,27,29,1.85,4.88,1.95,8.13,experiment
4,29,30,2,30,3.1,3.08,3.06,7.05,experiment
4,30,31,31,31,2.01,2.23,1.0,1.94,experiment
4,31,32,40,32,1.01,6.15,1.09,2.1,experiment
4,32,33,36,33,1.0,1.97,3.67,1.95,experiment
4,33,34,21,34,2.17,2.18,3.46,1.92,experiment
4,34,35,30,35,2.03,2.88,1.06,3.37,experiment
4,35,36,24,36,2.72,2.76,1.99,2.33,experiment
4,36,37,23,37,1.0,1.0,1.0,1.0,experiment
4,37,38,22,38,1.79,1.85,1.78,1.99,experiment
4,38,39,9,39,1.92,2.96,1.82,2.01,experiment
4,39,40,17,40,1.86,2.91,1.88,3.0,experiment
5,0,1,14,1,6.97,4.9,2.99,5.92,experiment
5,1,2,8,2,9.0,9.0,7.97,9.0,experiment
5,2,3,34,3,4.95,4.88,2.06,7.01,experiment
5,3,4,22,4,8.24,5.08,6.01,7.04,experiment
5,4,5,30,5,3.04,4.01,5.08,4.04,experiment
5,5,6,38,6,8.09,7.08,4.94,7.14,experiment
5,6,7,10,7,5.12,6.97,5.04,4.96,experiment
5,7,8,37,8,8.17,5.91,4.04,7.04,experiment
5,8,9,36,9,6.94,4.95,3.99,4.04,experiment
5,9,10,16,10,3.03,4.0,8.03,3.97,experiment
5,10,11,7,11,9.0,6.0,6.03,7.1,experiment
5,11,12,2,12,7.08,4.03,3.12,8.0,experiment
5,12,13,18,13,4.94,2.88,4.0,4.12,experiment
5,13,14,28,14,7.21,4.01,2.95,8.05,experiment
5,14,15,29,15,6.97,6.05,1.0,7.99,experiment
5,15,16,31,16,5.96,5.04,4.01,7.97,experiment
5,16,17,13,17,6.88,2.96,3.01,6.91,experiment
5,17,18,15,18,8.05,3.97,3.01,6.04,experiment
5,18,19,6,19,8.03,4.97,4.05,8.04,experiment
5,19,20,27,20,7.0,1.99,1.0,8.04,experiment
5,20,21,23,21,4.0,2.87,2.99,3.97,experiment
5,21,22,35,22,6.99,7.95,1.99,8.97,experiment
5,22,23,40,23,1.0,7.05,7.0,1.96,experiment
5,23,24,19,24,4.0,5.04,4.12,6.03,experiment
5,24,25,5,25,5.96,4.87,3.06,7.05,experiment
5,25,26,4,26,7.96,3.0,1.0,9.0,experiment
5,26,27,11,27,7.0,1.99,2.0,6.27,experiment
5,27,28,32,28,3.9,4.08,2.86,5.04,experiment
5,28,29,25,29,4.04,3.01,1.91,5.05,experiment
5,29,30,24,30,2.94,8.1,9.0,9.0,experiment
5,30,31,17,31,6.9,6.04,7.95,4.05,experiment
5,31,32,9,32,1.94,4.12,2.06,1.94,experiment
5,32,33,26,33,5.17,9.0,8.01,3.99,experiment
5,33,34,20,34,6.03,6.97,8.1,6.0,experiment
5,34,35,33,35,4.86,8.1,8.17,3.97,experiment
5,35,36,21,36,4.91,9.0,9.0,3.88,experiment
5,36,37,3,37,1.91,7.01,6.04,1.0,experiment
5,37,38,12,38,1.0,3.91,6.13,1.04,experiment
5,38,39,39,39,1.0,4.86,7.05,1.0,experiment
5,39,40,1,40,7.0,6.96,8.0,2.92,experiment
6,0,1,37,1,8.19,4.13,6.56,7.47,experiment
6,1,2,23,2,6.83,6.62,7.08,5.96,experiment
6,2,3,30,3,7.69,5.99,6.87,6.49,experiment
6,3,4,32,4,7.55,6.79,7.56,7.05,experiment
6,4,5,2,5,7.01,7.38,6.55,7.36,experiment
6,5,6,39,6,8.05,4.5,7.58,6.63,experiment
6,6,7,8,7,8.26,8.27,7.28,8.0,experiment
6,7,8,38,8,7.05,2.69,5.0,6.83,experiment
6,8,9,26,9,7.87,5.13,6.1,8.28,experiment
6,9,10,12,10,7.37,5.46,8.4,8.03,experiment
6,10,11,6,11,4.99,2.5,7.31,4.03,experiment
6,11,12,24,12,7.17,3.12,6.87,2.99,experiment
6,12,13,25,13,7.79,3.95,7.38,6.99,experiment
6,13,14,16,14,6.32,3.49,7.4,5.38,experiment
6,14,15,9,15,5.59,3.79,3.68,4.04,experiment
