repetition,role,cell_id,subject_fold,stimulus_fold,task,label_policy,held_subject_count,held_stimulus_count,train_rows_before_policy,train_rows_retained,train_low,train_high,train_single_class,test_rows_before_policy,test_rows_retained,test_midpoints_removed,test_midpoint_removed_fraction,test_low,test_high,test_min_class_support,test_single_class,test_rows_after_eeg_emg_availability,seen_subject_unseen_stimulus_rows_retained,unseen_subject_seen_stimulus_rows_retained,subject_leakage,stimulus_leakage
0,primary,rep00_S01_T01,1,1,valence,discard_midpoint,16,8,1128,957,453,504,False,128,93,35,0.2734375,49,44,44,False,93,285,332,False,False
0,primary,rep00_S01_T01,1,1,valence,midpoint_as_low,16,8,1128,1128,624,504,False,128,128,0,0.0,84,44,44,False,128,376,384,False,False
0,primary,rep00_S01_T01,1,1,valence,midpoint_as_high,16,8,1128,1128,453,675,False,128,128,0,0.0,49,79,49,False,128,376,384,False,False
0,primary,rep00_S01_T01,1,1,arousal,discard_midpoint,16,8,1128,1029,586,443,False,128,106,22,0.171875,81,25,25,False,106,329,335,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_low,16,8,1128,1128,685,443,False,128,128,0,0.0,103,25,25,False,128,376,384,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_high,16,8,1128,1128,586,542,False,128,128,0,0.0,81,47,47,False,128,376,384,False,False
0,primary,rep00_S01_T02,1,2,valence,discard_midpoint,16,8,1128,925,419,506,False,128,116,12,0.09375,66,50,50,False,116,317,309,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_low,16,8,1128,1128,622,506,False,128,128,0,0.0,78,50,50,False,128,376,384,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_high,16,8,1128,1128,419,709,False,128,128,0,0.0,66,62,62,False,128,376,384,False,False
0,primary,rep00_S01_T02,1,2,arousal,discard_midpoint,16,8,1128,1010,696,314,False,128,117,11,0.0859375,49,68,49,False,117,348,324,False,False
0,primary,rep00_S01_T02,1,2,arousal,midpoint_as_low,16,8,1128,1128,814,314,False,128,128,0,0.0,60,68,60,False,128,376,384,False,False
0,primary,rep00_S01_T02,1,2,arousal,midpoint_as_high,16,8,1128,1128,696,432,False,128,128,0,0.0,49,79,49,False,128,376,384,False,False
0,primary,rep00_S01_T03,1,3,valence,discard_midpoint,16,8,1128,918,504,414,False,128,109,19,0.1484375,34,75,34,False,109,324,316,False,False
0,primary,rep00_S01_T03,1,3,valence,midpoint_as_low,16,8,1128,1128,714,414,False,128,128,0,0.0,53,75,53,False,128,376,384,False,False
0,primary,rep00_S01_T03,1,3,valence,midpoint_as_high,16,8,1128,1128,504,624,False,128,128,0,0.0,34,94,34,False,128,376,384,False,False
0,primary,rep00_S01_T03,1,3,arousal,discard_midpoint,16,8,1128,1017,633,384,False,128,108,20,0.15625,62,46,46,False,108,341,333,False,False
0,primary,rep00_S01_T03,1,3,arousal,midpoint_as_low,16,8,1128,1128,744,384,False,128,128,0,0.0,82,46,46,False,128,376,384,False,False
0,primary,rep00_S01_T03,1,3,arousal,midpoint_as_high,16,8,1128,1128,633,495,False,128,128,0,0.0,62,66,62,False,128,376,384,False,False
0,primary,rep00_S01_T04,1,4,valence,discard_midpoint,16,8,1128,926,445,481,False,128,107,21,0.1640625,56,51,51,False,107,316,318,False,False
0,primary,rep00_S01_T04,1,4,valence,midpoint_as_low,16,8,1128,1128,647,481,False,128,128,0,0.0,77,51,51,False,128,376,384,False,False
0,primary,rep00_S01_T04,1,4,valence,midpoint_as_high,16,8,1128,1128,445,683,False,128,128,0,0.0,56,72,56,False,128,376,384,False,False
0,primary,rep00_S01_T04,1,4,arousal,discard_midpoint,16,8,1128,1018,674,344,False,128,110,18,0.140625,57,53,53,False,110,340,331,False,False
0,primary,rep00_S01_T04,1,4,arousal,midpoint_as_low,16,8,1128,1128,784,344,False,128,128,0,0.0,75,53,53,False,128,376,384,False,False
0,primary,rep00_S01_T04,1,4,arousal,midpoint_as_high,16,8,1128,1128,674,454,False,128,128,0,0.0,57,71,57,False,128,376,384,False,False
0,primary,rep00_S02_T01,2,1,valence,discard_midpoint,16,8,1128,961,455,506,False,128,95,33,0.2578125,54,41,41,False,95,283,328,False,False
0,primary,rep00_S02_T01,2,1,valence,midpoint_as_low,16,8,1128,1128,622,506,False,128,128,0,0.0,87,41,41,False,128,376,384,False,False
0,primary,rep00_S02_T01,2,1,valence,midpoint_as_high,16,8,1128,1128,455,673,False,128,128,0,0.0,54,74,54,False,128,376,384,False,False
0,primary,rep00_S02_T01,2,1,arousal,discard_midpoint,16,8,1128,1015,575,440,False,128,110,18,0.140625,95,15,15,False,110,325,349,False,False
0,primary,rep00_S02_T01,2,1,arousal,midpoint_as_low,16,8,1128,1128,688,440,False,128,128,0,0.0,113,15,15,False,128,376,384,False,False
0,primary,rep00_S02_T01,2,1,arousal,midpoint_as_high,16,8,1128,1128,575,553,False,128,128,0,0.0,95,33,33,False,128,376,384,False,False
0,primary,rep00_S02_T02,2,2,valence,discard_midpoint,16,8,1128,920,414,506,False,128,109,19,0.1484375,64,45,45,False,109,324,314,False,False
0,primary,rep00_S02_T02,2,2,valence,midpoint_as_low,16,8,1128,1128,622,506,False,128,128,0,0.0,83,45,45,False,128,376,384,False,False
0,primary,rep00_S02_T02,2,2,valence,midpoint_as_high,16,8,1128,1128,414,714,False,128,128,0,0.0,64,64,64,False,128,376,384,False,False
0,primary,rep00_S02_T02,2,2,arousal,discard_midpoint,16,8,1128,999,676,323,False,128,124,4,0.03125,54,70,54,False,124,341,335,False,False
0,primary,rep00_S02_T02,2,2,arousal,midpoint_as_low,16,8,1128,1128,805,323,False,128,128,0,0.0,58,70,58,False,128,376,384,False,False
