scheme,trial_index,seed,min_test_class_support,min_train_class_support,min_test_retained,max_midpoint_removed_fraction,single_class_test_cells,single_class_train_cells,min_held_subjects,max_held_subjects,min_held_stimuli,max_held_stimuli,strong_capacity_pass,minimal_capacity_pass
idare_4x4,0,260713,28,313,95,0.2578125,0,0,15,16,8,8,True,True
idare_4x4,1,260714,24,340,90,0.296875,0,0,15,16,8,8,True,True
idare_4x4,2,260715,27,334,92,0.23333333333333334,0,0,15,16,8,8,True,True
idare_4x4,3,260716,22,318,87,0.275,0,0,15,16,8,8,True,True
idare_4x4,4,260717,18,300,86,0.2833333333333333,0,0,15,16,8,8,True,True
idare_4x4,5,260718,23,345,88,0.28125,0,0,15,16,8,8,True,True
idare_4x4,6,260719,9,305,93,0.2734375,0,0,15,16,8,8,False,True
idare_4x4,7,260720,18,343,92,0.25,0,0,15,16,8,8,True,True
idare_4x4,8,260721,29,352,87,0.275,0,0,15,16,8,8,True,True
idare_4x4,9,260722,29,357,94,0.21875,0,0,15,16,8,8,True,True
idare_4x4,10,260723,14,317,89,0.25833333333333336,0,0,15,16,8,8,True,True
idare_4x4,11,260724,15,316,82,0.34375,0,0,15,16,8,8,True,True
idare_4x4,12,260725,22,328,93,0.2734375,0,0,15,16,8,8,True,True
idare_4x4,13,260726,17,326,93,0.2734375,0,0,15,16,8,8,True,True
idare_4x4,14,260727,23,286,93,0.2734375,0,0,15,16,8,8,True,True
idare_4x4,15,260728,19,336,92,0.28125,0,0,15,16,8,8,True,True
idare_4x4,16,260729,9,321,95,0.234375,0,0,15,16,8,8,False,True
idare_4x4,17,260730,0,277,85,0.3046875,2,0,15,16,8,8,False,False
idare_4x4,18,260731,26,349,88,0.296875,0,0,15,16,8,8,True,True
idare_4x4,19,260732,24,304,88,0.26666666666666666,0,0,15,16,8,8,True,True
idare_4x4,20,260733,24,341,93,0.2734375,0,0,15,16,8,8,True,True
idare_4x4,21,260734,28,341,90,0.25,0,0,15,16,8,8,True,True
idare_4x4,22,260735,24,354,92,0.25,0,0,15,16,8,8,True,True
idare_4x4,23,260736,27,285,92,0.23333333333333334,0,0,15,16,8,8,True,True
idare_4x4,24,260737,24,342,90,0.28125,0,0,15,16,8,8,True,True
idare_4x4,25,260738,18,324,92,0.265625,0,0,15,16,8,8,True,True
idare_4x4,26,260739,19,283,83,0.30833333333333335,0,0,15,16,8,8,True,True
idare_4x4,27,260740,29,351,90,0.296875,0,0,15,16,8,8,True,True
idare_4x4,28,260741,13,334,84,0.34375,0,0,15,16,8,8,True,True
idare_4x4,29,260742,25,341,87,0.2890625,0,0,15,16,8,8,True,True
idare_4x4,30,260743,17,335,84,0.3,0,0,15,16,8,8,True,True
idare_4x4,31,260744,31,343,83,0.30833333333333335,0,0,15,16,8,8,True,True
idare_4x4,32,260745,22,304,85,0.3359375,0,0,15,16,8,8,True,True
idare_4x4,33,260746,2,283,95,0.2578125,0,0,15,16,8,8,False,False
idare_4x4,34,260747,21,306,93,0.2734375,0,0,15,16,8,8,True,True
idare_4x4,35,260748,22,360,93,0.225,0,0,15,16,8,8,True,True
idare_4x4,36,260749,19,325,87,0.3203125,0,0,15,16,8,8,True,True
idare_4x4,37,260750,15,345,93,0.2734375,0,0,15,16,8,8,True,True
idare_4x4,38,260751,20,284,82,0.31666666666666665,0,0,15,16,8,8,True,True
idare_4x4,39,260752,26,333,91,0.2890625,0,0,15,16,8,8,True,True
idare_4x4,40,260753,13,293,91,0.2890625,0,0,15,16,8,8,True,True
idare_4x4,41,260754,30,347,91,0.2890625,0,0,15,16,8,8,True,True
idare_4x4,42,260755,23,319,81,0.325,0,0,15,16,8,8,True,True
idare_4x4,43,260756,22,364,86,0.3203125,0,0,15,16,8,8,True,True
idare_4x4,44,260757,20,341,81,0.3671875,0,0,15,16,8,8,True,True
idare_4x4,45,260758,26,356,86,0.2833333333333333,0,0,15,16,8,8,True,True
idare_4x4,46,260759,15,331,74,0.38333333333333336,0,0,15,16,8,8,True,True
idare_4x4,47,260760,16,289,91,0.25,0,0,15,16,8,8,True,True
idare_4x4,48,260761,12,314,85,0.3359375,0,0,15,16,8,8,True,True
idare_4x4,49,260762,24,359,98,0.21875,0,0,15,16,8,8,True,True
idare_4x4,50,260763,20,345,83,0.3125,0,0,15,16,8,8,True,True
idare_4x4,51,260764,28,350,88,0.3125,0,0,15,16,8,8,True,True
idare_4x4,52,260765,18,313,87,0.3046875,0,0,15,16,8,8,True,True
idare_4x4,53,260766,22,338,93,0.2734375,0,0,15,16,8,8,True,True
idare_4x4,54,260767,22,307,86,0.2890625,0,0,15,16,8,8,True,True
idare_4x4,55,260768,30,358,92,0.28125,0,0,15,16,8,8,True,True
idare_4x4,56,260769,24,353,90,0.28125,0,0,15,16,8,8,True,True
idare_4x4,57,260770,17,333,93,0.2734375,0,0,15,16,8,8,True,True
idare_4x4,58,260771,24,339,93,0.2734375,0,0,15,16,8,8,True,True
idare_4x4,59,260772,22,341,95,0.2578125,0,0,15,16,8,8,True,True
idare_4x4,60,260773,28,333,89,0.296875,0,0,15,16,8,8,True,True
idare_4x4,61,260774,16,326,81,0.3671875,0,0,15,16,8,8,True,True
idare_4x4,62,260775,26,339,93,0.265625,0,0,15,16,8,8,True,True
idare_4x4,63,260776,21,326,95,0.234375,0,0,15,16,8,8,True,True
idare_4x4,64,260777,24,357,89,0.28125,0,0,15,16,8,8,True,True
