subject_id,trial_count,unique_stimuli,event_index_min,event_index_max,duplicate_event_indices,missing_eeg_paths,missing_emg_paths,valence_min,valence_max,arousal_min,arousal_max
1,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
10,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
11,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
12,32,32,5,98,0,0,0,1.0,9.0,3.0,7.0
13,32,32,5,98,0,0,0,1.0,8.0,1.0,5.0
14,32,32,5,98,0,0,0,1.0,8.0,1.0,7.0
15,32,32,5,98,0,0,0,2.0,8.0,1.0,8.0
16,32,32,5,98,0,0,0,1.0,8.0,1.0,9.0
17,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
18,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
19,32,32,5,98,0,0,0,1.0,8.0,1.0,8.0
2,32,32,5,98,0,0,0,1.0,9.0,2.0,9.0
20,32,32,5,98,0,0,0,1.0,8.0,2.0,9.0
21,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
22,32,32,5,98,0,0,0,1.0,8.0,1.0,9.0
23,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
24,32,32,5,98,0,0,0,1.0,8.0,1.0,9.0
25,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
26,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
27,32,32,5,98,0,0,0,1.0,9.0,3.0,8.0
28,32,32,5,98,0,0,0,2.0,7.0,1.0,8.0
29,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
3,32,32,5,98,0,0,0,1.0,9.0,1.0,6.0
30,32,32,5,98,0,0,0,1.0,8.0,2.0,9.0
31,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
32,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
33,32,32,5,98,0,0,0,1.0,8.0,1.0,6.0
34,32,32,5,98,0,0,0,1.0,7.0,1.0,9.0
35,32,32,5,98,0,0,0,1.0,8.0,2.0,8.0
36,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
37,32,32,5,98,0,0,0,3.0,7.0,2.0,7.0
38,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
39,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
40,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
41,32,32,5,98,0,0,0,2.0,8.0,1.0,4.0
42,32,32,5,98,0,0,0,1.0,9.0,2.0,9.0
43,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
44,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
45,32,32,5,98,0,0,0,2.0,8.0,2.0,8.0
46,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
47,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
48,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
49,32,32,5,98,0,0,0,2.0,7.0,1.0,6.0
5,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
50,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
52,32,32,5,98,0,0,0,1.0,8.0,1.0,9.0
53,32,32,5,98,0,0,0,1.0,8.0,1.0,7.0
54,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
55,32,32,5,98,0,0,0,1.0,9.0,1.0,5.0
56,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
57,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
58,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
59,32,32,5,98,0,0,0,2.0,9.0,2.0,8.0
6,32,32,5,98,0,0,0,1.0,9.0,3.0,9.0
60,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
61,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
62,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
63,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
64,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
65,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
7,32,32,5,98,0,0,0,2.0,8.0,2.0,5.0
8,32,32,5,98,0,0,0,1.0,9.0,1.0,8.0
9,32,32,5,98,0,0,0,1.0,9.0,1.0,9.0
