task,order_bin,position_start,position_end,rows_total,rows_retained,low_count,high_count,high_prevalence,mean_continuous_score
valence,1,1,4,252,237,177,60,0.25316455696202533,3.5793650793650795
valence,2,5,8,252,188,161,27,0.14361702127659576,3.4761904761904763
valence,3,9,12,252,214,98,116,0.5420560747663551,5.099206349206349
valence,4,13,16,252,237,62,175,0.7383966244725738,6.075396825396825
valence,5,17,20,252,190,15,175,0.9210526315789473,6.563492063492063
valence,6,21,24,252,182,100,82,0.45054945054945056,5.091269841269841
valence,7,25,28,252,196,77,119,0.6071428571428571,5.059523809523809
valence,8,29,32,252,223,122,101,0.452914798206278,4.345238095238095
arousal,1,1,4,252,216,60,156,0.7222222222222222,6.027777777777778
arousal,2,5,8,252,219,142,77,0.3515981735159817,4.123015873015873
arousal,3,9,12,252,220,113,107,0.4863636363636364,4.849206349206349
arousal,4,13,16,252,232,187,45,0.1939655172413793,3.392857142857143
arousal,5,17,20,252,236,181,55,0.2330508474576271,3.4285714285714284
arousal,6,21,24,252,217,181,36,0.16589861751152074,3.3293650793650795
arousal,7,25,28,252,225,145,80,0.35555555555555557,4.123015873015873
arousal,8,29,32,252,234,103,131,0.5598290598290598,5.190476190476191
