stimulus_id,mean_position,std_position,min_position,max_position,unique_positions,modal_position,modal_position_count,modal_position_fraction,normalized_order_entropy
1441,18.0,0.0,18,18,1,18,63,1.0,0.0
1750,16.0,0.0,16,16,1,16,63,1.0,0.0
2314,15.0,0.0,15,15,1,15,63,1.0,0.0
2491,23.0,0.0,23,23,1,23,63,1.0,0.0
3053,2.0,0.0,2,2,1,2,63,1.0,0.0
3063,31.0,0.0,31,31,1,31,63,1.0,0.0
3080,32.0,0.0,32,32,1,32,63,1.0,0.0
3170,26.0,0.0,26,26,1,26,63,1.0,0.0
4220,29.0,0.0,29,29,1,29,63,1.0,0.0
5760,30.0,0.0,30,30,1,30,63,1.0,0.0
8080,27.0,0.0,27,27,1,27,63,1.0,0.0
8370,11.0,0.0,11,11,1,11,63,1.0,0.0
8492,17.0,0.0,17,17,1,17,63,1.0,0.0
9220,13.0,0.0,13,13,1,13,63,1.0,0.0
9331,21.0,0.0,21,21,1,21,63,1.0,0.0
9360,24.0,0.0,24,24,1,24,63,1.0,0.0
Angry_face_1,9.0,0.0,9,9,1,9,63,1.0,0.0
Beach_1,22.0,0.0,22,22,1,22,63,1.0,0.0
Depressed_pose_4,8.0,0.0,8,8,1,8,63,1.0,0.0
Dog_18,4.0,0.0,4,4,1,4,63,1.0,0.0
Dog_26,10.0,0.0,10,10,1,10,63,1.0,0.0
Dog_6,12.0,0.0,12,12,1,12,63,1.0,0.0
Dummy_1,1.0,0.0,1,1,1,1,63,1.0,0.0
Flowers_6,19.0,0.0,19,19,1,19,63,1.0,0.0
Garbage_dump_6,7.0,0.0,7,7,1,7,63,1.0,0.0
Lake_12,14.0,0.0,14,14,1,14,63,1.0,0.0
Lake_3,25.0,0.0,25,25,1,25,63,1.0,0.0
Miserable_pose_3,5.0,0.0,5,5,1,5,63,1.0,0.0
Pinecone_1,6.0,0.0,6,6,1,6,63,1.0,0.0
Snow_1,28.0,0.0,28,28,1,28,63,1.0,0.0
Tumor_1,3.0,0.0,3,3,1,3,63,1.0,0.0
Yarn_1,20.0,0.0,20,20,1,20,63,1.0,0.0
