dataset,subject_id,session_id,trial_id,stimulus_id,presentation_order,valence_score,arousal_score,valence_discard_midpoint,valence_midpoint_as_low,valence_midpoint_as_high,arousal_discard_midpoint,arousal_midpoint_as_low,arousal_midpoint_as_high,eeg_available,emg_available,eeg_path,emg_path,eeg_sampling_rate,emg_sampling_rate,trial_duration_sec,chronology_verified,quality_flag,raw_event_name,event_index_0based,event_index_1based,metadata_duration_sec,eeg_duration_sec,emg_duration_sec,stimulus_identity_verified,source_trial_index_path
I-DARE,1,session_1,idare_s1_stimDummy_1_event5,Dummy_1,1,1.0,4.0,0,0,0,0,0,0,True,True,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_01.mat,512.0,2000.0,4.984375,True,ok,STIM_Dummy_1,5,6,4.987,4.984375,4.987,True,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/.cache/idare_trial_index.csv
I-DARE,1,session_1,idare_s1_stim3053_event8,3053,2,1.0,6.0,0,0,0,1,1,1,True,True,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_01.mat,512.0,2000.0,5.001953125,True,ok,STIM_3053,8,9,5.004,5.001953125,5.004,True,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/.cache/idare_trial_index.csv
I-DARE,1,session_1,idare_s1_stimTumor_1_event11,Tumor_1,3,4.0,5.0,0,0,0,,0,1,True,True,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_01.mat,512.0,2000.0,5.0,True,ok,STIM_Tumor_1,11,12,5.002,5.0,5.002,True,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/.cache/idare_trial_index.csv
I-DARE,1,session_1,idare_s1_stimDog_18_event14,Dog_18,4,8.0,1.0,1,1,1,0,0,0,True,True,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_01.mat,512.0,2000.0,4.994140625,True,ok,STIM_Dog_18,14,15,4.997,4.994140625,4.997,True,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/.cache/idare_trial_index.csv
I-DARE,1,session_1,idare_s1_stimMiserable_pose_3_event17,Miserable_pose_3,5,1.0,5.0,0,0,0,,0,1,True,True,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_01.mat,512.0,2000.0,4.994140625,True,ok,STIM_Miserable_pose_3,17,18,4.996,4.994140625,4.996,True,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/.cache/idare_trial_index.csv
I-DARE,1,session_1,idare_s1_stimPinecone_1_event20,Pinecone_1,6,5.0,3.0,,0,1,0,0,0,True,True,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_01.mat,512.0,2000.0,5.0,True,ok,STIM_Pinecone_1,20,21,5.001,5.0,5.001,True,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/.cache/idare_trial_index.csv
I-DARE,1,session_1,idare_s1_stimGarbage_dump_6_event23,Garbage_dump_6,7,2.0,7.0,0,0,0,1,1,1,True,True,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_01.mat,512.0,2000.0,4.998046875,True,ok,STIM_Garbage_dump_6,23,24,5.0,4.998046875,5.0,True,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/.cache/idare_trial_index.csv
I-DARE,1,session_1,idare_s1_stimDepressed_pose_4_event26,Depressed_pose_4,8,4.0,3.0,0,0,0,0,0,0,True,True,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_01.mat,512.0,2000.0,4.990234375,True,ok,STIM_Depressed_pose_4,26,27,4.992,4.990234375,4.992,True,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/.cache/idare_trial_index.csv
I-DARE,1,session_1,idare_s1_stimAngry_face_1_event29,Angry_face_1,9,5.0,3.0,,0,1,0,0,0,True,True,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_01.mat,512.0,2000.0,4.98828125,True,ok,STIM_Angry_face_1,29,30,4.991,4.98828125,4.991,True,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/.cache/idare_trial_index.csv
I-DARE,1,session_1,idare_s1_stimDog_26_event32,Dog_26,10,2.0,6.0,0,0,0,1,1,1,True,True,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_01.mat,512.0,2000.0,5.0,True,ok,STIM_Dog_26,32,33,5.001,5.0,5.001,True,/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/.cache/idare_trial_index.csv
