dataset,repetition,role,subject_fold,stimulus_fold,task,label_policy,source_train_rows_total,source_train_scored_paired_rows,class_0_anchors,class_1_anchors,eligible_donors_min,eligible_donors_p01,eligible_donors_p10,eligible_donors_median,eligible_donors_p90,eligible_donors_max,zero_donor_rate,below_5_donor_rate,below_10_donor_rate,below_20_donor_rate,unique_donor_subjects_min,unique_donor_subjects_median,unique_donor_stimuli_min,unique_donor_stimuli_median,paired_modality_anchor_rate,operational_verdict
DEAP,0,primary,0,0,valence,discard_midpoint,720,711,317,394,276,279.0,283.0,353.0,367.0,381,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,0,valence,midpoint_as_low,720,720,326,394,285,288.0,292.0,353.0,367.0,381,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,0,valence,midpoint_as_high,720,720,317,403,276,279.0,283.9,362.0,375.1,390,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,0,arousal,discard_midpoint,720,709,315,394,272,277.0,285.0,356.0,367.0,381,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,0,arousal,midpoint_as_low,720,720,326,394,283,287.0,294.9,356.0,367.0,381,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,0,arousal,midpoint_as_high,720,720,315,405,272,277.0,285.0,367.0,377.1,394,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,1,valence,discard_midpoint,720,713,295,418,255,257.0,262.0,378.0,388.0,404,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,1,valence,midpoint_as_low,720,720,302,418,262,264.0,268.9,377.0,388.0,404,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,1,valence,midpoint_as_high,720,720,295,425,255,257.0,262.0,384.0,395.0,411,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,1,arousal,discard_midpoint,720,706,309,397,264,270.0,278.0,359.0,370.0,386,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,1,arousal,midpoint_as_low,720,720,323,397,278,284.0,291.0,357.5,370.0,386,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,1,arousal,midpoint_as_high,720,720,309,411,264,270.0,278.0,372.0,383.0,399,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,2,valence,discard_midpoint,720,710,346,364,303,306.0,311.0,325.0,339.0,353,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,2,valence,midpoint_as_low,720,720,356,364,313,316.0,320.0,328.0,339.0,353,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,2,valence,midpoint_as_high,720,720,346,374,303,306.0,311.0,332.0,348.0,363,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,0,2,arousal,discard_midpoint,720,705,326,379,284,288.0,294.0,341.0,353.0,366,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
