dataset,repetition,role,task,label_policy,anchor_occurrences,outer_cells,eligible_donors_min,eligible_donors_p01,eligible_donors_p10,eligible_donors_median,eligible_donors_p90,eligible_donors_max,zero_donor_rate,below_5_donor_rate,below_10_donor_rate,below_20_donor_rate,unique_donor_subjects_min,unique_donor_subjects_median,unique_donor_stimuli_min,unique_donor_stimuli_median,worst_cell_min_donors,cells_with_zero_donor_anchors,operational_verdict
DEAP,0,primary,arousal,discard_midpoint,11367,16,230,240.0,257.0,361.0,400.0,424,0.0,0.0,0.0,0.0,23,23.0,29,29.0,230,0,PASS_STRONG
DEAP,0,primary,arousal,midpoint_as_high,11520,16,230,240.0,258.0,371.0,409.0,438,0.0,0.0,0.0,0.0,23,23.0,29,29.0,230,0,PASS_STRONG
DEAP,0,primary,arousal,midpoint_as_low,11520,16,239,251.0,266.0,360.0,400.0,424,0.0,0.0,0.0,0.0,23,23.0,29,29.0,239,0,PASS_STRONG
DEAP,0,primary,valence,discard_midpoint,11376,16,249,254.0,264.0,334.0,387.0,412,0.0,0.0,0.0,0.0,23,23.0,26,29.0,249,0,PASS_STRONG
DEAP,0,primary,valence,midpoint_as_high,11520,16,249,254.0,264.0,342.0,395.0,418,0.0,0.0,0.0,0.0,23,23.0,26,29.0,249,0,PASS_STRONG
DEAP,0,primary,valence,midpoint_as_low,11520,16,255,261.0,272.0,336.0,387.0,412,0.0,0.0,0.0,0.0,23,23.0,26,29.0,255,0,PASS_STRONG
DEAP,1,sensitivity,arousal,discard_midpoint,11367,16,239,251.0,262.0,369.0,393.0,416,0.0,0.0,0.0,0.0,23,23.0,29,29.0,239,0,PASS_STRONG
DEAP,1,sensitivity,arousal,midpoint_as_high,11520,16,239,251.0,262.0,379.0,401.0,427,0.0,0.0,0.0,0.0,23,23.0,29,29.0,239,0,PASS_STRONG
DEAP,1,sensitivity,arousal,midpoint_as_low,11520,16,246,259.0,271.0,369.0,393.0,416,0.0,0.0,0.0,0.0,23,23.0,29,29.0,246,0,PASS_STRONG
DEAP,1,sensitivity,valence,discard_midpoint,11376,16,234,242.0,262.0,332.0,392.0,424,0.0,0.0,0.0,0.0,23,23.0,24,29.0,234,0,PASS_STRONG
DEAP,1,sensitivity,valence,midpoint_as_high,11520,16,234,242.0,262.0,341.0,401.0,432,0.0,0.0,0.0,0.0,23,23.0,24,29.0,234,0,PASS_STRONG
DEAP,1,sensitivity,valence,midpoint_as_low,11520,16,243,251.0,271.0,333.0,392.0,424,0.0,0.0,0.0,0.0,23,23.0,24,29.0,243,0,PASS_STRONG
DEAP,2,sensitivity,arousal,discard_midpoint,11367,16,218,235.0,256.0,360.0,404.0,434,0.0,0.0,0.0,0.0,23,23.0,29,29.0,218,0,PASS_STRONG
DEAP,2,sensitivity,arousal,midpoint_as_high,11520,16,218,235.0,256.0,370.0,413.0,441,0.0,0.0,0.0,0.0,23,23.0,29,29.0,218,0,PASS_STRONG
DEAP,2,sensitivity,arousal,midpoint_as_low,11520,16,225,243.0,265.0,359.0,403.0,434,0.0,0.0,0.0,0.0,23,23.0,29,29.0,225,0,PASS_STRONG
DEAP,2,sensitivity,valence,discard_midpoint,11376,16,209,220.0,263.0,329.0,411.0,451,0.0,0.0,0.0,0.0,23,23.0,25,29.0,209,0,PASS_STRONG
DEAP,2,sensitivity,valence,midpoint_as_high,11520,16,209,220.0,264.0,339.0,419.0,455,0.0,0.0,0.0,0.0,23,23.0,25,29.0,209,0,PASS_STRONG
DEAP,2,sensitivity,valence,midpoint_as_low,11520,16,214,225.0,269.0,331.0,411.0,451,0.0,0.0,0.0,0.0,23,23.0,25,29.0,214,0,PASS_STRONG
DEAP,3,sensitivity,arousal,discard_midpoint,11367,16,211,228.0,258.0,353.0,410.0,446,0.0,0.0,0.0,0.0,23,23.0,28,29.0,211,0,PASS_STRONG
DEAP,3,sensitivity,arousal,midpoint_as_high,11520,16,211,228.0,258.0,365.0,418.0,451,0.0,0.0,0.0,0.0,23,23.0,28,29.0,211,0,PASS_STRONG
DEAP,3,sensitivity,arousal,midpoint_as_low,11520,16,217,233.0,265.0,352.0,410.0,446,0.0,0.0,0.0,0.0,23,23.0,28,29.0,217,0,PASS_STRONG
DEAP,3,sensitivity,valence,discard_midpoint,11376,16,233,240.75,268.0,342.0,385.0,420,0.0,0.0,0.0,0.0,23,23.0,24,29.0,233,0,PASS_STRONG
DEAP,3,sensitivity,valence,midpoint_as_high,11520,16,233,241.0,269.0,351.0,395.0,432,0.0,0.0,0.0,0.0,23,23.0,24,29.0,233,0,PASS_STRONG
DEAP,3,sensitivity,valence,midpoint_as_low,11520,16,241,251.0,276.0,341.0,385.0,420,0.0,0.0,0.0,0.0,23,23.0,25,29.0,241,0,PASS_STRONG
DEAP,4,sensitivity,arousal,discard_midpoint,11367,16,229,242.0,261.0,366.0,397.0,422,0.0,0.0,0.0,0.0,23,23.0,29,29.0,229,0,PASS_STRONG
DEAP,4,sensitivity,arousal,midpoint_as_high,11520,16,229,242.0,261.0,375.0,408.0,434,0.0,0.0,0.0,0.0,23,23.0,29,29.0,229,0,PASS_STRONG
DEAP,4,sensitivity,arousal,midpoint_as_low,11520,16,241,252.0,269.0,366.0,397.0,422,0.0,0.0,0.0,0.0,23,23.0,29,29.0,241,0,PASS_STRONG
DEAP,4,sensitivity,valence,discard_midpoint,11376,16,239,247.0,262.0,332.0,389.0,415,0.0,0.0,0.0,0.0,23,23.0,25,29.0,239,0,PASS_STRONG
DEAP,4,sensitivity,valence,midpoint_as_high,11520,16,239,247.0,263.0,342.0,399.0,427,0.0,0.0,0.0,0.0,23,23.0,25,29.0,239,0,PASS_STRONG
DEAP,4,sensitivity,valence,midpoint_as_low,11520,16,251,259.0,271.0,333.0,389.0,415,0.0,0.0,0.0,0.0,23,23.0,26,29.0,251,0,PASS_STRONG
I-DARE,0,primary,arousal,discard_midpoint,16191,16,254,277.0,319.0,536.0,627.0,679,0.0,0.0,0.0,0.0,41,46.0,21,23.0,254,0,PASS_STRONG
I-DARE,0,primary,arousal,midpoint_as_high,18144,16,366,392.0,436.0,534.0,625.0,679,0.0,0.0,0.0,0.0,44,46.0,22,23.0,366,0,PASS_STRONG
I-DARE,0,primary,arousal,midpoint_as_low,18144,16,254,279.0,324.0,658.0,752.0,795,0.0,0.0,0.0,0.0,41,46.0,21,23.0,254,0,PASS_STRONG
I-DARE,0,primary,valence,discard_midpoint,15003,16,348,357.0,368.0,432.0,468.0,515,0.0,0.0,0.0,0.0,46,46.0,14,17.0,348,0,PASS_STRONG
I-DARE,0,primary,valence,midpoint_as_high,18144,16,356,362.0,389.0,583.0,653.0,714,0.0,0.0,0.0,0.0,46,46.0,17,20.0,356,0,PASS_STRONG
I-DARE,0,primary,valence,midpoint_as_low,18144,16,348,360.0,421.0,564.0,653.0,705,0.0,0.0,0.0,0.0,46,46.0,14,22.0,348,0,PASS_STRONG
I-DARE,1,sensitivity,arousal,discard_midpoint,16191,16,239,254.0,330.0,545.0,621.0,702,0.0,0.0,0.0,0.0,40,46.0,22,23.0,239,0,PASS_STRONG
I-DARE,1,sensitivity,arousal,midpoint_as_high,18144,16,349,366.0,438.0,533.0,618.0,702,0.0,0.0,0.0,0.0,44,46.0,22,23.0,349,0,PASS_STRONG
I-DARE,1,sensitivity,arousal,midpoint_as_low,18144,16,239,255.0,334.0,668.0,740.0,815,0.0,0.0,0.0,0.0,40,46.0,22,23.0,239,0,PASS_STRONG
I-DARE,1,sensitivity,valence,discard_midpoint,15003,16,353,357.0,385.0,422.0,455.0,502,0.0,0.0,0.0,0.0,46,46.0,14,16.0,353,0,PASS_STRONG
I-DARE,1,sensitivity,valence,midpoint_as_high,18144,16,353,357.0,393.0,594.0,657.0,708,0.0,0.0,0.0,0.0,46,46.0,16,20.0,353,0,PASS_STRONG
I-DARE,1,sensitivity,valence,midpoint_as_low,18144,16,397,404.0,416.0,575.0,621.0,672,0.0,0.0,0.0,0.0,46,46.0,14,22.0,397,0,PASS_STRONG
I-DARE,2,sensitivity,arousal,discard_midpoint,16191,16,236,254.0,325.0,542.0,646.0,691,0.0,0.0,0.0,0.0,40,46.0,22,23.0,236,0,PASS_STRONG
I-DARE,2,sensitivity,arousal,midpoint_as_high,18144,16,354,376.0,442.0,535.0,644.0,691,0.0,0.0,0.0,0.0,44,46.0,22,23.0,354,0,PASS_STRONG
I-DARE,2,sensitivity,arousal,midpoint_as_low,18144,16,236,256.0,340.0,661.0,765.0,814,0.0,0.0,0.0,0.0,40,46.0,22,23.0,236,0,PASS_STRONG
I-DARE,2,sensitivity,valence,discard_midpoint,15003,16,314,320.0,343.0,444.0,477.0,524,0.0,0.0,0.0,0.0,46,46.0,13,18.0,314,0,PASS_STRONG
I-DARE,2,sensitivity,valence,midpoint_as_high,18144,16,314,321.0,382.0,563.0,693.0,760,0.0,0.0,0.0,0.0,46,46.0,16,21.0,314,0,PASS_STRONG
