dataset,task,view,repetition,held_out_group,n_target_trials,n_target_unique_stimuli,trial_weighted_overlap_fraction,unique_stimulus_overlap_fraction,n_fallback_trials,fallback_trial_fraction,source_participants_per_target_stimulus_min,source_participants_per_target_stimulus_median,source_participants_per_target_stimulus_mean,source_participants_per_target_stimulus_max,source_trials_per_target_stimulus_min,source_trials_per_target_stimulus_median,source_trials_per_target_stimulus_mean,source_trials_per_target_stimulus_max
DEAP,arousal,A_LOPO,0,s01,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s02,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s03,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s04,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s05,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s06,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s07,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s08,39,39,1.0,1.0,0,0.0,28.0,31.0,30.615384615384617,31.0,28.0,31.0,30.615384615384617,31.0
DEAP,arousal,A_LOPO,0,s09,39,39,1.0,1.0,0,0.0,29.0,31.0,30.641025641025642,31.0,29.0,31.0,30.641025641025642,31.0
DEAP,arousal,A_LOPO,0,s10,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s11,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s12,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s13,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s14,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s15,38,38,1.0,1.0,0,0.0,28.0,31.0,30.605263157894736,31.0,28.0,31.0,30.605263157894736,31.0
DEAP,arousal,A_LOPO,0,s16,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
