test_subject,eeg_rmse,eeg_mae,eeg_balanced_accuracy,eeg_auroc,eeg_dev_rmse,eeg_dev_pearson,eeg_dev_sign_acc,eeg_true_dev_std,eeg_pred_dev_std,eeg_std_ratio_pred_over_true,eeg_mean_abs_true_dev,eeg_mean_abs_pred_dev,eeg_lift_vs_stimulus_rmse,eeg_lift_vs_stimulus_mae,eeg_lift_vs_stimulus_balanced_accuracy,eeg_lift_vs_stimulus_auroc,eeg_lift_vs_stimulus_dev_rmse,stimulus_rmse,stimulus_mae,stimulus_balanced_accuracy,stimulus_auroc,eeg_better_rmse_than_stimulus,eeg_better_mae_than_stimulus,eeg_better_auroc_than_stimulus,eeg_better_ba_than_stimulus,eeg_positive_dev_pearson,failure_score
1,1.8611566954997714,1.526553386022293,0.7166666666666667,0.775,1.8611566954997714,0.1756097614684855,0.59375,1.8730758315387523,0.13404789795576558,0.0715656545766074,1.5544354838709677,0.11247884646078199,0.014575905049066362,0.02788209784867468,0.0,0.01666666666666672,0.014575905049066362,1.8757326005488377,1.5544354838709677,0.7166666666666667,0.7583333333333333,True,True,True,False,True,-0.014575905049066362
2,3.1332119461665555,2.739687910515928,0.7272727272727273,0.8681818181818182,3.133211946166556,0.31770197931389715,0.09375,1.5829340702617387,0.17661716244773762,0.11157581719017667,2.326108870967742,0.5035760309446614,-0.4006987830171811,-0.413579039548186,0.0,0.0,-0.40069878301718154,2.7325131631493744,2.326108870967742,0.7272727272727273,0.8681818181818182,False,False,False,False,True,0.4006987830171811
3,1.612569274731476,1.4121148826032686,0.8548387096774194,0.967741935483871,1.612569274731476,-0.021981146001508536,0.8125,1.353914241378173,0.04732324640691918,0.03495291279210791,1.645665322580645,0.39256161856435184,0.24077646031949773,0.23355043997737646,0.0,0.0,0.24077646031949773,1.8533457350509737,1.645665322580645,0.8548387096774194,0.967741935483871,True,True,False,False,False,-0.2187953143179892
5,1.8938427579561918,1.5174295222801983,0.7777777777777778,0.8690476190476191,1.8938427579561918,0.006781162305216313,0.3125,1.5102454224184472,0.17601683966709192,0.11654850069673375,1.4047379032258065,0.2504164249528917,-0.13900654991124806,-0.11269161905439185,0.0,0.003968253968253954,-0.13900654991124828,1.7548362080449438,1.4047379032258065,0.7777777777777778,0.8650793650793651,False,False,True,False,True,0.13900654991124806
6,3.778845112591574,3.381458464452637,0.6666666666666666,0.5,3.7788451125915734,0.0818795137810304,0.34375,1.790167901902087,0.14872856043862673,0.08308078827718715,3.337701612903226,0.12876850250728838,-0.046332993098268105,-0.04375685154941111,0.0,0.0,-0.04633299309826766,3.7325121194933057,3.337701612903226,0.6666666666666666,0.5,False,False,False,False,True,0.046332993098268105
7,1.8531043693078315,1.5730026788659055,0.625,,1.8531043693078315,0.1470691054099421,0.3125,1.2461858921407156,0.2900083452996128,0.232716761703344,1.3487903225806452,0.3786323190441364,-0.22781923463433817,-0.22421235628526026,-0.0625,,-0.22781923463433817,1.6252851346734933,1.3487903225806452,0.6875,,False,False,False,False,True,0.22781923463433817
8,1.7915225264836387,1.5729662122081574,0.7916666666666667,0.90625,1.7915225264836387,0.18291503789377542,0.78125,1.630470033705313,0.1502316732815107,0.0921401008149844,1.7182459677419355,0.23207310911911241,0.12726678095674693,0.14527975553377814,0.0,0.0,0.12726678095674693,1.9187893074403857,1.7182459677419355,0.7916666666666667,0.90625,True,True,False,False,True,-0.12726678095674693
9,2.179154763332932,1.7691064696146166,0.6980392156862745,0.7803921568627451,2.179154763332932,-0.060008784697948556,0.5625,1.8981830747933253,0.7150762848217298,0.3767161841853483,1.6965725806451613,0.6774921015933513,-0.00874340050998379,-0.07253388896945534,0.02941176470588225,0.0117647058823529,-0.00874340050998379,2.170411362822948,1.6965725806451613,0.6686274509803922,0.7686274509803922,False,False,True,True,False,0.06875218520793235
10,1.7058864729063028,1.415141427528356,0.8852813852813852,0.8831168831168831,1.7058864729063028,0.09451709546550191,0.53125,1.7129972872947774,0.14992130568118137,0.08751987337811526,1.4380040322580645,0.17917952079102878,0.011483905657859728,0.02286260472970847,0.0,-0.010822510822510845,0.011483905657859728,1.7173703785641625,1.4380040322580645,0.8852813852813852,0.8939393939393939,True,True,False,False,True,-0.011483905657859728
11,2.120586136259715,1.7096971147224076,0.5607287449392713,0.5910931174089069,2.120586136259715,0.06034421796408764,0.4375,1.9006477694544373,0.22721336605724238,0.1195452254271933,1.6718749999999998,0.28787610439773825,-0.09405049404733878,-0.037822114722407596,0.0,0.004048582995951455,-0.09405049404733878,2.026535642212376,1.671875,0.5607287449392713,0.5870445344129555,False,False,True,False,True,0.09405049404733878
