epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
1,0.43701148640226434,1.0132750892729212,gaussian_0p10,inner,1,valence,-8.22387425648264e-18,1.2579314052977286,,,
2,0.4323168639783506,1.0196732882554722,gaussian_0p10,inner,1,valence,-8.22387425648264e-18,1.2579314052977286,,,
3,0.42354671436327473,1.0556444467878856,gaussian_0p10,inner,1,valence,-8.22387425648264e-18,1.2579314052977286,,,
4,0.4190635394167017,1.0400446124695306,gaussian_0p10,inner,1,valence,-8.22387425648264e-18,1.2579314052977286,,,
5,0.4086147651628212,1.0459661949330255,gaussian_0p10,inner,1,valence,-8.22387425648264e-18,1.2579314052977286,,,
6,0.3959200630585353,1.0822204683195464,gaussian_0p10,inner,1,valence,-8.22387425648264e-18,1.2579314052977286,,,
7,0.37140556148908754,1.0637772031523134,gaussian_0p10,inner,1,valence,-8.22387425648264e-18,1.2579314052977286,,,
8,0.3450924792775401,1.0875639601714076,gaussian_0p10,inner,1,valence,-8.22387425648264e-18,1.2579314052977286,,,
9,0.3155242047376103,1.0957152003190997,gaussian_0p10,inner,1,valence,-8.22387425648264e-18,1.2579314052977286,True,,
1,0.44146262734167036,,gaussian_0p10,final,1,valence,,,,-1.0744093786695063e-17,1.2587906431828473
1,0.44640702533501164,0.927165733897583,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,,,
2,0.437091487425345,0.9157498541268985,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,,,
3,0.4322302512548588,0.9076959696246426,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,,,
4,0.42470499707592857,0.9036651640553002,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,,,
5,0.426737816521415,0.9382895742589198,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,,,
6,0.4165736469957564,0.9195490013531612,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,,,
7,0.40455692013104755,0.9373858227604894,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,,,
8,0.3766412839845375,0.9869619501468213,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,,,
9,0.35616332789262134,0.9903796216556391,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,,,
10,0.3337817975768336,1.0319150119453888,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,,,
11,0.30573883183576445,1.0163299208665482,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,,,
12,0.29170114133093095,1.0444674152302118,gaussian_0p10,inner,2,valence,-8.22387425648264e-18,1.2678197606648265,True,,
1,0.43627621473804595,,gaussian_0p10,final,2,valence,,,,-3.581364595565021e-18,1.252604113559039
2,0.42607316326710487,,gaussian_0p10,final,2,valence,,,,-3.581364595565021e-18,1.252604113559039
3,0.4241195667174555,,gaussian_0p10,final,2,valence,,,,-3.581364595565021e-18,1.252604113559039
4,0.4182925964555433,,gaussian_0p10,final,2,valence,,,,-3.581364595565021e-18,1.252604113559039
1,0.43919148985986356,1.0773251779607567,gaussian_0p10,inner,3,valence,4.11193712824132e-18,1.2458099942727354,,,
2,0.4276633991135491,1.0900468804390906,gaussian_0p10,inner,3,valence,4.11193712824132e-18,1.2458099942727354,,,
3,0.42092115294050286,1.101163407082642,gaussian_0p10,inner,3,valence,4.11193712824132e-18,1.2458099942727354,,,
4,0.4192663135903853,1.0810890021657558,gaussian_0p10,inner,3,valence,4.11193712824132e-18,1.2458099942727354,,,
5,0.40859297304241743,1.0807170586800168,gaussian_0p10,inner,3,valence,4.11193712824132e-18,1.2458099942727354,,,
6,0.4025621494209325,1.0905296676084266,gaussian_0p10,inner,3,valence,4.11193712824132e-18,1.2458099942727354,,,
7,0.3871896923692138,1.0970747168047221,gaussian_0p10,inner,3,valence,4.11193712824132e-18,1.2458099942727354,,,
8,0.36347560225813474,1.1378852693726043,gaussian_0p10,inner,3,valence,4.11193712824132e-18,1.2458099942727354,,,
9,0.3468130989759057,1.1410729051058883,gaussian_0p10,inner,3,valence,4.11193712824132e-18,1.2458099942727354,True,,
1,0.44382871591275735,,gaussian_0p10,final,3,valence,,,,-1.4325458382260084e-17,1.2589173991989755
1,0.4352680350895281,1.0760415453770331,gaussian_0p10,inner,5,valence,-1.2335811384723961e-17,1.2432936868991302,,,
2,0.426657212001306,1.0930740577620115,gaussian_0p10,inner,5,valence,-1.2335811384723961e-17,1.2432936868991302,,,
3,0.42129706453394006,1.1193051841588797,gaussian_0p10,inner,5,valence,-1.2335811384723961e-17,1.2432936868991302,,,
4,0.4114275558127297,1.101338243081174,gaussian_0p10,inner,5,valence,-1.2335811384723961e-17,1.2432936868991302,,,
5,0.39754226583021657,1.1408312555500115,gaussian_0p10,inner,5,valence,-1.2335811384723961e-17,1.2432936868991302,,,
6,0.38810936637498716,1.1360907336824375,gaussian_0p10,inner,5,valence,-1.2335811384723961e-17,1.2432936868991302,,,
7,0.35571592577077726,1.1372914704810937,gaussian_0p10,inner,5,valence,-1.2335811384723961e-17,1.2432936868991302,,,
8,0.3330895983510547,1.1402123278629728,gaussian_0p10,inner,5,valence,-1.2335811384723961e-17,1.2432936868991302,,,
9,0.29980614063916383,1.2252750785648752,gaussian_0p10,inner,5,valence,-1.2335811384723961e-17,1.2432936868991302,True,,
1,0.4399108831440249,,gaussian_0p10,final,5,valence,,,,-2.865091676452017e-17,1.2536830985043268
1,0.4404529766352088,1.1382296433443742,gaussian_0p10,inner,6,valence,1.2335811384723961e-17,1.2372705349463768,,,
2,0.4373397507049419,1.1408265175539012,gaussian_0p10,inner,6,valence,1.2335811384723961e-17,1.2372705349463768,,,
3,0.4277922847756633,1.1488699074323527,gaussian_0p10,inner,6,valence,1.2335811384723961e-17,1.2372705349463768,,,
4,0.412633396409176,1.1486088972785136,gaussian_0p10,inner,6,valence,1.2335811384723961e-17,1.2372705349463768,,,
5,0.4061613877614339,1.159541711723063,gaussian_0p10,inner,6,valence,1.2335811384723961e-17,1.2372705349463768,,,
6,0.40140229022061386,1.1616300792754197,gaussian_0p10,inner,6,valence,1.2335811384723961e-17,1.2372705349463768,,,
7,0.38658257435869287,1.2026293310604406,gaussian_0p10,inner,6,valence,1.2335811384723961e-17,1.2372705349463768,,,
8,0.3788314406518583,1.1816279689179268,gaussian_0p10,inner,6,valence,1.2335811384723961e-17,1.2372705349463768,,,
9,0.34653190275033313,1.2628282045709656,gaussian_0p10,inner,6,valence,1.2335811384723961e-17,1.2372705349463768,True,,
1,0.43878097495725077,,gaussian_0p10,final,6,valence,,,,3.581364595565021e-18,1.2595209830295602
1,0.44166173537572223,1.0122061996877536,gaussian_0p10,inner,7,valence,-2.4671622769447922e-17,1.2631913423510037,,,
2,0.4353772865401374,1.0115083334252786,gaussian_0p10,inner,7,valence,-2.4671622769447922e-17,1.2631913423510037,,,
3,0.42733116503115054,1.0377603035779814,gaussian_0p10,inner,7,valence,-2.4671622769447922e-17,1.2631913423510037,,,
4,0.41728717281862543,1.0361174034921654,gaussian_0p10,inner,7,valence,-2.4671622769447922e-17,1.2631913423510037,,,
5,0.4078272051281399,1.0304271252228687,gaussian_0p10,inner,7,valence,-2.4671622769447922e-17,1.2631913423510037,,,
6,0.38591294018206773,1.0375905628283988,gaussian_0p10,inner,7,valence,-2.4671622769447922e-17,1.2631913423510037,,,
7,0.37291054951923863,1.0868700067849661,gaussian_0p10,inner,7,valence,-2.4671622769447922e-17,1.2631913423510037,,,
8,0.3427481458142952,1.0808885311335275,gaussian_0p10,inner,7,valence,-2.4671622769447922e-17,1.2631913423510037,,,
9,0.3194546776789206,1.1711785787474245,gaussian_0p10,inner,7,valence,-2.4671622769447922e-17,1.2631913423510037,,,
