augmentation_config,target,subset,model,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_true_dev_std,lift_vs_stimulus_pred_dev_std
gaussian_0p05,arousal,top25_train_entropy,eeg_bc_residual_huber_norm_gaussian_broader_smoke,160,1.7037247822858483,2.0087904652580373,0.3441567832825864,0.2663046038016746,0.6094919573180443,0.604837336058593,0.6061474757126931,1.7037247822858483,2.0087904652580373,0.057361762306044506,0.0628116461635779,0.525,0.02197580645161292,1.9983420933872744,-0.1102580930947259,0.3083340837280313,0.0029284435206036186,-0.0103275413406001,-0.004988729745483089,0.07282157677557682,-0.019987259117693834,-0.021885887695383577,0.05287466157031373,0.0029284435206031745,-0.0103275413406001,,,0.525,0.0,0.3083340837280313
gaussian_0p05,arousal,top25_train_entropy,stimulus_only,160,1.706653225806452,1.9984629239174372,0.3491455130280695,0.19348302702609776,0.6294792164357381,0.6267232237539766,0.5532728141423794,1.7066532258064515,1.9984629239174372,,,0.0,0.02197580645161292,1.9983420933872744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p05,arousal,top25_train_score_std,eeg_bc_residual_huber_norm_gaussian_broader_smoke,160,1.9498049527754973,2.3272720915186866,0.3420926595259352,0.33961966834795976,0.6042199488491049,0.5982683982683983,0.6523337595907929,1.9498049527754973,2.3272720915186866,0.004308862869160554,0.05879146759521656,0.45625,0.4038306451612904,2.2451712025730157,-0.10235337605212338,0.355033345871626,-0.03730495277549717,-0.04607220574923776,-0.01830130283714243,0.06524554828475893,-0.02365728900255748,-0.024373111165563954,0.028612531969309463,-0.03730495277549717,-0.04607220574923776,,,0.45625,0.0,0.355033345871626
gaussian_0p05,arousal,top25_train_score_std,stimulus_only,160,1.9125,2.281199885769449,0.36039396236307764,0.27437412006320083,0.6278772378516624,0.6226415094339622,0.6237212276214834,1.9125,2.281199885769449,,,0.0,0.4038306451612904,2.2451712025730157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p10,arousal,top25_train_entropy,eeg_bc_residual_huber_norm_gaussian_broader_smoke,160,1.6283126866321083,1.9246988984635762,0.4316483044193827,0.39217459570182134,0.6334607421563943,0.6243632336655592,0.6837075967510751,1.6283126866321083,1.9246988984635762,0.2730296741434396,0.3209318033131269,0.64375,0.02197580645161292,1.9983420933872744,0.10811443610619582,0.508707844594148,0.07834053917434369,0.07376402545386096,0.08250279139131317,0.19869156867572357,0.003981525720656132,-0.002359990088417363,0.13043478260869568,0.07834053917434325,0.07376402545386096,,,0.64375,0.0,0.508707844594148
gaussian_0p10,arousal,top25_train_entropy,stimulus_only,160,1.706653225806452,1.9984629239174372,0.3491455130280695,0.19348302702609776,0.6294792164357381,0.6267232237539766,0.5532728141423794,1.7066532258064515,1.9984629239174372,,,0.0,0.02197580645161292,1.9983420933872744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p10,arousal,top25_train_score_std,eeg_bc_residual_huber_norm_gaussian_broader_smoke,160,1.817742304732891,2.2117906321550054,0.41365048027671275,0.39976560376995207,0.6595268542199488,0.6611154948295195,0.7081202046035806,1.817742304732891,2.2117906321550054,0.21310918509831794,0.20733285871745274,0.56875,0.4038306451612904,2.2451712025730157,0.12359290677133897,0.5187304114372058,0.0947576952671092,0.0694092536144435,0.053256517913635115,0.12539148370675124,0.03164961636828645,0.03847398539555724,0.0843989769820972,0.0947576952671092,0.0694092536144435,,,0.56875,0.0,0.5187304114372058
gaussian_0p10,arousal,top25_train_score_std,stimulus_only,160,1.9125,2.281199885769449,0.36039396236307764,0.27437412006320083,0.6278772378516624,0.6226415094339622,0.6237212276214834,1.9125,2.281199885769449,,,0.0,0.4038306451612904,2.2451712025730157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p15,arousal,top25_train_entropy,eeg_bc_residual_huber_norm_gaussian_broader_smoke,160,1.7134874816698749,1.9906642515643767,0.3645647364373482,0.33072788485453136,0.6204809683070553,0.6153846153846154,0.621595795508839,1.7134874816698749,1.9906642515643767,0.11595464677865473,0.14201964198004582,0.55,0.02197580645161292,1.9983420933872744,-0.11022598910318704,0.3064734392598907,-0.0068342558634229,0.007798672353060532,0.015419223409278704,0.1372448578284336,-0.008998248128682773,-0.01133860836936118,0.06832298136645965,-0.006834255863423344,0.007798672353060532,,,0.55,0.0,0.3064734392598907
gaussian_0p15,arousal,top25_train_entropy,stimulus_only,160,1.706653225806452,1.9984629239174372,0.3491455130280695,0.19348302702609776,0.6294792164357381,0.6267232237539766,0.5532728141423794,1.7066532258064515,1.9984629239174372,,,0.0,0.02197580645161292,1.9983420933872744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p15,arousal,top25_train_score_std,eeg_bc_residual_huber_norm_gaussian_broader_smoke,160,1.9251994458054842,2.29144161076138,0.3771614440411542,0.37413916814495884,0.6243606138107417,0.6206733048838311,0.6819053708439897,1.9251994458054842,2.29144161076138,0.11727279980379358,0.1710026828194441,0.5125,0.4038306451612904,2.2451712025730157,-0.12377291417089738,0.29281007264500003,-0.0126994458054841,-0.0102417249919311,0.016767481678076568,0.09976504808175801,-0.0035166240409206795,-0.0019682045501311363,0.05818414322250631,-0.0126994458054841,-0.0102417249919311,,,0.5125,0.0,0.29281007264500003
gaussian_0p15,arousal,top25_train_score_std,stimulus_only,160,1.9125,2.281199885769449,0.36039396236307764,0.27437412006320083,0.6278772378516624,0.6226415094339622,0.6237212276214834,1.9125,2.281199885769449,,,0.0,0.4038306451612904,2.2451712025730157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
