epoch,train_loss,train_huber,train_bce,val_rmse_scaled,val_bce,val_objective,stage,test_subject,target,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
1,0.6012110114097595,0.4381066969147435,0.652417262395223,1.0147573266845724,0.6155757308006287,1.1686512593847296,inner,1,arousal,0.0,1.941835675873948,,,
2,0.5904632878524286,0.4284618303731636,0.6480058409549572,1.0135914985574142,0.6192333698272705,1.1683998410142318,inner,1,arousal,0.0,1.941835675873948,,,
3,0.5823831414734876,0.422007627233311,0.6415020536493372,1.0174934405334064,0.6165551543235779,1.1716322291143009,inner,1,arousal,0.0,1.941835675873948,,,
4,0.5584640723687632,0.40140027746006296,0.6282551807385904,1.0475280581489168,0.6242996454238892,1.203602969504889,inner,1,arousal,0.0,1.941835675873948,,,
5,0.5451307340904519,0.38995217476729993,0.6207142510899791,1.0548031149165211,0.6338781118392944,1.2132726428763447,inner,1,arousal,0.0,1.941835675873948,,,
6,0.52890913133268,0.3770168779624833,0.6075690156883664,1.0595602766335248,0.6300147771835327,1.217063970929408,inner,1,arousal,0.0,1.941835675873948,,,
7,0.4923152012957467,0.34462254135696974,0.5907706452740563,1.0539992274899113,0.6273216605186462,1.2108296426195728,inner,1,arousal,0.0,1.941835675873948,,,
8,0.4652831322617001,0.32313867768755666,0.5685778044992023,1.0954686455094396,0.6544901728630066,1.2590911887251912,inner,1,arousal,0.0,1.941835675873948,,,
9,0.4325185489875299,0.2950174615338997,0.550004349814521,1.140230355056437,0.6703832745552063,1.3078261736952386,inner,1,arousal,0.0,1.941835675873948,,,
10,0.4016411613534998,0.2698874628102338,0.5270147908616949,1.1512695583937818,0.702098548412323,1.3267941954968625,inner,1,arousal,0.0,1.941835675873948,True,,
1,0.605023572521825,0.4419525811268437,0.6522839742322122,,,,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
2,0.5932657430248875,0.43162140009864686,0.6465773582458496,,,,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
1,0.6025121692154143,0.4394115557273229,0.6524024506409963,0.9385885319229763,0.5994433164596558,1.0884493610378903,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
2,0.5899137109518051,0.42900468077924514,0.6436361295205576,0.9390456054839126,0.5977624654769897,1.08848622185316,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
