epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_outer_mean,y_outer_std,oracle_test_checkpoint_selection,early_stop,arch_config,arch_description
1,0.44232327899625223,0.9624524072499802,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.4311376170765969,0.9530722441371869,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.41953982893497715,0.9383435648811467,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.40153729963687157,0.9640758067052104,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.39359493697843245,0.9706675054169696,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.36512717099920394,1.0545276407772117,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.33446303899249724,1.0763902550217597,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.30925064173436934,1.0653487364904557,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.27330810432472535,1.1256349395644925,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
10,0.25184234111539777,1.1519421679804254,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
11,0.22319867978653601,1.0498946304640806,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.4409300242700884,1.4585225012336207,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.42920184039300485,1.2692890868337496,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.4164831330699305,1.4415526658375792,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.39772120839165104,1.3319839827741369,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.38170939635845924,1.431726070536904,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.35180323955512816,1.3516565020258908,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.3255781639487513,1.3315427814496752,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
