epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_outer_mean,y_outer_std,oracle_test_checkpoint_selection,early_stop,arch_config,arch_description
1,0.4420108905723018,0.9720260672046317,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.43222671554934594,0.964031024886634,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.4189441634281989,0.9416740937191966,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.39945533246763293,0.9303141061606621,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.3889239574632337,0.8893562994247679,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.36874086457875466,0.9452479335776699,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.3344131871577232,0.9932607694592582,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.3139869496226311,0.955115024041547,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.28207668109286216,0.9235883153224298,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
10,0.25483048743297976,0.9077181737207065,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
11,0.22551560978735646,0.8816474010440376,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
12,0.2257609583677784,0.9553815600190286,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
13,0.19700406659995356,0.9693874487993638,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
14,0.1825079651128861,1.1352231301713522,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
15,0.16249149292707443,1.0000486732042395,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
16,0.14495491008124045,1.0693434555545738,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
17,0.13316168533938547,1.1304986584634584,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
18,0.12244971420976423,1.0204071789718954,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
19,0.12011329991923224,1.0574766904694606,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
20,0.10718571755193895,1.0451455488626096,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
21,0.09676020460263375,1.0502826132594436,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
22,0.10568962943169379,1.0934502654586506,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
23,0.09028761335197956,1.1362375135465475,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
24,0.0884452402711876,1.065714181367097,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
25,0.08247752800103157,1.067440941542349,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
26,0.0825106734710355,1.0727121760509166,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
27,0.07764246891583165,0.9983074912500433,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
28,0.0674628187872229,1.0342605222650547,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
29,0.07111904169282605,1.1289709978630893,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
30,0.07078871317207813,1.093867284333105,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
31,0.06616124679003993,1.0659319144397728,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.44070685606810356,1.5000508324066613,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.428557857390373,1.488516778132128,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.4222898502503672,1.4366127592389673,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.40801139127823616,1.4641064905656629,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
