arch_config,augmentation_config,target,model,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_true_dev_std,lift_vs_stimulus_pred_dev_std
A8_no_channel_pos,gaussian_0p10,valence,eeg_oracle_arch_A8_no_channel_pos,2016,0.9688476701237828,1.208020522225321,0.8774025595004936,0.8712319696226127,0.8798676277256448,0.8658272654220258,0.9559353451098317,0.9688476701237828,1.208020522225321,0.2785638604589302,0.2651147769561436,0.5987103174603174,-1.409807015397024e-17,1.257773694673858,-0.008415498729857989,0.35309770952223035,0.053217742062597106,0.04975317244853694,0.011095336034024239,0.02987491487113858,0.00030826420055296566,2.3287468515098553e-05,0.012649409915831744,0.053217742062597106,0.04975317244853694,,,0.5987103174603174,0.0,0.35309770952223035
A9_base_capacity,gaussian_0p10,valence,eeg_oracle_arch_A9_base_capacity,2016,0.9690263753136089,1.2095937780108774,0.8770531932709538,0.8717812325781905,0.8742372727684846,0.8598984291211911,0.9546700515284766,0.9690263753136089,1.2095937780108774,0.2743183262923637,0.25922644215859264,0.5892857142857143,-1.409807015397024e-17,1.257773694673858,-0.0024057855533872715,0.3322784139843396,0.053039036872771006,0.048179916662980604,0.01074596980448439,0.03042417782671636,-0.005322090756607167,-0.00590554883231964,0.011384116334476668,0.053039036872771006,0.048179916662980604,,,0.5892857142857143,0.0,0.3322784139843396
A11_lr_high,gaussian_0p10,valence,eeg_oracle_arch_A11_lr_high,2016,0.9704436019529883,1.2116204165274487,0.8766330544737234,0.86987105128906,0.8792828324040074,0.8653245862941854,0.9518463111554367,0.9704436019529883,1.2116204165274487,0.26938376069641495,0.2625128949755498,0.6046626984126984,-1.409807015397024e-17,1.257773694673858,-0.016053352457014197,0.31488159715415315,0.05162181023339163,0.04615327814640935,0.010325831007254038,0.028513996537585795,-0.00027653112108438904,-0.00047939165932531225,0.008560375961436772,0.05162181023339163,0.04615327814640935,,,0.6046626984126984,0.0,0.31488159715415315
A6_stem_moe,gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,2016,0.9708005655109913,1.2148215385584578,0.8759478730459824,0.8698665465868372,0.8772519153180108,0.8633367573095978,0.9542056404289506,0.9708005655109913,1.2148215385584578,0.25966443022860286,0.25659072133175487,0.5972222222222222,-1.409807015397024e-17,1.257773694673858,-0.02035029299047681,0.31956101085877814,0.051264846675388664,0.042952156115400264,0.00964064957951305,0.028509491835363,-0.0023074482070809532,-0.002467220643912915,0.010919705234950672,0.051264846675388664,0.042952156115400264,,,0.5972222222222222,0.0,0.31956101085877814
A5_stem_attn,gaussian_0p10,valence,eeg_oracle_arch_A5_stem_attn,2016,0.9708011024370166,1.2148219749832223,0.8759477745108736,0.8698661931500128,0.8772519153180108,0.8633367573095978,0.9542066478282989,0.9708011024370166,1.2148219749832223,0.25966310292333583,0.25658300812448176,0.5972222222222222,-1.409807015397024e-17,1.257773694673858,-0.020349467173314026,0.3195590935849163,0.05126430974936336,0.042951719690635715,0.0096405510444042,0.028509138398538636,-0.0023074482070809532,-0.002467220643912915,0.010920712634298946,0.05126430974936336,0.042951719690635715,,,0.5972222222222222,0.0,0.3195590935849163
A0_current,gaussian_0p10,valence,eeg_oracle_arch_A0_current,2016,0.9747296136018603,1.21546016371987,0.8757794681954444,0.8675993500367382,0.8798676277256448,0.8658272654220258,0.952118308979454,0.9747296136018603,1.21546016371987,0.2573441414220239,0.2363821402471009,0.5843253968253969,-1.409807015397024e-17,1.257773694673858,0.003951746992301005,0.31356553657951475,0.04733579858451964,0.04231353095398793,0.00947224472897501,0.026242295285264006,0.00030826420055296566,2.3287468515098553e-05,0.008832373785454095,0.04733579858451964,0.04231353095398793,,,0.5843253968253969,0.0,0.31356553657951475
A1_low_dropout,gaussian_0p10,valence,eeg_oracle_arch_A1_low_dropout,2016,0.973411645939893,1.2173329884012016,0.8753621939927837,0.8677200162343583,0.8791287003037309,0.865312899452338,0.9529111322664974,0.973411645939893,1.2173329884012016,0.25165045299676275,0.2416634603902212,0.5863095238095238,-1.409807015397024e-17,1.257773694673858,-0.000696400011974484,0.32594972918925663,0.048653766246486874,0.04044070627265639,0.009054970526314321,0.026362961482884195,-0.00043066322136087187,-0.0004910785011726926,0.009625197072497427,0.048653766246486874,0.04044070627265639,,,0.5863095238095238,0.0,0.32594972918925663
A10_lr_low,gaussian_0p10,valence,eeg_oracle_arch_A10_lr_low,2016,0.9797490810034005,1.2175005546093232,0.8753378720283119,0.8678120906841196,0.8803300240264744,0.8658601980947574,0.954292276772897,0.9797490810034005,1.2175005546093232,0.2522406990196082,0.2373292674662357,0.5882936507936508,-1.409807015397024e-17,1.257773694673858,0.011842574883411686,0.2884922305550976,0.042316331182979394,0.04027314006453486,0.009030648561842547,0.02645503593264542,0.0007706605013826362,5.622014124673225e-05,0.011006341578897016,0.042316331182979394,0.04027314006453486,,,0.5882936507936508,0.0,0.2884922305550976
A7_no_channel_mha,gaussian_0p10,valence,eeg_oracle_arch_A7_no_channel_mha,2016,0.9724396538501922,1.2176007842654935,0.8753132534598212,0.8677059053757026,0.8817126796318964,0.8682590461554471,0.9535115422780321,0.9724396538501922,1.2176007842654935,0.25114017890234136,0.24961518324555537,0.5972222222222222,-1.409807015397024e-17,1.257773694673858,-0.011094877726746147,0.3304551745748313,0.049625758336187764,0.04017291040836457,0.009006029993351872,0.026348850624228426,0.0021533161068045814,0.0024550682019364167,0.010225607084032196,0.049625758336187764,0.04017291040836457,,,0.5972222222222222,0.0,0.3304551745748313
A2_high_dropout,gaussian_0p10,valence,eeg_oracle_arch_A2_high_dropout,2016,0.9805768012165783,1.2208558725721745,0.8746221477515215,0.8666895498076983,0.8791287003037309,0.865312899452338,0.9516146093053478,0.9805768012165783,1.2208558725721745,0.2412663585617229,0.23955912249852945,0.5927579365079365,-1.409807015397024e-17,1.257773694673858,-0.019733706690327393,0.2896012065929538,0.04148861096980161,0.036917822101683484,0.008314924285052094,0.025332495056224147,-0.00043066322136087187,-0.0004910785011726926,0.008328674111347856,0.04148861096980161,0.036917822101683484,,,0.5927579365079365,0.0,0.2896012065929538
