augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects,val_subjects,outer_train_subjects,y_outer_mean,y_outer_std,final_train_last_loss,oracle_test_checkpoint_selection,arch_config,arch_description
gaussian_0p10,valence,eeg_oracle_arch_A0_current,1,32,0.9320941943081995,1.1197822552867147,0.9021866812473527,0.8950481300824064,0.875,0.8423645320197044,0.925,0.9320941943081995,1.1197822552867147,0.3293876021136133,0.30341920663318983,0.625,-0.4495967741935484,1.1175376128242858,-0.11155734546768697,0.2060809007110813,4,0.8895698959170508,54,8,62,-1.0744093786695063e-17,1.2587906431828473,0.10349028641658445,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,2,32,1.1721023425946588,1.5394086478714004,0.8489664512186728,0.7946373871461698,0.8947368421052632,0.8745098039215686,0.8906882591093117,1.1721023425946588,1.5394086478714004,-0.15713116494298474,-0.1910174184250176,0.625,-0.3860887096774194,1.499820800408392,-0.1152219901675509,0.08446803153855464,1,1.2289666099133403,54,8,62,-3.581364595565021e-18,1.252604113559039,0.1235894168456716,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,3,32,1.0124042778781424,1.1246629339660108,0.907863192477943,0.900839815090056,0.875,0.8423645320197044,0.9875,1.0124042778781424,1.1246629339660108,0.30681532111842935,0.25481210327329606,0.5625,-0.1955645161290323,1.1803897435466537,-0.14469995736295177,0.35117841157393004,6,0.893357208393914,54,8,62,-1.4325458382260084e-17,1.2589173991989755,0.09319540702046887,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,5,32,1.1403414915022023,1.3934861689830713,0.8915430941810438,0.8467389608493038,0.96875,0.9687194525904204,0.99609375,1.1403414915022023,1.3934861689830713,0.38432175621064246,0.350536267723661,0.5625,0.1854838709677419,1.4829722032698982,-0.023706970605219403,0.7237767474712903,12,1.1119514694060677,54,8,62,-2.865091676452017e-17,1.2536830985043268,0.07055525367538776,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,6,32,1.0351646171028612,1.1679232777698623,0.9526586913831061,0.9426294386045301,0.9411764705882353,0.9375,0.984313725490196,1.0351646171028612,1.1679232777698623,-0.21071715602217922,-0.20991842392447274,0.5625,-0.10030241935483879,1.1527374217875292,-0.07413626751183264,0.0629705057871433,1,0.9272757526861705,54,8,62,3.581364595565021e-18,1.2595209830295602,0.10910445920402004,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,7,32,0.621622261134121,0.7588506873950486,0.9435556929096898,0.94521817603233,0.875,0.8423645320197044,0.9958333333333333,0.621622261134121,0.7588506873950486,0.17420608189326475,0.19636965016674152,0.53125,-0.16381048387096778,0.7539040491205143,-0.027924540889576438,0.05217118992216222,2,0.6001891384525417,54,8,62,-3.223228136008519e-17,1.2643525652675267,0.11177142763570432,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,8,32,0.776323139714876,0.9895969911649194,0.9414081433075481,0.9288177621641441,0.96875,0.9687194525904204,1.0,0.776323139714876,0.9895969911649194,0.042018486542371086,0.06232242717037345,0.625,0.3442540322580645,0.9651393883815917,0.14356226995172258,0.1363429690340133,3,0.7845228078486008,54,8,62,-1.4325458382260084e-17,1.2613999114594618,0.0987578826325555,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,9,32,0.9225236621967862,1.1618148587552204,0.9076163325376126,0.8580104199392814,0.8583333333333334,0.8398398398398399,0.9666666666666667,0.9225236621967862,1.1618148587552204,-0.09219197520730107,-0.024200202583432664,0.59375,0.503024193548387,1.061751339195067,0.07474116773342249,0.12268923753525285,4,0.922623804522719,54,8,62,-1.4325458382260084e-17,1.259250906693792,0.11288852172513161,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,10,32,0.8064083802402975,1.0149874727265877,0.9082466718840538,0.9033106276065275,0.875,0.8423645320197044,0.9666666666666667,0.8064083802402975,1.0149874727265877,-0.169337619773367,-0.2500458337156661,0.46875,-0.036794354838709756,0.9997417263296526,0.028491872788106512,0.06547020615616028,1,0.8044478259702668,54,8,62,-3.223228136008519e-17,1.2617194503981597,0.11823622569922478,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,11,32,1.1991834261505803,1.4415950662308916,0.916216069663352,0.893037521978706,0.9166666666666667,0.906158357771261,0.9642857142857143,1.1991834261505803,1.4415950662308916,0.15352722357890727,0.08211143695014662,0.53125,-0.10030241935483872,1.4456403474452697,-0.025008257105896284,0.04330932084309152,2,1.14908694002786,54,8,62,0.0,1.254556998531285,0.11691681109368801,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
