epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_outer_mean,y_outer_std,oracle_test_checkpoint_selection,early_stop,arch_config,arch_description
1,0.43742101471270284,0.9330791568204543,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.4353550249530423,0.9642152115861049,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.43042661874525007,0.9702473182581088,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.4224046264444628,0.9135855500760998,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.4141147807240486,0.9595634633957086,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.40233614367823445,0.9674012507601442,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.3883053388807081,0.9793797367448887,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.3666293515313056,1.066164736992946,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.3413610645840245,1.0003354407875722,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
10,0.3310173580483083,1.2788557784713463,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
11,0.2962658174576298,1.241629140542101,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
12,0.26315918012011436,1.1615614239518104,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
13,0.25000819876309366,1.2355075078978293,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
14,0.22127608954906464,1.3003972493741756,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
15,0.18369490773447097,1.2987704186951003,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
16,0.18077167904665392,1.281150103542761,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
17,0.1625128543424991,1.328096887933763,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
18,0.1543198095694665,1.2364764325089939,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
19,0.14118671825816553,1.2411873593771303,gaussian_0p10,oracle_test_checkpoint_selection,1,valence,-1.0744093786695063e-17,1.2587906431828473,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
