cache,target,arch_config,rmse,lift_vs_stimulus_rmse,balanced_accuracy,macro_f1,auroc,lift_vs_stimulus_auroc,dev_pearson,pred_dev_std,true_dev_std
baseline_corrected,arousal,A8_no_channel_pos,1.8187223419674807,0.1254826401491147,0.7804715762910682,0.7825312916673909,0.8594394664756528,0.0433658297764678,0.3556627303089596,0.6298456242089854,1.944204982116596
baseline_corrected,arousal,A2_high_dropout,1.8247215345180887,0.1194834475985067,0.7812979519683513,0.7844375869118388,0.8573190379650896,0.0412454012659045,0.3504864037168312,0.5744396119916777,1.944204982116596
baseline_corrected,arousal,A11_lr_high,1.8286372606399208,0.1155677214766752,0.7773073624651295,0.7810701028608567,0.8552314673343387,0.0391578306351537,0.3465137317312147,0.5631097763469776,1.944204982116596
baseline_corrected,arousal,A6_stem_moe,1.834679986846253,0.1095249952703425,0.7820503974160563,0.785393981060522,0.8516959594665194,0.0356223227673344,0.3361483395098,0.5601009104059811,1.944204982116596
baseline_corrected,arousal,A5_stem_attn,1.8346806345324056,0.1095243475841902,0.7820503974160563,0.785393981060522,0.8516948642038591,0.0356212275046741,0.3361475123392747,0.5600988718118763,1.944204982116596
baseline_corrected,arousal,A7_no_channel_mha,1.8353310088151544,0.1088739733014416,0.7850108923871578,0.7885884926143798,0.8563070152668663,0.0402333785676812,0.3312808032158767,0.616691848423786,1.944204982116596
baseline_corrected,arousal,A1_low_dropout,1.836647095652208,0.1075578864643882,0.7870217946316795,0.7882294708706628,0.853523952846752,0.037450316147567,0.3294126664336024,0.6915064655851791,1.944204982116596
baseline_corrected,arousal,A3_batchnorm,1.8371996048967856,0.1070053772198103,0.7838329373958817,0.7865100595986114,0.8531822308967025,0.0371085941975175,0.3291155260559395,0.6379123411197587,1.944204982116596
baseline_corrected,arousal,A9_base_capacity,1.8393438606035697,0.1048611215130261,0.7779365908635378,0.7804596532037307,0.855144941584166,0.039071304884981,0.3257715830911472,0.600230867250222,1.944204982116596
baseline_corrected,arousal,A0_current,1.8407343124610545,0.1034706696555416,0.7827535560440426,0.7857142857142857,0.8552884209926803,0.0392147842934953,0.325882542727402,0.5759626701994573,1.944204982116596
baseline_corrected,arousal,A4_stem_sum,1.8460778411564216,0.0981271409601742,0.7772087888256922,0.7798210797426932,0.849984063928291,0.0339104272291059,0.3192946625002793,0.5227069388782489,1.944204982116596
baseline_corrected,arousal,A10_lr_low,1.8559672487919368,0.0882377333246591,0.7792624063139701,0.7843959241947811,0.8489884701699738,0.0329148334707888,0.3053002931205669,0.5230175641833618,1.944204982116596
raw,arousal,A8_no_channel_pos,1.8043489794151704,0.1398560027014255,0.7923135561754742,0.7952769980202075,0.8683121892876741,0.052238552588489,0.3741138278260226,0.7058115522214208,1.944204982116596
raw,arousal,A0_current,1.8192403882459345,0.1249645938706613,0.7816988181020631,0.7852327544019095,0.8608961658140046,0.0448225291148196,0.3540505945070285,0.6882567146987119,1.944204982116596
baseline_corrected,valence,A8_no_channel_pos,1.208020522225321,0.0497531724485369,0.8798676277256448,0.8658272654220258,0.9559353451098316,0.0126494099158317,0.2785638604589302,0.3530977095222303,1.257773694673858
baseline_corrected,valence,A9_base_capacity,1.2095937780108774,0.0481799166629806,0.8742372727684846,0.8598984291211911,0.9546700515284766,0.0113841163344766,0.2743183262923637,0.3322784139843396,1.257773694673858
baseline_corrected,valence,A11_lr_high,1.211620416527449,0.0461532781464093,0.8792828324040074,0.8653245862941854,0.9518463111554368,0.0085603759614367,0.2693837606964149,0.3148815971541531,1.257773694673858
baseline_corrected,valence,A6_stem_moe,1.2148215385584578,0.0429521561154002,0.8772519153180108,0.8633367573095978,0.9542056404289506,0.0109197052349506,0.2596644302286028,0.3195610108587781,1.257773694673858
baseline_corrected,valence,A5_stem_attn,1.2148219749832223,0.0429517196906357,0.8772519153180108,0.8633367573095978,0.9542066478282988,0.0109207126342989,0.2596631029233358,0.3195590935849163,1.257773694673858
baseline_corrected,valence,A0_current,1.21546016371987,0.0423135309539879,0.8798676277256448,0.8658272654220258,0.952118308979454,0.008832373785454,0.2573441414220239,0.3135655365795147,1.257773694673858
baseline_corrected,valence,A1_low_dropout,1.2173329884012016,0.0404407062726563,0.8791287003037309,0.865312899452338,0.9529111322664974,0.0096251970724974,0.2516504529967627,0.3259497291892566,1.257773694673858
baseline_corrected,valence,A10_lr_low,1.2175005546093232,0.0402731400645348,0.8803300240264744,0.8658601980947574,0.954292276772897,0.011006341578897,0.2522406990196082,0.2884922305550976,1.257773694673858
baseline_corrected,valence,A7_no_channel_mha,1.2176007842654937,0.0401729104083645,0.8817126796318964,0.8682590461554471,0.953511542278032,0.0102256070840321,0.2511401789023413,0.3304551745748313,1.257773694673858
baseline_corrected,valence,A2_high_dropout,1.2208558725721743,0.0369178221016834,0.8791287003037309,0.865312899452338,0.9516146093053478,0.0083286741113478,0.2412663585617229,0.2896012065929538,1.257773694673858
baseline_corrected,valence,A4_stem_sum,1.2216484738968372,0.0361252207770208,0.8801441588467291,0.8663069001943873,0.9531911892853006,0.0099052540913006,0.2409538033880641,0.2560943799452538,1.257773694673858
baseline_corrected,valence,A3_batchnorm,1.2275213729905536,0.0302523216833043,0.8808513531891745,0.8672770808414129,0.9528506883056048,0.0095647531116047,0.2207048108472023,0.3207272268436901,1.257773694673858
raw,valence,A0_current,1.2212039136503805,0.0365697810234775,0.8795910966045606,0.8653471574052828,0.9524880245402482,0.0092020893462482,0.240101502547185,0.3237041381304865,1.257773694673858
raw,valence,A8_no_channel_pos,1.2278817552100076,0.0298919394638503,0.8808830862686432,0.8668211375300109,0.9529876946169616,0.0097017594229615,0.2169149308833533,0.2775355848093954,1.257773694673858
