epoch,train_loss,train_huber,train_bce,val_rmse_scaled,val_bce,val_objective,stage,test_subject,target,auxiliary,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
1,0.6110321007393025,0.437957051175612,0.692300186113075,1.0154410620296035,0.679574191570282,1.185334609922174,inner,1,arousal,residual_sign,0.0,1.941835675873948,,,
2,0.6012160413795047,0.4283916409368868,0.691297616119738,1.0143197857805948,0.6826077103614807,1.184971713370965,inner,1,arousal,residual_sign,0.0,1.941835675873948,,,
3,0.592074895898501,0.4215065428504237,0.682273397843043,1.0199253035987639,0.6802204251289368,1.189980409880998,inner,1,arousal,residual_sign,0.0,1.941835675873948,,,
4,0.5669638293760794,0.40040269797598876,0.6662445222889936,1.0511924126674532,0.6907239556312561,1.2238734015752673,inner,1,arousal,residual_sign,0.0,1.941835675873948,,,
5,0.5532366898324754,0.38928107641361376,0.6558224470527084,1.052288147722078,0.6982588171958923,1.226852852021051,inner,1,arousal,residual_sign,0.0,1.941835675873948,,,
6,0.5369197913893947,0.37807569349253617,0.635376383860906,1.0569239225199432,0.7051190137863159,1.2332036759665221,inner,1,arousal,residual_sign,0.0,1.941835675873948,,,
7,0.49571624398231506,0.3439312753853975,0.6071398688687218,1.0575946497591078,0.7111060619354248,1.235371165242964,inner,1,arousal,residual_sign,0.0,1.941835675873948,,,
8,0.4689357810550266,0.3241305685153714,0.5792208551256744,1.0999167108344001,0.7555442452430725,1.2888027721451683,inner,1,arousal,residual_sign,0.0,1.941835675873948,,,
9,0.4291324278822652,0.2952821434096054,0.5354011367868494,1.1281936383439624,0.785680890083313,1.3246138608647906,inner,1,arousal,residual_sign,0.0,1.941835675873948,,,
10,0.38953346151996543,0.2654532781905598,0.4963207305581481,1.1495636662717221,0.8298643231391907,1.3570297470565198,inner,1,arousal,residual_sign,0.0,1.941835675873948,True,,
1,0.6163869399216867,0.44210867751990596,0.6971130428775665,,,,final,1,arousal,residual_sign,,,,7.162729191130042e-18,1.9455604821992014
2,0.604376262714786,0.43116494123974153,0.6928452945524647,,,,final,1,arousal,residual_sign,,,,7.162729191130042e-18,1.9455604821992014
1,0.6133774209905554,0.4395433802295614,0.6953361674591347,0.9383037716180458,0.6908908486366272,1.1110264837772026,inner,2,arousal,residual_sign,-8.22387425648264e-18,1.9455360082914326,,,
