target,model,n,mae,rmse,pearson,spearman,ccc,balanced_accuracy,macro_f1,auroc,dev_rmse,dev_mae,dev_pearson,dev_spearman,dev_sign_acc,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std,experiment,table,experiment_description,is_stimulus_only,is_residual_model,is_direct_model,is_augmented,subset
arousal,stimulus_only,2016,1.5799251152073732,1.944204982116596,0.6343754946304894,0.5984999661777204,0.5793812998802726,0.7686230248306998,0.7739110736354597,0.816073636699185,1.944204982116596,1.5799251152073732,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04b_clipped_ridge,main,22-feature EMG Ridge predictions clipped to SAM range,True,False,False,False,
arousal,emg_direct_ridge,2016,2.211141579675926,2.5580578264276785,-0.0039150066476888,-0.0307435597896072,-0.0013850091276432,0.4992294827183981,0.4149430139299282,0.4858924693025258,2.5580578264276785,2.211141579675926,0.0157689392887575,-0.0365355606082223,0.4280753968253968,1.6933713887281507,-0.6312164644685527,-0.6138528443110827,-0.6382905012781782,-0.6292435259673276,-0.5807663090079159,-0.2693935421123016,-0.3589680597055315,-0.3301811673966592,-0.6312164644685527,-0.6138528443110827,,,0.4280753968253968,1.6933713887281507,04b_clipped_ridge,main,22-feature EMG Ridge predictions clipped to SAM range,False,False,True,False,
arousal,emg_residual_ridge,2016,1.6142033724142082,1.991604644296044,0.6127676323792601,0.5906780864771325,0.5644909916697936,0.7648607975921746,0.7691689870693558,0.8092731508406689,1.991604644296044,1.6142033724142082,-0.0490408007275534,-0.0368257690392136,0.494047619047619,0.345531523065105,-0.0342782572068349,-0.0473996621794479,-0.0216078622512292,-0.0078218797005878,-0.014890308210479,-0.0037622272385251,-0.0047420865661039,-0.0068004858585161,-0.0342782572068349,-0.0473996621794479,,,0.494047619047619,0.345531523065105,04b_clipped_ridge,main,22-feature EMG Ridge predictions clipped to SAM range,False,True,False,False,
valence,stimulus_only,2016,1.02206541218638,1.257773694673858,0.8663072234664694,0.8413570547514742,0.8580903005604849,0.8795593635250918,0.8658039779535107,0.943285935194,1.257773694673858,1.02206541218638,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04b_clipped_ridge,main,22-feature EMG Ridge predictions clipped to SAM range,True,False,False,False,
valence,emg_direct_ridge,2016,2.121247695937324,2.5434770080050413,0.0001249050421618,-0.0503799901198728,3.494952484722538e-05,0.4916496668026656,0.4555051801583285,0.4835824128221789,2.5434770080050413,2.121247695937324,0.0120080848483314,-0.0272429851155479,0.5109126984126984,2.225773254027249,-1.0991822837509442,-1.2857033133311833,-0.8661823184243075,-0.891737044871347,-0.8580553510356377,-0.3879096967224262,-0.4102987977951822,-0.459703522371821,-1.0991822837509442,-1.2857033133311833,,,0.5109126984126984,2.225773254027249,04b_clipped_ridge,main,22-feature EMG Ridge predictions clipped to SAM range,False,False,True,False,
valence,emg_residual_ridge,2016,1.021802760345898,1.2610441716790652,0.8655700114708833,0.8520973635278739,0.8575092766554967,0.8795593635250918,0.8658039779535107,0.9474903163737654,1.2610441716790652,1.021802760345898,0.0335919490486254,0.0008188325312072,0.5029761904761905,0.1422926887837033,0.0002626518404817,-0.0032704770052072,-0.000737211995586,0.0107403087763997,-0.0005810239049881,0.0,0.0,0.0042043811797654,0.0002626518404817,-0.0032704770052072,,,0.5029761904761905,0.1422926887837033,04b_clipped_ridge,main,22-feature EMG Ridge predictions clipped to SAM range,False,True,False,False,
arousal,stimulus_only,504,1.7458397337429596,2.076382289254385,0.3926516352461903,0.2674343736552073,0.2472329398646137,0.6474393082806784,0.6510972657645144,0.623212504156967,2.076382289254385,1.7458397337429594,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,True,False,False,False,top25_train_entropy
arousal,emg_direct_ridge,504,2.3673986669760585,2.723107205732923,0.0056184690952677,-0.0274916176473259,0.0015574496851162,0.5009810442301297,0.2983716279639228,0.4893249085467243,2.723107205732923,2.3673986669760585,-0.0277748242907894,-0.037560714171961,0.4345238095238095,0.9307176773454604,-0.6215589332330989,-0.6467249164785378,-0.3870331661509226,-0.2949259913025333,-0.2456754901794974,-0.1464582640505487,-0.3527256378005916,-0.1338875956102427,-0.6215589332330991,-0.6467249164785378,,,0.4345238095238095,0.9307176773454604,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,False,False,True,False,top25_train_entropy
arousal,emg_residual_ridge,504,1.800596222236558,2.1398522469971337,0.3256576559799308,0.3026445309779738,0.2231859944103488,0.6326238776188893,0.635076427996782,0.6425174592617227,2.1398522469971337,1.800596222236558,-0.0731848143079415,-0.0743188692139541,0.4365079365079365,0.3832428139983585,-0.0547564884935984,-0.0634699577427486,-0.0669939792662594,0.0352101573227664,-0.0240469454542648,-0.0148154306617891,-0.0160208377677324,0.0193049551047556,-0.0547564884935987,-0.0634699577427486,,,0.4365079365079365,0.3832428139983585,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,False,True,False,False,top25_train_entropy
arousal,stimulus_only,504,1.910426267281106,2.2739644157974346,0.3813269507180007,0.3026940215591803,0.2681335475163034,0.649796195652174,0.6552731306035677,0.6700067934782609,2.2739644157974346,1.910426267281106,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,True,False,False,False,top25_train_score_std
