scope,target,subset,best_metric,best_metric_value,experiment,model,rmse,lift_vs_stimulus_rmse,balanced_accuracy,lift_vs_stimulus_balanced_accuracy,auroc,lift_vs_stimulus_auroc,dev_rmse,dev_pearson,pred_dev_std
subset,arousal,top25_train_entropy,lift_vs_stimulus_rmse,-0.0295552680831283,04c_nonlinear_22feat,emg_residual_extratrees,2.1059375573375134,-0.0295552680831283,0.6242434319920186,-0.0231958762886598,0.6420186232125041,0.018806119055537,2.1059375573375134,-0.1241811267728098,0.1776757656685679
subset,arousal,top25_train_entropy,lift_vs_stimulus_auroc,0.0249418024609245,04f_augmented_812feat,emg_expanded_ridge_residual_aug,2.1920541492194032,-0.1156718599650181,0.5984702361157299,-0.0489690721649485,0.6481543066178916,0.0249418024609245,2.1920541492194032,0.0265996280301687,0.7610933188479355
subset,arousal,top25_train_entropy,lift_vs_stimulus_balanced_accuracy,-0.013518456933821,04e_expanded_812feat,emg_expanded_extratrees_residual,2.1118036914750253,-0.0354214022206402,0.6339208513468574,-0.013518456933821,0.6428001330229465,0.0195876288659794,2.1118036914750253,-0.059539762757826,0.2811086008927286
subset,arousal,top25_train_entropy,dev_pearson,0.0265996280301687,04f_augmented_812feat,emg_expanded_ridge_residual_aug,2.1920541492194032,-0.1156718599650181,0.5984702361157299,-0.0489690721649485,0.6481543066178916,0.0249418024609245,2.1920541492194032,0.0265996280301687,0.7610933188479355
subset,arousal,top25_train_entropy,rmse,2.1059375573375134,04c_nonlinear_22feat,emg_residual_extratrees,2.1059375573375134,-0.0295552680831283,0.6242434319920186,-0.0231958762886598,0.6420186232125041,0.018806119055537,2.1059375573375134,-0.1241811267728098,0.1776757656685679
subset,arousal,top25_train_score_std,lift_vs_stimulus_rmse,-0.0198734541338336,04c_nonlinear_22feat,emg_residual_extratrees,2.2938378699312683,-0.0198734541338336,0.635733695652174,-0.0140624999999999,0.6970108695652174,0.0270040760869565,2.2938378699312683,-0.0750679047905834,0.1759506467872608
subset,arousal,top25_train_score_std,lift_vs_stimulus_auroc,0.0297044836956521,04f_augmented_812feat,emg_expanded_extratrees_residual_aug,2.299693593551841,-0.0257291777544059,0.6520380434782609,0.0022418478260869,0.699711277173913,0.0297044836956521,2.299693593551841,-0.0424644615406267,0.2600158216948686
subset,arousal,top25_train_score_std,lift_vs_stimulus_balanced_accuracy,0.0022418478260869,04e_expanded_812feat,emg_expanded_extratrees_residual,2.3034667293294286,-0.029502313531994,0.6520380434782609,0.0022418478260869,0.6976902173913043,0.0276834239130434,2.3034667293294286,-0.047478126461368,0.2751708441512188
subset,arousal,top25_train_score_std,dev_pearson,-0.0011914884315014,04e_expanded_812feat,emg_expanded_ridge_residual,2.3636078059231806,-0.089643390125746,0.6484375,-0.0013586956521739,0.6803838315217391,0.0103770380434782,2.3636078059231806,-0.0011914884315014,0.6422187717093912
subset,arousal,top25_train_score_std,rmse,2.2938378699312683,04c_nonlinear_22feat,emg_residual_extratrees,2.2938378699312683,-0.0198734541338336,0.635733695652174,-0.0140624999999999,0.6970108695652174,0.0270040760869565,2.2938378699312683,-0.0750679047905834,0.1759506467872608
subset,valence,top25_train_entropy,lift_vs_stimulus_rmse,-0.0024769309158305,04b_clipped_ridge,emg_residual_ridge,1.3255462975524268,-0.0024769309158305,0.5064441033080855,0.0026737967914438,0.7287741021272288,0.0435230014001585,1.3255462975524268,0.0304105277771776,0.1219445755791525
subset,valence,top25_train_entropy,lift_vs_stimulus_auroc,0.0444002091803168,04c_nonlinear_22feat,emg_residual_extratrees,1.3270170560622754,-0.0039476894256791,0.5064441033080855,0.0026737967914438,0.7296513099073871,0.0444002091803168,1.3270170560622754,-0.0114729078917485,0.0845686827288698
subset,valence,top25_train_entropy,lift_vs_stimulus_balanced_accuracy,0.0119266519340744,04f_augmented_812feat,emg_expanded_ridge_residual_aug,1.4008201200467616,-0.0777507534101653,0.5156969584507162,0.0119266519340744,0.6716206413738424,-0.0136304593532279,1.4008201200467616,-0.0220035878285685,0.4332866801343307
subset,valence,top25_train_entropy,dev_pearson,0.0334775406430328,04e_expanded_812feat,emg_expanded_extratrees_residual,1.3256199028734172,-0.0025505362368209,0.5037703065166417,0.0,0.7285885389429646,0.0433374382158943,1.3256199028734172,0.0334775406430328,0.1315211022109189
subset,valence,top25_train_entropy,rmse,1.3255462975524268,04b_clipped_ridge,emg_residual_ridge,1.3255462975524268,-0.0024769309158305,0.5064441033080855,0.0026737967914438,0.7287741021272288,0.0435230014001585,1.3255462975524268,0.0304105277771776,0.1219445755791525
subset,valence,top25_train_score_std,lift_vs_stimulus_rmse,0.0008610277172487,04b_clipped_ridge,emg_residual_ridge,1.2962895253564537,0.0008610277172487,0.7380944881889764,0.0,0.8626614173228346,0.0267244094488189,1.2962895253564537,0.0557967950263789,0.127236237510967
subset,valence,top25_train_score_std,lift_vs_stimulus_auroc,0.0267244094488189,04b_clipped_ridge,emg_residual_ridge,1.2962895253564537,0.0008610277172487,0.7380944881889764,0.0,0.8626614173228346,0.0267244094488189,1.2962895253564537,0.0557967950263789,0.127236237510967
subset,valence,top25_train_score_std,lift_vs_stimulus_balanced_accuracy,0.0038110236220472,04f_augmented_812feat,emg_expanded_ridge_residual_aug,1.385642049085278,-0.0884914960115759,0.7419055118110236,0.0038110236220472,0.8420787401574803,0.0061417322834645,1.385642049085278,-0.0331703404013844,0.4461274051300344
subset,valence,top25_train_score_std,dev_pearson,0.0557967950263789,04b_clipped_ridge,emg_residual_ridge,1.2962895253564537,0.0008610277172487,0.7380944881889764,0.0,0.8626614173228346,0.0267244094488189,1.2962895253564537,0.0557967950263789,0.127236237510967
subset,valence,top25_train_score_std,rmse,1.2962895253564537,04b_clipped_ridge,emg_residual_ridge,1.2962895253564537,0.0008610277172487,0.7380944881889764,0.0,0.8626614173228346,0.0267244094488189,1.2962895253564537,0.0557967950263789,0.127236237510967
