path,key,shape,dtype,kind
.cache/deap_eeg_windows_32x640_float32_smoke.npy,,"(960, 32, 640)",float32,npy
.cache/deap_emg_features.npy,,"(15360, 22)",float32,npy
.cache/deap_emg_features_smoke.npy,,"(960, 22)",float32,npy
.cache/idare_eeg_bsl_stats.npy,,"(2016, 229)",float32,npy
.cache/idare_eeg_bsl_stats_smoke.npy,,"(64, 229)",float32,npy
.cache/idare_eeg_windows_32x640_float32.npy,,"(2016, 32, 640)",float32,npy
.cache/idare_eeg_windows_32x640_float32_baseline_corrected.npy,,"(2016, 32, 640)",float32,npy
.cache/idare_eeg_windows_32x640_float32_baseline_corrected_smoke.npy,,"(64, 32, 640)",float32,npy
.cache/idare_emg_bsl_stats.npy,,"(2016, 22)",float32,npy
.cache/idare_emg_bsl_stats_smoke.npy,,"(64, 22)",float32,npy
.cache/idare_emg_features.npy,,"(2016, 22)",float32,npy
.cache/idare_emg_features_smoke.npy,,"(2016, 22)",float32,npy
.cache/idare_raw_emg_windows_2x10000_float32.npy,,"(2016, 2, 10000)",float32,npy
.cache/idare_raw_emg_windows_2x10000_float32_smoke.npy,,"(64, 2, 10000)",float32,npy
.cache/idare_window_smoke_sample.npz,eeg_32ch_128hz,"(32, 638)",float32,npz
.cache/idare_window_smoke_sample.npz,emg_raw,"(9974, 2)",float32,npz
.cache/roca_idare_emg_expanded_features.npy,,"(2016, 812)",float32,npy
