seed,test_subject,train_rows,val_rows,test_rows,high_threshold,threshold_source,best_epoch,best_monitor,test_high_n,test_all_model_rmse,test_high_zero_rmse,test_high_model_rmse,test_high_lift_vs_zero,test_high_pearson
11,1,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.079391343731456,10,1.8764784923162012,2.9690966444122724,3.0339704075984875,-0.06487376318621507,0.7519279048000769
11,2,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.2724268863175934,15,2.9173235479140938,3.665606492464102,3.885643419219194,-0.22003692675509212,-0.5814827099712524
11,3,1728,256,32,2.2096774193548385,05ajb_confirmatory,5,3.2836296235010094,5,1.6375781707569432,3.2018083834744973,2.294170857673651,0.9076375258008462,-0.9907357391834051
11,5,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.2743850265649135,9,1.6041398908860223,2.891604734522104,2.3543764223064922,0.5372283122156118,-0.15092306308572218
11,6,1728,256,32,2.2096774193548385,05ajb_confirmatory,3,2.7375760749304057,23,3.4892781141651006,4.393700218668023,4.045284222622736,0.3484159960452873,-0.28999948226495254
11,7,1728,256,32,2.2096774193548385,05ajb_confirmatory,7,3.399905776907794,7,3.482050034267746,2.6731073215881063,5.031482651364293,-2.3583753297761865,-0.5966805194491971
11,8,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,2.9154304034239558,9,2.016102805034894,2.8754965477669905,2.8417366676293936,0.0337598801375969,0.26798014975091433
11,9,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,3.0149083463683852,9,2.0890168573473717,3.576855624342645,3.480027918556706,0.0968277057859388,0.26958537237790475
11,10,1728,256,32,2.2096774193548385,05ajb_confirmatory,5,2.9321100899634964,6,2.3936087075201353,2.8715051876789266,3.360968878269354,-0.48946369059042727,-0.32926879175579454
11,11,1728,256,32,2.2096774193548385,05ajb_confirmatory,8,2.998173223205768,9,2.9363023834387767,3.308238851599863,4.739223547221788,-1.430984695621925,-0.3158338686671709
11,12,1728,256,32,2.2096774193548385,05ajb_confirmatory,4,3.488105650287263,4,1.811777614154103,2.3738761873611622,2.330967045699557,0.04290914166160542,-0.5571367649976476
11,13,1728,256,32,2.2096774193548385,05ajb_confirmatory,6,3.478409080431519,11,3.059458926046541,3.454936774157093,4.327989612948968,-0.8730528387918746,-0.10897932172736902
