subject_id,n,zero_residual_rmse,deep_model_residual_rmse,improvement_zero_minus_deep_rmse,residual_pearson
23,4,2.7005625922065892,0.7923494743078753,1.9082131178987138,0.6048699941682689
32,2,2.531827505476735,1.0072297990666743,1.5245977064100606,
33,4,3.07943803920378,1.6389001640650944,1.4405378751386855,-0.014489161200130248
58,5,2.9442115298593214,1.6864610488901655,1.257750480969156,-0.5836446590951156
49,14,3.3144490250310463,2.356175050170649,0.9582739748603974,-0.024254813702704485
3,5,3.2018083834744973,2.294170857673651,0.9076375258008462,-0.9907357391834051
18,11,3.303311295046227,2.616430819742226,0.686880475304001,0.43152345595124475
27,6,2.864579963429976,2.233676551150965,0.6309034122790109,0.5918211764397907
30,1,2.4814815521240234,1.8795752757013933,0.6019062764226302,
26,11,2.9780392768445028,2.3896275498642616,0.5884117269802411,-0.03971781965859349
65,10,2.8680994709395162,2.291294528677401,0.5768049422621151,0.1344467369908262
5,9,2.891604734522104,2.3543764223064922,0.5372283122156118,-0.15092306308572218
37,5,2.9983877503008762,2.5043133046495107,0.4940744456513655,0.5497357335346175
21,4,3.1880236549025955,2.716703545235379,0.4713201096672166,0.8392157120217002
31,13,3.3361257531462396,2.943065926262807,0.39305982688343244,-0.386057265198448
17,5,2.74545385747095,2.3619138022811073,0.3835400551898429,0.34866262821584765
35,4,3.276391216528876,2.8996034745191714,0.37678774200970455,-0.6166339929210805
24,4,2.363089214759809,1.991454486638987,0.3716347281208221,0.4926881934706775
6,23,4.393700218668023,4.045284222622736,0.3484159960452873,-0.28999948226495254
45,4,3.2883279288247227,2.9593746549267435,0.32895327389797924,0.00982550322243873
36,5,2.751505320012186,2.450474900605976,0.3010304194062101,0.30211745927556005
19,9,3.1270961416198553,2.8439497265433475,0.28314641507650773,-0.1586613062271448
60,14,3.3343325628835885,3.057116617106828,0.27721594577676045,-0.077713250970376
59,9,3.5581694492273157,3.324428432804584,0.23374101642273182,0.25819663134683574
44,11,3.7785286793564796,3.5610839032985466,0.217444776057933,0.42127192835540556
38,5,2.730385853143907,2.515194420279182,0.2151914328647253,0.5756723878452568
39,8,3.1870283753912205,3.0103411146144707,0.1766872607767498,0.21299323803008205
9,9,3.576855624342645,3.480027918556706,0.0968277057859388,0.26958537237790475
57,9,3.5913672716155776,3.501539608969934,0.08982766264564335,0.2898738069293899
43,8,2.79960557925105,2.7243811425548383,0.0752244366962116,-0.01607815764510122
25,9,3.5765786062736096,3.5126423706520606,0.06393623562154893,-0.20182508387090392
12,4,2.3738761873611622,2.330967045699557,0.04290914166160542,-0.5571367649976476
8,9,2.8754965477669905,2.8417366676293936,0.0337598801375969,0.26798014975091433
52,8,3.303830371685505,3.2795943275043444,0.024236044181160654,0.33215898102948316
16,3,3.0715815432839593,3.0629202107194127,0.008661332564546598,0.7846812907855831
46,9,3.268266410189373,3.2702973520559575,-0.002030941866584701,0.32136977972787106
15,5,2.9857917198975805,2.992818768451043,-0.007027048553462478,0.4018323902041054
62,8,3.481118261372982,3.4885139544612556,-0.007395693088273703,0.1914183194125709
14,7,2.813465638713587,2.8262287868316145,-0.0127631481180277,-0.1654107984794672
41,12,3.7336902887010175,3.7483705958957207,-0.014680307194703257,0.14432259687270427
22,12,3.0347072044481846,3.079907161451709,-0.045199957003524194,-0.4309035554068577
1,10,2.9690966444122724,3.0339704075984875,-0.06487376318621507,0.7519279048000769
61,7,3.0340270793203823,3.1118028935660194,-0.07777581424563706,0.0900796495861788
54,8,2.602000106785338,2.6989619695453237,-0.09696186275998553,0.24013037510701607
34,2,2.2969683034293227,2.419675017421196,-0.12270671399187316,
29,6,2.5657784618086374,2.7255918244110364,-0.15981336260239898,0.2155547370773817
20,6,2.9792281872691424,3.1421982915783655,-0.1629701043092231,-0.27338019953327514
2,15,3.665606492464102,3.885643419219194,-0.22003692675509212,-0.5814827099712524
50,2,2.623950620047588,2.8471760407401296,-0.22322542069254148,
42,14,3.655781190786306,3.9229488055137756,-0.2671676147274695,-0.17822654519795217
48,4,2.696559567122996,2.9878215607794787,-0.29126199365648286,-0.050259481064155884
63,11,3.272985355465211,3.567921921141234,-0.2949365656760232,-0.14245794396258585
64,2,3.7127666250596922,4.067987666388353,-0.3552210413286607,
10,6,2.8715051876789266,3.360968878269354,-0.48946369059042727,-0.32926879175579454
56,4,2.434410545171987,2.9865217965194484,-0.5521112513474615,0.8956853809780398
40,17,3.777970004603904,4.38448782009939,-0.606517815495486,-0.15065548840832496
47,13,3.457828693484092,4.277608696840866,-0.8197800033567737,-0.3434020120045319
13,11,3.454936774157093,4.327989612948968,-0.8730528387918746,-0.10897932172736902
55,16,3.0619357262932434,4.180585613819344,-1.1186498875261002,-0.1887581079594063
28,4,3.2457368408061518,4.642602096015456,-1.3968652552093044,-0.055453237166827644
11,9,3.308238851599863,4.739223547221788,-1.430984695621925,-0.3158338686671709
53,1,2.222222328186035,4.423337524561054,-2.201115196375019,
7,7,2.6731073215881063,5.031482651364293,-2.3583753297761865,-0.5966805194491971
